Product Name,Product Link,Image URL,Price,Original Price,Discount
ONIDA 2024 Model 5-in-1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With Deep Cleaning AC  - Whi...,https://www.flipkart.com/onida-2024-model-5-in-1-convertible-cooling-1-5-ton-3-star-split-inverter-deep-cleaning-ac-white/p/itmf5b57166fffe6?pid=ACNGY3SHPHCETKAS&lid=LSTACNGY3SHPHCETKASOX3K8R&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&srno=b_1_1&otracker=browse&fm=organic&iid=en_h_0Y5eFaPY08bAAMDz7f7lwXKyYfldyoAuW58cIakFx3wyukcodCrb8VTgczT5TXUSN9vlCZOCTYBVBwDOP1q_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=3pavgsw0wg0000001747566714531,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/s/8/v/-original-imahbxqcwx5a2v5k.jpeg?q=70,"₹27,490","₹46,900",41% off
ONIDA 2024 Model 5-in-1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With Deep Cleaning AC  - Whi...,https://www.flipkart.com/onida-2024-model-5-in-1-convertible-cooling-1-5-ton-5-star-split-inverter-deep-cleaning-ac-white/p/itm7d30de226114c?pid=ACNGZMGQK9HUQEQS&lid=LSTACNGZMGQK9HUQEQSLDQN7Q&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&srno=b_1_2&otracker=browse&fm=organic&iid=en_h_0Y5eFaPY08bAAMDz7f7lwXKyYfldyoAuW58cIakFyANZR5Yk9pjTXtoIJTYabVjJxHVMwYtHCIcl_Et3Qq8fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=3pavgsw0wg0000001747566714531,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/s/8/v/-original-imahbxqcwx5a2v5k.jpeg?q=70,"₹31,990","₹50,900",37% off
Voltas 2024 Model 1.5 Ton 3 Star Split Inverter AC  - White,https://www.flipkart.com/voltas-2024-model-1-5-ton-3-star-split-inverter-ac-white/p/itmee86accb4f614?pid=ACNGYPU5FPG9ZSJM&lid=LSTACNGYPU5FPG9ZSJMDSUMTV&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&spotlightTagId=default_BestsellerId_j9e%2Fabm%2Fc54&srno=b_1_3&otracker=browse&fm=organic&iid=a140dd45-2193-4292-843b-3f0532c1a33b.ACNGYPU5FPG9ZSJM.SEARCH&ppt=None&ppn=None&ssid=3pavgsw0wg0000001747566714531,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/h/j/v/-original-imah4gsy6yfmrum9.jpeg?q=70,"₹32,990","₹62,990",47% off
CARRIER 2025 Model 6 in 1 Convertible 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,https://www.flipkart.com/carrier-2025-model-6-1-convertible-1-5-ton-3-star-split-inverter-ac-wi-fi-connect-white/p/itm31effe21fee5b?pid=ACNH8NPZEGVGS5EE&lid=LSTACNH8NPZEGVGS5EESRLLNG&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&spotlightTagId=default_TrendingId_j9e%2Fabm%2Fc54&srno=b_1_4&otracker=browse&fm=organic&iid=a140dd45-2193-4292-843b-3f0532c1a33b.ACNH8NPZEGVGS5EE.SEARCH&ppt=None&ppn=None&ssid=3pavgsw0wg0000001747566714531,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/d/8/b/-original-imah8wnbkepgwbys.jpeg?q=70,"₹35,990","₹68,290",47% off
"IFB 2025 Model Silver Plus Series 1.5 Ton 3 Star Split Inverter with HD Compressor, AI, Dual Gold Fin,...",https://www.flipkart.com/ifb-2025-model-silver-plus-series-1-5-ton-3-star-split-inverter-hd-compressor-ai-dual-gold-fin-nano-tek-coating-8-in-1-flexi-mode-ac-white/p/itm2622e1fc80d88?pid=ACNH89DZMGW9QSWK&lid=LSTACNH89DZMGW9QSWKYKZXRJ&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&srno=b_1_5&otracker=browse&fm=organic&iid=a140dd45-2193-4292-843b-3f0532c1a33b.ACNH89DZMGW9QSWK.SEARCH&ppt=None&ppn=None&ssid=3pavgsw0wg0000001747566714531,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/l/h/e/-original-imahaeus9ju8dhgv.jpeg?q=70,"₹34,490","₹61,990",44% off
Voltas 2024 Model 1.5 Ton 5 Star Split Inverter AC  - White,https://www.flipkart.com/voltas-2024-model-1-5-ton-5-star-split-inverter-ac-white/p/itm877e7eb0fb7fb?pid=ACNGYPU5ASZ2TAYA&lid=LSTACNGYPU5ASZ2TAYAZXMMD7&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&srno=b_1_6&otracker=browse&fm=organic&iid=a140dd45-2193-4292-843b-3f0532c1a33b.ACNGYPU5ASZ2TAYA.SEARCH&ppt=None&ppn=None&ssid=3pavgsw0wg0000001747566714531,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/k/6/k/-original-imah4gsyqzwzzhhx.jpeg?q=70,"₹40,990","₹75,990",46% off
Lloyd 2025 Model 1.5 Ton 3 Star Split Inverter AC  - White,https://www.flipkart.com/lloyd-2025-model-1-5-ton-3-star-split-inverter-ac-white/p/itm0d2649c74e8fa?pid=ACNGYXNMMHPSYNK5&lid=LSTACNGYXNMMHPSYNK5AR3KTV&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&srno=b_1_7&otracker=browse&fm=organic&iid=a140dd45-2193-4292-843b-3f0532c1a33b.ACNGYXNMMHPSYNK5.SEARCH&ppt=None&ppn=None&ssid=3pavgsw0wg0000001747566714531,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/a/f/c/-original-imahc6kzcmp2fthv.jpeg?q=70,"₹32,990","₹58,990",44% off
MarQ by Flipkart 2025 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology AC  ...,https://www.flipkart.com/marq-flipkart-2025-1-5-ton-5-star-split-inverter-5-in-1-convertible-turbo-cool-technology-ac-white/p/itmfd8dfe14ce4f5?pid=ACNH76Z3PR5JJ9YH&lid=LSTACNH76Z3PR5JJ9YHR54IZA&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&srno=b_1_8&otracker=browse&fm=organic&iid=en_h_0Y5eFaPY08bAAMDz7f7lwXKyYfldyoAuW58cIakFyXwHzSMCgZESDFi6EYrDiGIBRs9f6kY2zKp5bP-gY0un3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=3pavgsw0wg0000001747566714531,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/t/r/b/-original-imah9ees7ejtuvgb.jpeg?q=70,"₹29,990","₹60,999",50% off
Godrej 5-In-1 Convertible 2024 Model 1.5 Ton 4 Star Split Inverter 4 Way Air Swing And Heavy Duty Cool...,https://www.flipkart.com/godrej-5-in-1-convertible-2024-model-1-5-ton-4-star-split-inverter-way-air-swing-heavy-duty-cooling-extreme-temperature-ac-white/p/itm1d55bc7aa1c4c?pid=ACNGYWSEF847MT4Z&lid=LSTACNGYWSEF847MT4ZMSBNUH&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&srno=b_1_9&otracker=browse&fm=organic&iid=a140dd45-2193-4292-843b-3f0532c1a33b.ACNGYWSEF847MT4Z.SEARCH&ppt=None&ppn=None&ssid=3pavgsw0wg0000001747566714531,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/g/6/b/-original-imah96y2evtfhnz2.jpeg?q=70,"₹32,990","₹49,900",33% off
CARRIER 2025 Model 6 in 1 Convertible 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,https://www.flipkart.com/carrier-2025-model-6-1-convertible-ton-3-star-split-inverter-ac-wi-fi-connect-white/p/itm31effe21fee5b?pid=ACNH8NPZHAFYQK3K&lid=LSTACNH8NPZHAFYQK3KPKA7ZR&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&srno=b_1_10&otracker=browse&fm=organic&iid=a140dd45-2193-4292-843b-3f0532c1a33b.ACNH8NPZHAFYQK3K.SEARCH&ppt=None&ppn=None&ssid=3pavgsw0wg0000001747566714531,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/h/z/3/-original-imahc7rh6tk6kwv9.jpeg?q=70,"₹31,990","₹57,490",44% off
