Product Name,Product Link,Image URL,Price,Original Price,Discount
SAMSUNG 301 L Frost Free Double Door 3 Star Convertible Refrigerator,https://www.flipkart.com/samsung-301-l-frost-free-double-door-3-star-convertible-refrigerator/p/itm2550fb37136cf?pid=RFRH83WHCHGDFSXW&lid=LSTRFRH83WHCHGDFSXWSL5AS2&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_1&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Double%20Door1&fm=organic&iid=en_vkRFSiY7I6w3V25rAD-7Jrrmlv-Qz7jQMFAVlv8tzD4_vZVlleegqKKO3pvNLsRq4Xcn5pKhQMGlvOkbD2cj5PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ojypzyx7ww0000001747566863185,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/d/g/v/-original-imah4zqzpmzaht4s.jpeg?q=70,"₹35,490","₹54,990",35% off
SAMSUNG 236 L Frost Free Double Door 3 Star Refrigerator  with Digital Inverter,https://www.flipkart.com/samsung-236-l-frost-free-double-door-3-star-refrigerator-digital-inverter/p/itmebd442b9443a6?pid=RFRGPHMKJCBXQTK7&lid=LSTRFRGPHMKJCBXQTK7CSYSMK&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_2&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Double%20Door1&fm=organic&iid=en_vkRFSiY7I6w3V25rAD-7Jrrmlv-Qz7jQMFAVlv8tzD7ZTH2XB16r72rnHQsEAFFn7D9lL9qf7rfcax-iJFLF1Q%3D%3D&ppt=None&ppn=None&ssid=ojypzyx7ww0000001747566863185,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/o/r/k/-original-imah3yy4twjegua5.jpeg?q=70,"₹24,990","₹37,990",34% off
SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator  with Digital Inverter and Displa...,https://www.flipkart.com/samsung-236-l-frost-free-double-door-3-star-convertible-refrigerator-digital-inverter-display/p/itm31fe9fa54c652?pid=RFRGPTYNHVCBZQXP&lid=LSTRFRGPTYNHVCBZQXPLCK2CW&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_3&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Double%20Door1&fm=organic&iid=8e3ac487-3fe2-4529-90b8-7bb2f2748f3c.RFRGPTYNHVCBZQXP.SEARCH&ppt=None&ppn=None&ssid=ojypzyx7ww0000001747566863185,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/9/1/q/-original-imah3yy4yuz3aspz.jpeg?q=70,"₹26,990","₹41,990",35% off
SAMSUNG 322 L Frost Free Double Door 2 Star Convertible Refrigerator,https://www.flipkart.com/samsung-322-l-frost-free-double-door-2-star-convertible-refrigerator/p/itm0ea551683b237?pid=RFRH83WHGZN568KM&lid=LSTRFRH83WHGZN568KMA5A4UA&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_4&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Double%20Door1&fm=organic&iid=8e3ac487-3fe2-4529-90b8-7bb2f2748f3c.RFRH83WHGZN568KM.SEARCH&ppt=None&ppn=None&ssid=ojypzyx7ww0000001747566863185,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/n/1/s/-original-imah3yy4zpwwj5ty.jpeg?q=70,"₹34,990","₹54,990",36% off
SAMSUNG 236 L Frost Free Double Door 2 Star Refrigerator  with Digital Inverter,https://www.flipkart.com/samsung-236-l-frost-free-double-door-2-star-refrigerator-digital-inverter/p/itm8737a13956d12?pid=RFRGHJPX2SRHP6VD&lid=LSTRFRGHJPX2SRHP6VDWFMU88&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_5&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Double%20Door1&fm=organic&iid=8e3ac487-3fe2-4529-90b8-7bb2f2748f3c.RFRGHJPX2SRHP6VD.SEARCH&ppt=None&ppn=None&ssid=ojypzyx7ww0000001747566863185,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/0/f/r/-original-imah3yy4xwvazs6b.jpeg?q=70,"₹23,190","₹30,990",25% off
"SAMSUNG 301 L Frost Free Double Door 3 Star Convertible Refrigerator  with Digital Inverter, Convertib...",https://www.flipkart.com/samsung-301-l-frost-free-double-door-3-star-convertible-refrigerator-digital-inverter-5-in-1-display/p/itm2550fb37136cf?pid=RFRGPHMKHGJNHQNR&lid=LSTRFRGPHMKHGJNHQNRAXT2DM&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_6&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Double%20Door1&fm=organic&iid=8e3ac487-3fe2-4529-90b8-7bb2f2748f3c.RFRGPHMKHGJNHQNR.SEARCH&ppt=None&ppn=None&ssid=ojypzyx7ww0000001747566863185,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/d/g/v/-original-imah4zqzpmzaht4s.jpeg?q=70,"₹30,699","₹54,990",44% off
"SAMSUNG 419 L Frost Free Double Door 3 Star Convertible Refrigerator  with Convertible 5-in-1, Digital...",https://www.flipkart.com/samsung-419-l-frost-free-double-door-3-star-convertible-refrigerator-5-in-1-digital-inverter-wifi-enabled-bespoke-ai/p/itm8e086361f0c13?pid=RFRH3T3HQQEH6QZM&lid=LSTRFRH3T3HQQEH6QZMATLGGY&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_7&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Double%20Door1&fm=organic&iid=8e3ac487-3fe2-4529-90b8-7bb2f2748f3c.RFRH3T3HQQEH6QZM.SEARCH&ppt=None&ppn=None&ssid=ojypzyx7ww0000001747566863185,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/j/i/3/-original-imah4nehsya8dbkc.jpeg?q=70,"₹49,990","₹71,990",30% off
Whirlpool 235 L Frost Free Double Door 2 Star Refrigerator,https://www.flipkart.com/whirlpool-235-l-frost-free-double-door-2-star-refrigerator/p/itm7b929574f3d9c?pid=RFRGY9CTAEDEXJNP&lid=LSTRFRGY9CTAEDEXJNPPUWTWM&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_8&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Double%20Door1&fm=organic&iid=en_vkRFSiY7I6w3V25rAD-7Jrrmlv-Qz7jQMFAVlv8tzD494d1c7vpkFyqs9c6HjiH6xIVlX2t8Ne1PJBbRMe5JmUKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=ojypzyx7ww0000001747566863185,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/j/j/m/-original-imagyr7grwumjyve.jpeg?q=70,"₹21,990","₹30,360",27% off
SAMSUNG 256 L Frost Free Double Door 3 Star Refrigerator  with Digital Inverter and Display,https://www.flipkart.com/samsung-256-l-frost-free-double-door-3-star-refrigerator-digital-inverter-display/p/itmab574b5461a7a?pid=RFRGPTYNSK5J5ADE&lid=LSTRFRGPTYNSK5J5ADETT29RW&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_9&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Double%20Door1&fm=organic&iid=8e3ac487-3fe2-4529-90b8-7bb2f2748f3c.RFRGPTYNSK5J5ADE.SEARCH&ppt=None&ppn=None&ssid=ojypzyx7ww0000001747566863185,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/x/2/g/-original-imah3yy4qzmgx6qa.jpeg?q=70,"₹28,590","₹42,990",33% off
SAMSUNG 236 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter and Displa...,https://www.flipkart.com/samsung-236-l-frost-free-double-door-2-star-convertible-refrigerator-digital-inverter-display/p/itmd530c8b05eb43?pid=RFRGHJPX7FSMJT3B&lid=LSTRFRGHJPX7FSMJT3BE3PZOU&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_10&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Double%20Door1&fm=organic&iid=8e3ac487-3fe2-4529-90b8-7bb2f2748f3c.RFRGHJPX7FSMJT3B.SEARCH&ppt=None&ppn=None&ssid=ojypzyx7ww0000001747566863185,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/1/3/a/-original-imah3yy4dhmt9gsz.jpeg?q=70,"₹24,990","₹35,990",30% off
