Product Name,Product Link,Image URL,Price,Original Price,Discount
"Whirlpool 8 kg 5 Star Inverter Steam Technology, 100+ Tough Stains, 6th Sense Soft Move Fully Automati...",https://www.flipkart.com/whirlpool-8-kg-5-star-inverter-steam-technology-100-tough-stains-6th-sense-soft-move-fully-automatic-front-load-washing-machine-in-built-heater-grey/p/itm13bdddebcf31a?pid=WMNHAWW5FEEHGYDD&lid=LSTWMNHAWW5FEEHGYDDQE9FXP&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_1&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load1&fm=organic&iid=en_f9sQRt7WguKhrJMiyRJQHhpyRj_WXklLTH7YumhnwiIabZjkkpt5rNqSyTMWzl8n9T7a-N4pzMO-GO5nuG8BC_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=a5aaxunp8w0000001747566560986,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/5/n/w/-original-imahbnen7ums2vpf.jpeg?q=70,"₹30,990","₹37,550",17% off
"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam, Fully Automatic Front Load Washi...",https://www.flipkart.com/lg-7-kg-5-star-inverter-direct-drive-technology-6-motion-dd-steam-fully-automatic-front-load-washing-machine-in-built-heater-black-grey/p/itmfb403416d27a3?pid=WMNH4K2TZD2GR9U4&lid=LSTWMNH4K2TZD2GR9U41VUQKT&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_2&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load1&fm=organic&iid=en_f9sQRt7WguKhrJMiyRJQHhpyRj_WXklLTH7YumhnwiIiPFEfgBCVMBmOsg1W-wR5B-xRlXwdwMa1cAzRzxn1CvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=a5aaxunp8w0000001747566560986,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/b/l/m/-original-imah5efwsfzaejzv.jpeg?q=70,"₹29,990","₹44,490",32% off
"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",https://www.flipkart.com/samsung-8-kg-fully-automatic-front-load-washing-machine-in-built-heater-black-grey/p/itm172f0f21c5c72?pid=WMNGWY2GVJKTGFMA&lid=LSTWMNGWY2GVJKTGFMAJZEQNH&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_3&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load1&fm=organic&iid=adb52834-92d8-4e34-9b22-b8c4fa5a9299.WMNGWY2GVJKTGFMA.SEARCH&ppt=None&ppn=None&ssid=a5aaxunp8w0000001747566560986,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/j/a/y/-original-imah47qufjqaagu5.jpeg?q=70,"₹34,990","₹55,900",37% off
"MOTOROLA 7 kg Digital Inverter, Super Steam Technology with In-built Heater Grey (MTFL705NHNJG) Fully ...",https://www.flipkart.com/motorola-7-kg-digital-inverter-super-steam-technology-in-built-heater-grey-mtfl705nhnjg-fully-automatic-front-load-washing-machine/p/itm528aef5c67529?pid=WMNGWTF49ES4P468&lid=LSTWMNGWTF49ES4P468DY7QRU&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_4&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load1&fm=organic&iid=adb52834-92d8-4e34-9b22-b8c4fa5a9299.WMNGWTF49ES4P468.SEARCH&ppt=None&ppn=None&ssid=a5aaxunp8w0000001747566560986,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/n/g/y/-original-imah2d6gj2butauy.jpeg?q=70,"₹19,890","₹34,990",43% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",https://www.flipkart.com/ifb-8-kg-5-star-steam-refresh-program-9-swirl-wash-eco-inverter-touch-panel-ai-fully-automatic-front-load-washing-machine-in-built-heater-black/p/itm954f9187ab67e?pid=WMNH25C2SEYPPH2G&lid=LSTWMNH25C2SEYPPH2GSANLMZ&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&spotlightTagId=default_FkPickId_j9e%2Fabm%2F8qx&srno=b_1_5&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load1&fm=organic&iid=adb52834-92d8-4e34-9b22-b8c4fa5a9299.WMNH25C2SEYPPH2G.SEARCH&ppt=None&ppn=None&ssid=a5aaxunp8w0000001747566560986,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/r/b/m/-original-imah2tx7cyakc7p8.jpeg?q=70,"₹34,490","₹45,990",25% off
"IFB 7 kg Powered by AI, 5 Star,� with 2x Steam Cycle Fully Automatic Front Load Washing Machine with I...",https://www.flipkart.com/ifb-7-kg-powered-ai-5-star-2x-steam-cycle-fully-automatic-front-load-washing-machine-in-built-heater-brown/p/itmfe9361a6bc458?pid=WMNGQ9GGFCCPNKZX&lid=LSTWMNGQ9GGFCCPNKZXYOW5NQ&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_6&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load1&fm=organic&iid=adb52834-92d8-4e34-9b22-b8c4fa5a9299.WMNGQ9GGFCCPNKZX.SEARCH&ppt=None&ppn=None&ssid=a5aaxunp8w0000001747566560986,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/v/d/i/-original-imagteuaqjfs4fyq.jpeg?q=70,"₹25,990","₹36,990",29% off
"SAMSUNG 9 kg 5 Star, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam, Digital Inverter Motor Fully Aut...",https://www.flipkart.com/samsung-9-kg-5-star-ai-ecobubble-super-speed-wi-fi-hygiene-steam-digital-inverter-motor-fully-automatic-front-load-washing-machine-in-built-heater-grey/p/itm6c8a617aef39c?pid=WMNH7SPNGXDGUKVE&lid=LSTWMNH7SPNGXDGUKVEZAHO0B&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_7&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load1&fm=organic&iid=adb52834-92d8-4e34-9b22-b8c4fa5a9299.WMNH7SPNGXDGUKVE.SEARCH&ppt=None&ppn=None&ssid=a5aaxunp8w0000001747566560986,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/k/5/t/-original-imaha7fqfpyghhyj.jpeg?q=70,"₹37,990","₹50,990",25% off
"Whirlpool 8 kg Ozone Technology 5 Star Inverter 100+ Tough Stains, 1400 RPM Fully Automatic Front Load...",https://www.flipkart.com/whirlpool-8-kg-ozone-technology-5-star-inverter-100-tough-stains-1400-rpm-fully-automatic-front-load-washing-machine-in-built-heater-black/p/itmb0d30d1ec12fb?pid=WMNGYBFRS6USGXVK&lid=LSTWMNGYBFRS6USGXVK315SKH&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_8&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load1&fm=organic&iid=en_f9sQRt7WguKhrJMiyRJQHhpyRj_WXklLTH7YumhnwiKZ_IDtcSsVumk8_KL5iI_P8caSBJWYyY7T9aWyCRuIs33Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=a5aaxunp8w0000001747566560986,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/n/m/r/-original-imahf6yajbzmhrg5.jpeg?q=70,"₹33,990","₹44,200",23% off
"IFB 9 kg 5 Star AI Powered,� with 2X Power Steam Fully Automatic Front Load Washing Machine with In-bu...",https://www.flipkart.com/ifb-9-kg-5-star-ai-powered-2x-power-steam-fully-automatic-front-load-washing-machine-in-built-heater-silver/p/itm99ca9cee5b6a0?pid=WMNGQZ65T8HDPBTJ&lid=LSTWMNGQZ65T8HDPBTJ3YW9TA&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_9&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load1&fm=organic&iid=adb52834-92d8-4e34-9b22-b8c4fa5a9299.WMNGQZ65T8HDPBTJ.SEARCH&ppt=None&ppn=None&ssid=a5aaxunp8w0000001747566560986,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/i/o/a/-original-imagteu9az3ryegr.jpeg?q=70,"₹34,990","₹54,190",35% off
MOTOROLA 10 kg Super Steam Technology Fully Automatic Front Load Washing Machine with In-built Heater ...,https://www.flipkart.com/motorola-10-kg-super-steam-technology-fully-automatic-front-load-washing-machine-in-built-heater-grey/p/itm528aef5c67529?pid=WMNHFA8QNJNUP6J5&lid=LSTWMNHFA8QNJNUP6J56Q4B0E&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_10&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load1&fm=organic&iid=adb52834-92d8-4e34-9b22-b8c4fa5a9299.WMNHFA8QNJNUP6J5.SEARCH&ppt=None&ppn=None&ssid=a5aaxunp8w0000001747566560986,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/5/l/e/-original-imah39a5mmjahhb8.jpeg?q=70,"₹23,890","₹59,990",60% off
