Product Name,Product Link,Image URL,Price,Original Price,Discount
Mi by Xiaomi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision | HDR 10...,https://www.flipkart.com/mi-xiaomi-x-series-138-cm-55-inch-ultra-hd-4k-led-smart-google-tv-4k-dolby-vision-hdr-10-audio-dts-virtual-vivid-picture-engine/p/itmd9b7cb60c0f2d?pid=TVSH3CGB9BTCHA37&lid=LSTTVSH3CGB9BTCHA37V5DIM5&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_1&otracker=browse&fm=organic&iid=en_pvLiNAILbkdCEtpjteh0G83o8uPhQCRHvDqhTUVSXG-Y39pnCzV9cnntK9HHBQVVC5DS7qGbduUTP_hyNsv2ePUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/9/i/h/-original-imaha7ffh6vyjzp8.jpeg?q=70,"₹36,990","₹54,999",32% off
"Hisense E6N 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Atmos, Dts Virtual X and 4K AI Ups...",https://www.flipkart.com/hisense-e6n-139-cm-55-inch-ultra-hd-4k-led-smart-google-tv-atmos-dts-virtual-x-4k-ai-upscaler/p/itm119ef1d167cd8?pid=TVSHFCA54GEFRHQS&lid=LSTTVSHFCA54GEFRHQSCMBMKJ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_2&otracker=browse&fm=organic&iid=en_pvLiNAILbkdCEtpjteh0G83o8uPhQCRHvDqhTUVSXG9R1giosLA4A7Uk_52syDQYj9PmWXmflRRV4h5bIpX94fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/x/k/p/-original-imahahqxrcdndcxz.jpeg?q=70,"₹30,999","₹59,999",48% off
Mi by Xiaomi A Series 80 cm (32 inch) HD Ready LED Smart Google TV with 200+ Free Channels |Dolby Audi...,https://www.flipkart.com/mi-xiaomi-series-80-cm-32-inch-hd-ready-led-smart-google-tv-200-free-channels-dolby-audio-dts-hd-dts-virtual-x-vivid-picture-engine-dual-band-wi-fi-bluetooth-5-0/p/itmdff24537c4f76?pid=TVSHY9QFREWDZHQP&lid=LSTTVSHY9QFREWDZHQPRTC9YH&marketplace=FLIPKART&store=ckf%2Fczl&spotlightTagId=default_BestsellerId_ckf%2Fczl&srno=b_1_3&otracker=browse&fm=organic&iid=fee693ec-c654-4389-963e-3083a982da3a.TVSHY9QFREWDZHQP.SEARCH&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/7/l/f/-original-imaha7fgfuanw9ga.jpeg?q=70,"₹12,490","₹24,999",50% off
Mi by Xiaomi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision | HDR 10...,https://www.flipkart.com/mi-xiaomi-x-series-125-cm-50-inch-ultra-hd-4k-led-smart-google-tv-4k-dolby-vision-hdr-10-audio-dts-dts-virtual-vivid-picture-engine/p/itm9c76ca8c5ee95?pid=TVSGREPAGYTSGAGM&lid=LSTTVSGREPAGYTSGAGMKPMK4A&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_4&otracker=browse&fm=organic&iid=fee693ec-c654-4389-963e-3083a982da3a.TVSGREPAGYTSGAGM.SEARCH&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/w/8/d/l50m8-a2in-mi-original-imah2pggjg7cgnun.jpeg?q=70,"₹29,999","₹44,999",33% off
TCL V6B 189 cm (75 inch) Ultra HD (4K) LED Smart Google TV with 24W Audio and Metallic Bezel-Less,https://www.flipkart.com/tcl-v6b-189-cm-75-inch-ultra-hd-4k-led-smart-google-tv-24w-audio-metallic-bezel-less/p/itm9ee7638cbc059?pid=TVSGZK4G3YF4DHTQ&lid=LSTTVSGZK4G3YF4DHTQAIIO4I&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_5&otracker=browse&fm=organic&iid=en_pvLiNAILbkdCEtpjteh0G83o8uPhQCRHvDqhTUVSXG_hyMJZ2FPmC-9lXp9Iz_-K2GvCWQb1AxiAA73H6T5Ie6V8WX5krIChubBlraAu4CQ%3D&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/x/c/u/-original-imah9m5xdegmbqy5.jpeg?q=70,"₹66,990","₹2,54,990",73% off
Hisense Q6N 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision Atmos Far Field Voice Con...,https://www.flipkart.com/hisense-q6n-126-cm-50-inch-qled-ultra-hd-4k-smart-google-tv-dolby-vision-atmos-far-field-voice-control-smooth-motion-rate/p/itmb146d54dc589e?pid=TVSHFA9EHKFHJHG3&lid=LSTTVSHFA9EHKFHJHG3IMRTZ9&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_6&otracker=browse&fm=organic&iid=en_pvLiNAILbkdCEtpjteh0G83o8uPhQCRHvDqhTUVSXG9QoI4yIniT5VSL-TmGovbKkM4mXDZnNuy3oEp-LKyzHw891ypMzu4_aryI8_sihJ8%3D&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/a/a/b/-original-imahb4hhwzardf9y.jpeg?q=70,"₹33,999","₹59,999",43% off
Mi by Xiaomi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 | Audio | DTS X |...,https://www.flipkart.com/mi-xiaomi-x-series-108-cm-43-inch-ultra-hd-4k-led-smart-google-tv-hdr-10-audio-dts-virtual-vivid-picture-engine/p/itmd9b7cb60c0f2d?pid=TVSH3CGBDDM67EGQ&lid=LSTTVSH3CGBDDM67EGQOI0SRH&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_7&otracker=browse&fm=organic&iid=fee693ec-c654-4389-963e-3083a982da3a.TVSH3CGBDDM67EGQ.SEARCH&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/9/i/h/-original-imaha7ffh6vyjzp8.jpeg?q=70,"₹24,999","₹42,999",41% off
Mi by Xiaomi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision | HDR 10...,https://www.flipkart.com/mi-xiaomi-x-series-125-cm-50-inch-ultra-hd-4k-led-smart-google-tv-4k-dolby-vision-hdr-10-audio-dts-virtual-vivid-picture-engine/p/itmd9b7cb60c0f2d?pid=TVSH3CGBPZKZM9HH&lid=LSTTVSH3CGBPZKZM9HHTRWW6T&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_8&otracker=browse&fm=organic&iid=fee693ec-c654-4389-963e-3083a982da3a.TVSH3CGBPZKZM9HH.SEARCH&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/9/i/h/-original-imaha7ffh6vyjzp8.jpeg?q=70,"₹31,990","₹49,999",36% off
Mi by Xiaomi A Series 108 cm (43 inch) Full HD LED Smart Google TV with 200+ Free Channels | Dolby Aud...,https://www.flipkart.com/mi-xiaomi-series-108-cm-43-inch-full-hd-led-smart-google-tv-200-free-channels-dolby-audio-dts-virtual-x-vivid-picture-engine-dual-band-wi-fi-bluetooth-5-0/p/itmdff24537c4f76?pid=TVSH2YSG5HQEPMDP&lid=LSTTVSH2YSG5HQEPMDP02FGB3&marketplace=FLIPKART&store=ckf%2Fczl&spotlightTagId=default_FkPickId_ckf%2Fczl&srno=b_1_9&otracker=browse&fm=organic&iid=fee693ec-c654-4389-963e-3083a982da3a.TVSH2YSG5HQEPMDP.SEARCH&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/7/l/f/-original-imaha7fgfuanw9ga.jpeg?q=70,"₹22,990","₹35,999",36% off
Mi by Xiaomi A series 80 cm (32 inch) HD Ready LED Smart Google TV with HD |Dolby Audio | DTS:HD | Viv...,https://www.flipkart.com/mi-xiaomi-series-80-cm-32-inch-hd-ready-led-smart-google-tv-dolby-audio-dts-hd-vivid-picture-engine/p/itmf15b4727d84f5?pid=TVSGREPAZX8CN9QS&lid=LSTTVSGREPAZX8CN9QSFY3T6T&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_10&otracker=browse&fm=organic&iid=fee693ec-c654-4389-963e-3083a982da3a.TVSGREPAZX8CN9QS.SEARCH&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/g/n/w/l32ma-ain-l32m8-eain-l32m8-5ain-mi-original-imah493jj729bvcz.jpeg?q=70,"₹14,999","₹24,999",40% off
TOSHIBA C350NP 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision Atmos and REGZA En...,https://www.flipkart.com/toshiba-c350np-126-cm-50-inch-ultra-hd-4k-led-smart-google-tv-dolby-vision-atmos-regza-engine-zr/p/itm2791f17a0e1f1?pid=TVSHF4RGYS3YZEDB&lid=LSTTVSHF4RGYS3YZEDBQYJLXV&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_11&otracker=browse&fm=organic&iid=en_pvLiNAILbkdCEtpjteh0G83o8uPhQCRHvDqhTUVSXG89SV68B3L9kKoYoeh9_iggYpzf9ekViWvIKyF8dMAqCRhTy0lUJ14SzoMSv_CzLF0%3D&ppt=None&ppn=None&ssid=sg6zqjbb000000001747566271826,https://rukminim2.flixcart.com/image/312/312/xif0q/television/m/i/v/-original-imahaxyg5tsppvwz.jpeg?q=70,"₹28,999","₹54,999",47% off
