Product Name,Product Link,Image URL,Price,Original Price,Discount
CMF by Nothing 65 W GaN 3 A 3 Port Mobile Charger,https://www.flipkart.com/cmf-nothing-65-w-gan-3-port-mobile-charger/p/itm9f2fc02a16c0e?pid=ACCGSG9PSGMRVTHQ&lid=LSTACCGSG9PSGMRVTHQKJXOM4&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers1&fm=organic&iid=en_HRSWzBAuVFeJIMPOv8OO_iucG_pE18lRxsul6GVdYIizMcOHu2FCNk-Bv2wxRoCZfHjQOJZ8Rhgo4LrWbJLO_A%3D%3D&ppt=None&ppn=None&ssid=agykv6lfm80000001747565716346,https://rukminim2.flixcart.com/image/612/612/xif0q/battery-charger/z/o/n/-original-imah3hfdxhvtcngj.jpeg?q=70,,,25% off
CMF by Nothing 65 W GaN 3 A 3 Port Mobile Charger,https://www.flipkart.com/cmf-nothing-65-w-gan-3-port-mobile-charger/p/itm680f97e9380a4?pid=ACCGPU7G7SSEYCGS&lid=LSTACCGPU7G7SSEYCGSBXPE6G&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers1&fm=organic&iid=en_HRSWzBAuVFeJIMPOv8OO_iucG_pE18lRxsul6GVdYIiQ-iWJJD72ECUTTQP9yb5YKNk9YW9Ly4MRLZlV_S-9zA%3D%3D&ppt=None&ppn=None&ssid=agykv6lfm80000001747565716346,https://rukminim2.flixcart.com/image/612/612/xif0q/battery-charger/z/6/v/-original-imah3hfdgjzbgymh.jpeg?q=70,,,25% off
Ephemeral t800 ULTRA HIWATCH PRO WIRELESS CHARGER Charg...,https://www.flipkart.com/ephemeral-t800-ultra-hiwatch-pro-wireless-charger-charging-pad/p/itma121847180f8b?pid=CGPGSB8YFK8EZ4WY&lid=LSTCGPGSB8YFK8EZ4WYW8WJ5H&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers1&fm=organic&iid=17e5fbcb-5484-495d-a4f9-30e7ecd02513.CGPGSB8YFK8EZ4WY.SEARCH&ppt=None&ppn=None&ssid=agykv6lfm80000001747565716346,https://rukminim2.flixcart.com/image/612/612/xif0q/charging-pad/v/k/d/t800-ultra-hiwatch-pro-wireless-charger-ephemeral-original-imagsb8ymbyzhsvf.jpeg?q=70,,,81% off
SB 80 W SuperVOOC 7.3 A Wall Charger for Mobile with De...,https://www.flipkart.com/sb-80-w-supervooc-7-3-wall-charger-mobile-detachable-cable/p/itmaedfe9d5a3bb3?pid=ACCH4PNEXJNYG2A6&lid=LSTACCH4PNEXJNYG2A6KCXYXR&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&spotlightTagId=default_BestsellerId_tyy%2F4mr%2Ftp2&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers1&fm=organic&iid=17e5fbcb-5484-495d-a4f9-30e7ecd02513.ACCH4PNEXJNYG2A6.SEARCH&ppt=None&ppn=None&ssid=agykv6lfm80000001747565716346,https://rukminim2.flixcart.com/image/612/612/xif0q/battery-charger/4/l/q/80w-adaptor-bis-certified-with-type-c-cable-charging-adapter-all-original-imah6quezbmenbcx.jpeg?q=70,,,88% off
ICECLOUD Smart Watch 2 Pins Magnetic Suction Charger Ca...,https://www.flipkart.com/icecloud-smart-watch-2-pins-magnetic-suction-charger-cable-compatible-charging-pad/p/itm1dcaa10970a51?pid=CGPGDP9CHQHDTYGA&lid=LSTCGPGDP9CHQHDTYGAVOFXY2&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers1&fm=organic&iid=17e5fbcb-5484-495d-a4f9-30e7ecd02513.CGPGDP9CHQHDTYGA.SEARCH&ppt=None&ppn=None&ssid=agykv6lfm80000001747565716346,https://rukminim2.flixcart.com/image/612/612/xif0q/charging-pad/6/k/y/smart-watch-2-pins-magnetic-suction-charger-cable-compatible-original-imah7rhvr6wdyeyn.jpeg?q=70,,,75% off
"Nothing phone 45W, USB-C Compatible Power Charger",https://www.flipkart.com/nothing-phone-45w-usb-c-compatible-power-charger/p/itmd252aeada1033?pid=ACCGEDN23YZZCHWU&lid=LSTACCGEDN23YZZCHWUMIDHAN&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers1&fm=organic&iid=en_HRSWzBAuVFeJIMPOv8OO_iucG_pE18lRxsul6GVdYIgdoOIstdWiiSftjUas-GfkzK-Wgveme4_YeLCeNWLybE4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=agykv6lfm80000001747565716346,https://rukminim2.flixcart.com/image/612/612/xif0q/battery-charger/p/y/t/power-45w-usb-c-compatible-nothing-original-imah3tjzbebrt2vh.jpeg?q=70,,,26% off
G2L NEW BRAND 3 IN 1 Mobile Charging Line fast Charging...,https://www.flipkart.com/g2l-new-brand-3-1-mobile-charging-line-fast-cable-type-c-micro-phone-pin-pad/p/itm2a05f7b993b86?pid=CGPGH742KYGJUGTZ&lid=LSTCGPGH742KYGJUGTZXTXFMA&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers1&fm=organic&iid=17e5fbcb-5484-495d-a4f9-30e7ecd02513.CGPGH742KYGJUGTZ.SEARCH&ppt=None&ppn=None&ssid=agykv6lfm80000001747565716346,https://rukminim2.flixcart.com/image/612/612/xif0q/charging-pad/b/x/a/new-brand-3-in-1-mobile-charging-line-fast-charging-cable-type-c-original-imagh742cz29pkaj.jpeg?q=70,,,78% off
Tecno 45 W Supercharge 4.4 A Wall Charger for Mobile,https://www.flipkart.com/tecno-45-w-supercharge-4-4-wall-charger-mobile/p/itmfd8d2e5763a2b?pid=ACCGXEHHZVFNHYMS&lid=LSTACCGXEHHZVFNHYMSSVMBMY&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers1&fm=organic&iid=17e5fbcb-5484-495d-a4f9-30e7ecd02513.ACCGXEHHZVFNHYMS.SEARCH&ppt=None&ppn=None&ssid=agykv6lfm80000001747565716346,https://rukminim2.flixcart.com/image/612/612/xif0q/battery-charger/v/z/2/u450tia-tecno-original-imagxg8wrgrjuh3v.jpeg?q=70,,,60% off
boAt 18W Power WCD QC3A Charger combo (Type C ),https://www.flipkart.com/boat-18w-power-wcd-qc3a-charger-combo-type-c/p/itm82326c25518ac?pid=ACCFUAHYP889GRQB&lid=LSTACCFUAHYP889GRQBYSXOJP&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers1&fm=organic&iid=17e5fbcb-5484-495d-a4f9-30e7ecd02513.ACCFUAHYP889GRQB.SEARCH&ppt=None&ppn=None&ssid=agykv6lfm80000001747565716346,https://rukminim2.flixcart.com/image/612/612/kdoup3k0/battery-charger/r/q/b/boat-wcd-qc3a-with-type-c-cable-original-imafugptqajqhm7r.jpeg?q=70,,,55% off
Spenco T800 Ultra Smartwatch Magnetic Wireless Charger ...,https://www.flipkart.com/spenco-t800-ultra-smartwatch-magnetic-wireless-charger-charging-pad/p/itm3fe26816478a9?pid=CGPH35X6ZAXZ2JHX&lid=LSTCGPH35X6ZAXZ2JHXBGAVTN&marketplace=FLIPKART&store=tyy%2F4mr%2Ftp2&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers1&fm=organic&iid=17e5fbcb-5484-495d-a4f9-30e7ecd02513.CGPH35X6ZAXZ2JHX.SEARCH&ppt=None&ppn=None&ssid=agykv6lfm80000001747565716346,https://rukminim2.flixcart.com/image/612/612/xif0q/charging-pad/h/v/s/t800-ultra-smartwatch-magnetic-wireless-charger-spenco-original-imah35x6g5zzh7hm.jpeg?q=70,,,68% off
