Product Name,Product Link,Image URL,Price,Original Price,Discount
"MOTOROLA g05 (Forest Green, 64 GB)",https://www.flipkart.com/motorola-g05-forest-green-64-gb/p/itme5ed06a5943b9?pid=MOBH5F3Q2SGMAFHR&lid=LSTMOBH5F3Q2SGMAFHR6YHZS0&marketplace=FLIPKART&q=motorola+mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=fddb7bc0-be61-424a-9734-6ccf94058544.MOBH5F3Q2SGMAFHR.SEARCH&ppt=None&ppn=None&ssid=1eaeqprxdc0000001747565096449&qH=63c7eed1de4a5737,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/a/b/-original-imah83eztbdcsknu.jpeg?q=70,"₹7,299","₹9,999",27% off
"Motorola g45 5G (Brilliant Blue, 128 GB)",https://www.flipkart.com/motorola-g45-5g-brilliant-blue-128-gb/p/itmc45105311348e?pid=MOBH3YKQT2HEAPAM&lid=LSTMOBH3YKQT2HEAPAMTX4TTX&marketplace=FLIPKART&q=motorola+mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=fddb7bc0-be61-424a-9734-6ccf94058544.MOBH3YKQT2HEAPAM.SEARCH&ppt=None&ppn=None&ssid=1eaeqprxdc0000001747565096449&qH=63c7eed1de4a5737,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/l/c/-original-imah3xk892aj9gck.jpeg?q=70,"₹11,999","₹14,999",20% off
"MOTOROLA g05 (Plum Red, 64 GB)",https://www.flipkart.com/motorola-g05-plum-red-64-gb/p/itm87af8109384d4?pid=MOBH5F3QKFHEGBFS&lid=LSTMOBH5F3QKFHEGBFSYF5LHW&marketplace=FLIPKART&q=motorola+mobiles&store=tyy%2F4io&spotlightTagId=default_FkPickId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=fddb7bc0-be61-424a-9734-6ccf94058544.MOBH5F3QKFHEGBFS.SEARCH&ppt=None&ppn=None&ssid=1eaeqprxdc0000001747565096449&qH=63c7eed1de4a5737,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/j/b/-original-imah83ezvx8m7hs6.jpeg?q=70,"₹7,299","₹9,999",27% off
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)",https://www.flipkart.com/motorola-edge-50-fusion-forest-blue-128-gb/p/itm32aa01db0debf?pid=MOBGXTYZMJK85GFG&lid=LSTMOBGXTYZMJK85GFGHTK438&marketplace=FLIPKART&q=motorola+mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=fddb7bc0-be61-424a-9734-6ccf94058544.MOBGXTYZMJK85GFG.SEARCH&ppt=None&ppn=None&ssid=1eaeqprxdc0000001747565096449&qH=63c7eed1de4a5737,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/w/r/edge-50-fusion-pb300000in-motorola-original-imahywzztyktktpp.jpeg?q=70,"₹18,999","₹25,999",26% off
"Motorola g45 5G (Pink Lavender, 128 GB)",https://www.flipkart.com/motorola-g45-5g-pink-lavender-128-gb/p/itma6fda9356a204?pid=MOBH7YRV6H3S2RZR&lid=LSTMOBH7YRV6H3S2RZRFJBYQU&marketplace=FLIPKART&q=motorola+mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=fddb7bc0-be61-424a-9734-6ccf94058544.MOBH7YRV6H3S2RZR.SEARCH&ppt=None&ppn=None&ssid=1eaeqprxdc0000001747565096449&qH=63c7eed1de4a5737,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/8/0/-original-imah8hd5nq8332tm.jpeg?q=70,"₹10,999","₹12,999",15% off
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)",https://www.flipkart.com/motorola-edge-50-fusion-marshmallow-blue-128-gb/p/itmf88eea5799a27?pid=MOBGXTYZEZSZQE7W&lid=LSTMOBGXTYZEZSZQE7WIBXLBI&marketplace=FLIPKART&q=motorola+mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=fddb7bc0-be61-424a-9734-6ccf94058544.MOBGXTYZEZSZQE7W.SEARCH&ppt=None&ppn=None&ssid=1eaeqprxdc0000001747565096449&qH=63c7eed1de4a5737,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/t/j/edge-50-fusion-pb300002in-motorola-original-imahywzrfagkuyxx.jpeg?q=70,"₹18,999","₹25,999",26% off
"MOTOROLA g35 5G (Leaf Green, 128 GB)",https://www.flipkart.com/motorola-g35-5g-leaf-green-128-gb/p/itma3ca32cc93927?pid=MOBH3YGPQHRSNQED&lid=LSTMOBH3YGPQHRSNQEDLDGOMQ&marketplace=FLIPKART&q=motorola+mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=fddb7bc0-be61-424a-9734-6ccf94058544.MOBH3YGPQHRSNQED.SEARCH&ppt=None&ppn=None&ssid=1eaeqprxdc0000001747565096449&qH=63c7eed1de4a5737,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/v/c/g35-5g-pb3h0001in-motorola-original-imah7c6xqfsptyzx.jpeg?q=70,"₹9,999","₹12,499",20% off
"Motorola G85 5G (Cobalt Blue, 128 GB)",https://www.flipkart.com/motorola-g85-5g-cobalt-blue-128-gb/p/itmeb6f09bd82403?pid=MOBHY9PQ7FGZKVDK&lid=LSTMOBHY9PQ7FGZKVDK4B1TIW&marketplace=FLIPKART&q=motorola+mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=fddb7bc0-be61-424a-9734-6ccf94058544.MOBHY9PQ7FGZKVDK.SEARCH&ppt=None&ppn=None&ssid=1eaeqprxdc0000001747565096449&qH=63c7eed1de4a5737,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/p/l/-original-imah2fjcxjdjykpc.jpeg?q=70,"₹15,999","₹20,999",23% off
"Motorola G85 5G (Olive Green, 128 GB)",https://www.flipkart.com/motorola-g85-5g-olive-green-128-gb/p/itm897540eb01ff1?pid=MOBHY9PQMNCMDVCD&lid=LSTMOBHY9PQMNCMDVCDI6UUHQ&marketplace=FLIPKART&q=motorola+mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=fddb7bc0-be61-424a-9734-6ccf94058544.MOBHY9PQMNCMDVCD.SEARCH&ppt=None&ppn=None&ssid=1eaeqprxdc0000001747565096449&qH=63c7eed1de4a5737,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/l/u/-original-imah2fjd7wfd9ksh.jpeg?q=70,"₹15,999","₹20,999",23% off
"Motorola g64 5G (Pearl Blue, 256 GB)",https://www.flipkart.com/motorola-g64-5g-pearl-blue-256-gb/p/itm1e0225e79669e?pid=MOBGY2JUZFHY6ZZP&lid=LSTMOBGY2JUZFHY6ZZPTRCYFP&marketplace=FLIPKART&q=motorola+mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=fddb7bc0-be61-424a-9734-6ccf94058544.MOBGY2JUZFHY6ZZP.SEARCH&ppt=None&ppn=None&ssid=1eaeqprxdc0000001747565096449&qH=63c7eed1de4a5737,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/q/b/g64-5g-pb2e0006in-motorola-original-imagzzd4nmrgsevr.jpeg?q=70,"₹15,999","₹19,999",20% off
