Product Name,Product Link,Image URL,Price,Original Price,Discount
"POCO X2 (Phoenix Red, 64 GB)",https://www.flipkart.com/poco-x2-phoenix-red-64-gb/p/itmda7dd1f37ffff?pid=MOBFZGJ6Q9A5FHRC&lid=LSTMOBFZGJ6Q9A5FHRCENQ0C3&marketplace=FLIPKART&q=poco+x2&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=organic&iid=0179d5af-dbcf-4326-96cb-8381aa75410d.MOBFZGJ6Q9A5FHRC.SEARCH&ppt=None&ppn=None&ssid=72bb1mlhk00000001747565012677&qH=4e0be2db3051d600,https://rukminim2.flixcart.com/image/312/312/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hjssyrsha.jpeg?q=70,"₹14,999","₹17,999",16% off
"POCO X2 (Atlantis Blue, 64 GB)",https://www.flipkart.com/poco-x2-atlantis-blue-64-gb/p/itmbe7b58e0378b8?pid=MOBFZGJ6ZGMD7GEZ&lid=LSTMOBFZGJ6ZGMD7GEZAOQLPQ&marketplace=FLIPKART&q=poco+x2&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=organic&iid=0179d5af-dbcf-4326-96cb-8381aa75410d.MOBFZGJ6ZGMD7GEZ.SEARCH&ppt=None&ppn=None&ssid=72bb1mlhk00000001747565012677&qH=4e0be2db3051d600,https://rukminim2.flixcart.com/image/312/312/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hbfkvftm5.jpeg?q=70,"₹14,999","₹17,999",16% off
"POCO X2 (Matix Purple, 64 GB)",https://www.flipkart.com/poco-x2-matix-purple-64-gb/p/itm2db9fa45189d2?pid=MOBFZGJ6HY6H4JHU&q=poco+x2&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=organic&iid=0179d5af-dbcf-4326-96cb-8381aa75410d.MOBFZGJ6HY6H4JHU.SEARCH&ppt=None&ppn=None&ssid=72bb1mlhk00000001747565012677&qH=4e0be2db3051d600,https://rukminim2.flixcart.com/image/312/312/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hdysz9njg.jpeg?q=70,,,
"POCO X2 (Purple, 128 GB)",https://www.flipkart.com/poco-x2-purple-128-gb/p/itm8715ce604cf32?pid=MOBFZGJ68F5GFVYD&lid=LSTMOBFZGJ68F5GFVYD6LJVFD&marketplace=FLIPKART&q=poco+x2&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=organic&iid=0179d5af-dbcf-4326-96cb-8381aa75410d.MOBFZGJ68F5GFVYD.SEARCH&ppt=None&ppn=None&ssid=72bb1mlhk00000001747565012677&qH=4e0be2db3051d600,https://rukminim2.flixcart.com/image/312/312/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hdysz9njg.jpeg?q=70,"₹15,999","₹18,999",15% off
"POCO X2 (Red, 128 GB)",https://www.flipkart.com/poco-x2-red-128-gb/p/itm399dc084bcc97?pid=MOBFZGJ6AXGFTJSC&lid=LSTMOBFZGJ6AXGFTJSC5QKH7T&marketplace=FLIPKART&q=poco+x2&store=tyy%2F4io&spotlightTagId=default_TrendingId_tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=organic&iid=0179d5af-dbcf-4326-96cb-8381aa75410d.MOBFZGJ6AXGFTJSC.SEARCH&ppt=None&ppn=None&ssid=72bb1mlhk00000001747565012677&qH=4e0be2db3051d600,https://rukminim2.flixcart.com/image/312/312/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hjssyrsha.jpeg?q=70,"₹15,999","₹18,999",15% off
"POCO X2 (Matrix Purple, 256 GB)",https://www.flipkart.com/poco-x2-matrix-purple-256-gb/p/itm8d2cf0d1e308d?pid=MOBFZGJ6Y7DCWWUH&lid=LSTMOBFZGJ6Y7DCWWUHIJKPJS&marketplace=FLIPKART&q=poco+x2&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=organic&iid=0179d5af-dbcf-4326-96cb-8381aa75410d.MOBFZGJ6Y7DCWWUH.SEARCH&ppt=None&ppn=None&ssid=72bb1mlhk00000001747565012677&qH=4e0be2db3051d600,https://rukminim2.flixcart.com/image/312/312/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hdysz9njg.jpeg?q=70,"₹20,999",,
"POCO X2 (Atlantis Blue, 128 GB)",https://www.flipkart.com/poco-x2-atlantis-blue-128-gb/p/itm36af4a9c20dd5?pid=MOBFZGJ6GQRXFZGT&lid=LSTMOBFZGJ6GQRXFZGTAMT9FU&marketplace=FLIPKART&q=poco+x2&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=organic&iid=0179d5af-dbcf-4326-96cb-8381aa75410d.MOBFZGJ6GQRXFZGT.SEARCH&ppt=None&ppn=None&ssid=72bb1mlhk00000001747565012677&qH=4e0be2db3051d600,https://rukminim2.flixcart.com/image/312/312/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hbfkvftm5.jpeg?q=70,"₹15,999","₹18,999",15% off
"POCO X2 (Red, 256 GB)",https://www.flipkart.com/poco-x2-red-256-gb/p/itm065a12f7b9503?pid=MOBFZGJ6BYAPAHBH&lid=LSTMOBFZGJ6BYAPAHBH9YCFJU&marketplace=FLIPKART&q=poco+x2&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=organic&iid=0179d5af-dbcf-4326-96cb-8381aa75410d.MOBFZGJ6BYAPAHBH.SEARCH&ppt=None&ppn=None&ssid=72bb1mlhk00000001747565012677&qH=4e0be2db3051d600,https://rukminim2.flixcart.com/image/312/312/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hjssyrsha.jpeg?q=70,"₹20,999",,
"POCO X2 (Atlantis Blue, 256 GB)",https://www.flipkart.com/poco-x2-atlantis-blue-256-gb/p/itm57a8dd0ea482a?pid=MOBFZGJ6FZK2Y4K4&lid=LSTMOBFZGJ6FZK2Y4K4ZXOGKO&marketplace=FLIPKART&q=poco+x2&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=organic&iid=0179d5af-dbcf-4326-96cb-8381aa75410d.MOBFZGJ6FZK2Y4K4.SEARCH&ppt=None&ppn=None&ssid=72bb1mlhk00000001747565012677&qH=4e0be2db3051d600,https://rukminim2.flixcart.com/image/312/312/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hbfkvftm5.jpeg?q=70,"₹20,999",,
"POCO M6 Plus 5G (Misty Lavender, 128 GB)",https://www.flipkart.com/poco-m6-plus-5g-misty-lavender-128-gb/p/itm88f940941e3f6?pid=MOBH2M2DT5SPSKJ4&lid=LSTMOBH2M2DT5SPSKJ4VAL5AW&marketplace=FLIPKART&q=poco+x2&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=organic&iid=0179d5af-dbcf-4326-96cb-8381aa75410d.MOBH2M2DT5SPSKJ4.SEARCH&ppt=None&ppn=None&ssid=72bb1mlhk00000001747565012677&qH=4e0be2db3051d600,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/b/n/-original-imah3afnqj84usyy.jpeg?q=70,"₹10,499","₹15,999",34% off
