Product Name,Product Link,Image URL,Price,Original Price,Discount
Ambrane 10000 mAh 22.5 W Wireless With MagSafe Power Ba...,https://www.flipkart.com/ambrane-10000-mah-22-5-w-wireless-magsafe-power-bank/p/itmcfbef08c95b54?pid=PWBH2Y8YJYGPZFET&lid=LSTPWBH2Y8YJYGPZFET4EZSUL&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_1&otracker=browse&fm=organic&iid=en_mZOl7AkeomKuHz7F_FgpS7wzi8oaidYJtJjr3HQwAhluK1cxZyjixMPOmCYF6artqEtaF8_gGK-ITDHTFWW1gg%3D%3D&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/y/q/b/-original-imah439zxhbh6ueg.jpeg?q=70,,,50% off
Ambrane 10000 mAh 12 W Compact Pocket Size Power Bank,https://www.flipkart.com/ambrane-10000-mah-12-w-compact-pocket-size-power-bank/p/itmfgysrrxhrggnv?pid=PWBFGYHFCUTJGUQD&lid=LSTPWBFGYHFCUTJGUQDGDZPIE&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_2&otracker=browse&fm=organic&iid=en_mZOl7AkeomKuHz7F_FgpS7wzi8oaidYJtJjr3HQwAhnm4NB0exLk-7GBMbbo8k_SPoOdeWHg6tigU8-3BgDZaQ%3D%3D&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/u/q/f/-original-imagymk3ua34tdvd.jpeg?q=70,,,42% off
Binori 8000 mAh 8 W Compact Power Bank,https://www.flipkart.com/binori-8000-mah-8-w-compact-power-bank/p/itmb5da07f47c59a?pid=PWBH8VXNGWXU2GP6&lid=LSTPWBH8VXNGWXU2GP6WB4MH6&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_3&otracker=browse&fm=organic&iid=094c381f-7ae6-484a-9add-1369a1696ceb.PWBH8VXNGWXU2GP6.SEARCH&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/s/s/d/m5-black-8000-m5-black-binori-original-imah8y2x6fvudspc.jpeg?q=70,,,80% off
boAt 20000 mAh 22.5 W Power Bank,https://www.flipkart.com/boat-20000-mah-22-5-w-power-bank/p/itmb6c0559ccdab6?pid=PWBGR4KGUMSZQMFZ&lid=LSTPWBGR4KGUMSZQMFZWHXGZE&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&spotlightTagId=default_BestsellerId_tyy%2F4mr%2Ffu6&srno=b_1_4&otracker=browse&fm=organic&iid=094c381f-7ae6-484a-9add-1369a1696ceb.PWBGR4KGUMSZQMFZ.SEARCH&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/v/h/s/-original-imagrzjfgq8yards.jpeg?q=70,,,62% off
boAt 10000 mAh 22.5 W Power Bank,https://www.flipkart.com/boat-10000-mah-22-5-w-power-bank/p/itm82e8a7e5a193f?pid=PWBGR4KGJKVFDZAE&lid=LSTPWBGR4KGJKVFDZAEEFH1OV&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_5&otracker=browse&fm=organic&iid=094c381f-7ae6-484a-9add-1369a1696ceb.PWBGR4KGJKVFDZAE.SEARCH&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/4/b/n/-original-imagrnfxqemb9hen.jpeg?q=70,,,67% off
URBN 20000 mAh 22.5 W Power Bank,https://www.flipkart.com/urbn-20000-mah-22-5-w-power-bank/p/itm1e8f43e4faf35?pid=PWBH7E3MHGD8UHSF&lid=LSTPWBH7E3MHGD8UHSFHWOUUE&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_6&otracker=browse&fm=organic&iid=en_mZOl7AkeomKuHz7F_FgpS7wzi8oaidYJtJjr3HQwAhkro2Uy3Ie2DDGJjf1f_uVxSRzJGSdlMm9XdQs0U40j9hhTy0lUJ14SzoMSv_CzLF0%3D&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/7/6/y/compact-power-bank-black-20000-upr211-bk-urbn-original-imah7f6vdyysz2w5.jpeg?q=70,,,63% off
AMYTEL 10000 mAh 15 W Mini Pocket Size Power Bank,https://www.flipkart.com/amytel-10000-mah-15-w-mini-pocket-size-power-bank/p/itm5eb6a8804a649?pid=PWBH8YU9BTBHCHQC&lid=LSTPWBH8YU9BTBHCHQCGBD3SB&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_7&otracker=browse&fm=organic&iid=094c381f-7ae6-484a-9add-1369a1696ceb.PWBH8YU9BTBHCHQC.SEARCH&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/j/u/w/10000-mah-25-w-mini-pocket-size-power-bank-light-blue-lithium-original-imahaf6fgqffvj23.jpeg?q=70,,,90% off
Callmate 5000 mAh 15 W Power Bank,https://www.flipkart.com/callmate-5000-mah-15-w-power-bank/p/itm9de4ffc0b95bc?pid=PWBGPGJZBYNJM4DF&lid=LSTPWBGPGJZBYNJM4DFCS8DA1&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_8&otracker=browse&fm=organic&iid=094c381f-7ae6-484a-9add-1369a1696ceb.PWBGPGJZBYNJM4DF.SEARCH&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/g/4/1/powerpod-c-5000mah-5000-powerpod-c-5000mah-callmate-original-imah5mudj4uwyjjf.jpeg?q=70,,,78% off
Boult 20000 mAh 22.5 W Power Bank,https://www.flipkart.com/boult-20000-mah-22-5-w-power-bank/p/itm63ba73dc4c2a8?pid=PWBH47Z6SGUT2MPU&lid=LSTPWBH47Z6SGUT2MPULSKYZS&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_9&otracker=browse&fm=organic&iid=094c381f-7ae6-484a-9add-1369a1696ceb.PWBH47Z6SGUT2MPU.SEARCH&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/y/m/a/-original-imah4ryt5hd4z45s.jpeg?q=70,,,66% off
FAHIG 6000 mAh 5 W Compact Pocket Size Power Bank,https://www.flipkart.com/fahig-6000-mah-5-w-compact-pocket-size-power-bank/p/itmc75827a9789fc?pid=PWBHAF4GV4VKQZGY&lid=LSTPWBHAF4GV4VKQZGYMGLVYG&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_10&otracker=browse&fm=organic&iid=094c381f-7ae6-484a-9add-1369a1696ceb.PWBHAF4GV4VKQZGY.SEARCH&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/5/4/a/3u-side-grey-fahig-original-imahaf4gkjhzuxjq.jpeg?q=70,,,79% off
boAt 10000 mAh Power Bank,https://www.flipkart.com/boat-10000-mah-power-bank/p/itm415d9c8dec5d2?pid=PWBHB98VFEBNF9XW&lid=LSTPWBHB98VFEBNF9XWJWUMEF&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_11&otracker=browse&fm=organic&iid=en_mZOl7AkeomKuHz7F_FgpS7wzi8oaidYJtJjr3HQwAhkZ5g067OyqleIGKZYTGqTNTAyXdqAsDgzsB87Azn3hnEKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/y/6/k/-original-imahc5ayjg2jad6z.jpeg?q=70,,,68% off
URBN 20000 mAh 22.5 W Pocket Size Power Bank,https://www.flipkart.com/urbn-20000-mah-22-5-w-pocket-size-power-bank/p/itm68bcd84e3a007?pid=PWBGWKCMX73JYYEG&lid=LSTPWBGWKCMX73JYYEGWQSBXJ&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_12&otracker=browse&fm=organic&iid=en_mZOl7AkeomKuHz7F_FgpS7wzi8oaidYJtJjr3HQwAhn67A94iKDmJwvVEQjU78LhToIOT8xvwSqWD24SUmAXvOo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/2/h/8/-original-imagyfgpvrxgfn4h.jpeg?q=70,,,67% off
Paradise 24500 mAh 18 W With MagSafe Ultra Compact Pock...,https://www.flipkart.com/paradise-24500-mah-18-w-magsafe-ultra-compact-pocket-size-power-bank/p/itmfee6e896da86e?pid=PWBH9EXDSAXYMCRZ&lid=LSTPWBH9EXDSAXYMCRZVVWEAI&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_13&otracker=browse&fm=organic&iid=094c381f-7ae6-484a-9add-1369a1696ceb.PWBH9EXDSAXYMCRZ.SEARCH&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/power-bank/w/f/w/28000mah-power-bank-bindii-paradise-original-imah9evhbnhhh4yr.jpeg?q=70,,,78% off
AMYTEL 10000 mAh 18 W Compact Pocket Size Power Bank,https://www.flipkart.com/amytel-10000-mah-18-w-compact-pocket-size-power-bank/p/itm93c6c5fdf6043?pid=PWBH428DXQBYPHKT&lid=LSTPWBH428DXQBYPHKTWFUCGY&marketplace=FLIPKART&store=tyy%2F4mr%2Ffu6&srno=b_1_14&otracker=browse&fm=organic&iid=094c381f-7ae6-484a-9add-1369a1696ceb.PWBH428DXQBYPHKT.SEARCH&ppt=None&ppn=None&ssid=l1xtw4gd4g0000001747566088498,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-power-bank/7/i/g/linear-10000-amytel-original-imagtqyethw5z7hv.jpeg?q=70,,,78% off
