Product Name,Product Link,Image URL,Price,Original Price,Discount
"SAMSUNG Galaxy S25 Edge 5G (Titanium Jetblack, 512 GB)",https://www.flipkart.com/samsung-galaxy-s25-edge-5g-titanium-jetblack-512-gb/p/itma2ff84b74527b?pid=MOBHBXJHW2VN5A2M&lid=LSTMOBHBXJHW2VN5A2MVEYR8O&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Realme1&fm=organic&iid=en_3-9Y_woOwpucDUO5Q2ndAfo9c6-qeI2EEzEQuvRW7P9ehEyEtxa5IROazvdHIWNeLMq1GQisrDrAVftcglFjj_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=6ffyzwpb0g0000001747564583981,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/i/0/-original-imahc6dhagzy3gpz.jpeg?q=70,"₹1,09,999","₹1,21,999",9% off
"SAMSUNG Galaxy S25 Edge 5G (Titanium Silver, 512 GB)",https://www.flipkart.com/samsung-galaxy-s25-edge-5g-titanium-silver-512-gb/p/itm62953909f8f42?pid=MOBHBXJHKSYFNJJB&lid=LSTMOBHBXJHKSYFNJJBQS2NUY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Realme1&fm=organic&iid=en_3-9Y_woOwpucDUO5Q2ndAfo9c6-qeI2EEzEQuvRW7P8_Fr61olSfViXSuXQauRczCscxOQYdNUimUuoMY_neGPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=6ffyzwpb0g0000001747564583981,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/v/1/-original-imahc6dhjmddgztj.jpeg?q=70,"₹1,09,999","₹1,21,999",9% off
"realme P3x 5G (Midnight Blue, 128 GB)",https://www.flipkart.com/realme-p3x-5g-midnight-blue-128-gb/p/itmab5a4b09b6ccc?pid=MOBH8VGV88UADK2Z&lid=LSTMOBH8VGV88UADK2ZH101KQ&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Realme1&fm=organic&iid=18081a8b-fc73-44de-beac-4b3e0e374339.MOBH8VGV88UADK2Z.SEARCH&ppt=None&ppn=None&ssid=6ffyzwpb0g0000001747564583981,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/n/1/-original-imah9gtmya9qhqse.jpeg?q=70,"₹13,999","₹16,999",17% off
"realme C63 5G Charger in the Box (Forest Green, 128 GB)",https://www.flipkart.com/realme-c63-5g-charger-box-forest-green-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ4JE2GVAR&lid=LSTMOBH3DZQ4JE2GVAR5U45PL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Realme1&fm=organic&iid=18081a8b-fc73-44de-beac-4b3e0e374339.MOBH3DZQ4JE2GVAR.SEARCH&ppt=None&ppn=None&ssid=6ffyzwpb0g0000001747564583981,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/w/4/-original-imah3ngrcytpghqx.jpeg?q=70,"₹10,999","₹13,999",21% off
"realme P3 5G (Comet Grey, 128 GB)",https://www.flipkart.com/realme-p3-5g-comet-grey-128-gb/p/itm69060f73d27e8?pid=MOBHAYN57PEGJ98C&lid=LSTMOBHAYN57PEGJ98CKE5UW2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Realme1&fm=organic&iid=18081a8b-fc73-44de-beac-4b3e0e374339.MOBHAYN57PEGJ98C.SEARCH&ppt=None&ppn=None&ssid=6ffyzwpb0g0000001747564583981,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/8/o/-original-imahaff2tkhyasnk.jpeg?q=70,"₹16,999","₹20,999",19% off
"realme P2 Pro 5G (Parrot Green, 256 GB)",https://www.flipkart.com/realme-p2-pro-5g-parrot-green-256-gb/p/itm53d39fff9f20c?pid=MOBH45GSSTNWUJZB&lid=LSTMOBH45GSSTNWUJZB1F4NMV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Realme1&fm=organic&iid=18081a8b-fc73-44de-beac-4b3e0e374339.MOBH45GSSTNWUJZB.SEARCH&ppt=None&ppn=None&ssid=6ffyzwpb0g0000001747564583981,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/y/k/-original-imah4t2mazqcnkrh.jpeg?q=70,"₹19,999","₹27,999",28% off
"realme C61 (Safari Green, 64 GB)",https://www.flipkart.com/realme-c61-safari-green-64-gb/p/itmd6ddbcefce040?pid=MOBHFRKRF6ZHBFTW&lid=LSTMOBHFRKRF6ZHBFTW09ES8B&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Realme1&fm=organic&iid=18081a8b-fc73-44de-beac-4b3e0e374339.MOBHFRKRF6ZHBFTW.SEARCH&ppt=None&ppn=None&ssid=6ffyzwpb0g0000001747564583981,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/e/d/c61-rmx3933-realme-original-imah28xeqdygzshc.jpeg?q=70,"₹7,699","₹8,999",14% off
"realme P3x 5G (Stellar Pink, 128 GB)",https://www.flipkart.com/realme-p3x-5g-stellar-pink-128-gb/p/itmab5a4b09b6ccc?pid=MOBH8VGVHV6AYK25&lid=LSTMOBH8VGVHV6AYK253DF0V2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Realme1&fm=organic&iid=18081a8b-fc73-44de-beac-4b3e0e374339.MOBH8VGVHV6AYK25.SEARCH&ppt=None&ppn=None&ssid=6ffyzwpb0g0000001747564583981,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/v/y/-original-imah9gtmsuutundb.jpeg?q=70,"₹13,999","₹16,999",17% off
"realme P1 5G (Phoenix Red, 128 GB)",https://www.flipkart.com/realme-p1-5g-phoenix-red-128-gb/p/itmae4447062b5b5?pid=MOBGYQ6BXSENZRV3&lid=LSTMOBGYQ6BXSENZRV3XKXGCB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Realme1&fm=organic&iid=18081a8b-fc73-44de-beac-4b3e0e374339.MOBGYQ6BXSENZRV3.SEARCH&ppt=None&ppn=None&ssid=6ffyzwpb0g0000001747564583981,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/0/-original-imahyuhfg2z4fvyh.jpeg?q=70,"₹13,999","₹20,999",33% off
"realme P2 Pro 5G (Parrot Green, 128 GB)",https://www.flipkart.com/realme-p2-pro-5g-parrot-green-128-gb/p/itm53d39fff9f20c?pid=MOBH45GSFFNCGSGR&lid=LSTMOBH45GSFFNCGSGRZYQX51&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Realme1&fm=organic&iid=18081a8b-fc73-44de-beac-4b3e0e374339.MOBH45GSFFNCGSGR.SEARCH&ppt=None&ppn=None&ssid=6ffyzwpb0g0000001747564583981,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/y/k/-original-imah4t2mazqcnkrh.jpeg?q=70,"₹17,999","₹25,999",30% off
