Product Name,Product Link,Image URL,Price,Original Price,Discount
"LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha5 AI Processor 4K Gen6, AI Pictu...",https://www.flipkart.com/lg-ur7500-108-cm-43-inch-ultra-hd-4k-led-smart-webos-tv-alpha5-ai-processor-4k-gen6-picture-pro-upscaling-60-hz-refresh-rate-game-optimizer-magic-remote-capability-5-year-guaranteed-new-os-experience/p/itmbb73aeef5c176?pid=TVSGQQDYSCFGRX2F&lid=LSTTVSGQQDYSCFGRX2FVATNAW&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_1&otracker=browse&fm=organic&iid=en_AgXphylahdGvOt-GLphXQUVTvncq7p5H9GjuKCawfOkpvvgGzuGhdc_Xh3QX_Wa-siD8TnAgIJs1P_Hd7TCVCg%3D%3D&ppt=None&ppn=None&ssid=1v7u5st5740000001747566449406,https://rukminim2.flixcart.com/image/312/312/xif0q/television/r/x/r/-original-imah9h477fyaksqu.jpeg?q=70,"₹29,990","₹49,990",40% off
LG UR75 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2025 Edition with Alpha5 AI Processor 4K Gen...,https://www.flipkart.com/lg-ur75-139-cm-55-inch-ultra-hd-4k-led-smart-webos-tv-2025-alpha5-ai-processor-4k-gen6-100-free-channels-brightness-upscaling-60-hz-refresh-rate-magic-remote-capability-5-year-guaranteed-new-os-experience/p/itm7a53d5817f94e?pid=TVSH9RMFFHZGY2GF&lid=LSTTVSH9RMFFHZGY2GFBFKB90&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_2&otracker=browse&fm=organic&iid=en_AgXphylahdGvOt-GLphXQUVTvncq7p5H9GjuKCawfOkH6wGXHkLIHLEC9Y00stKQfj1RBihUx7fCs81J49JHJg%3D%3D&ppt=None&ppn=None&ssid=1v7u5st5740000001747566449406,https://rukminim2.flixcart.com/image/312/312/xif0q/television/e/p/m/-original-imahbfxc9pszruwk.jpeg?q=70,"₹43,990","₹71,990",38% off
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with with Bezel-Free Design | PurColor | Hyper Rea...,https://www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tizen-tv-bezel-free-design-purcolor-hyper-real-picture-engine-triple-protection-smartthings-app-support-key-connect-share-hdd-connectshare-usb-2-0/p/itm92cc6d1b1d007?pid=TVSGHY2UZA9YHWQN&lid=LSTTVSGHY2UZA9YHWQNCPAW6M&marketplace=FLIPKART&store=ckf%2Fczl&spotlightTagId=default_FkPickId_ckf%2Fczl&srno=b_1_3&otracker=browse&fm=organic&iid=7e7a2362-216d-406b-995c-2b1c2f5bb22b.TVSGHY2UZA9YHWQN.SEARCH&ppt=None&ppn=None&ssid=1v7u5st5740000001747566449406,https://rukminim2.flixcart.com/image/312/312/xif0q/television/k/h/w/-original-imah3868qdatnqg8.jpeg?q=70,"₹12,990","₹18,900",31% off
SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2025 Edition,https://www.flipkart.com/samsung-108-cm-43-inch-ultra-hd-4k-led-smart-tizen-tv-2025/p/itm42281ae37b4fd?pid=TVSHBCDQJGP8WKYT&lid=LSTTVSHBCDQJGP8WKYTLVBDFA&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_4&otracker=browse&fm=organic&iid=7e7a2362-216d-406b-995c-2b1c2f5bb22b.TVSHBCDQJGP8WKYT.SEARCH&ppt=None&ppn=None&ssid=1v7u5st5740000001747566449406,https://rukminim2.flixcart.com/image/312/312/xif0q/television/u/d/4/-original-imahbzrghzxhsh4h.jpeg?q=70,"₹32,990","₹44,900",26% off
LG UR75 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2025 Edition with Alpha5 AI Processor 4K Gen...,https://www.flipkart.com/lg-ur75-108-cm-43-inch-ultra-hd-4k-led-smart-webos-tv-2025-alpha5-ai-processor-4k-gen6-100-free-channels-brightness-upscaling-60-hz-refresh-rate-magic-remote-capability-5-year-guaranteed-new-os-experience/p/itm900e04ee51fc3?pid=TVSH9RMFHNVHHYM3&lid=LSTTVSH9RMFHNVHHYM3AJQGEN&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_5&otracker=browse&fm=organic&iid=en_AgXphylahdGvOt-GLphXQUVTvncq7p5H9GjuKCawfOngqwTyJduFNgGoPGmySRFgbPJBOBG6NZ3l_O57lWRKfA%3D%3D&ppt=None&ppn=None&ssid=1v7u5st5740000001747566449406,https://rukminim2.flixcart.com/image/312/312/xif0q/television/e/z/e/-original-imahbgshzvrruegk.jpeg?q=70,"₹29,990","₹49,990",40% off
LG OLED B4 139 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV 2024 Edition | Alpha8 AI Processor | 100...,https://www.flipkart.com/lg-oled-b4-139-cm-55-inch-ultra-hd-4k-smart-webos-tv-2024-alpha8-ai-processor-100-free-channel-120hz-refresh-rate-picture-pro-super-upscaling-magic-remote-dolby-vision-atmos-5-year-guaranteed-new-os-experience/p/itm9e8297eb7384a?pid=TVSH9RMFUZ5SFXPV&lid=LSTTVSH9RMFUZ5SFXPVGY7F7W&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_6&otracker=browse&fm=organic&iid=en_AgXphylahdGvOt-GLphXQUVTvncq7p5H9GjuKCawfOnBP0ATfmbM-bw2m3R2HO0mcbWgz6KdaC4bvieHTn_kpQ%3D%3D&ppt=None&ppn=None&ssid=1v7u5st5740000001747566449406,https://rukminim2.flixcart.com/image/312/312/xif0q/television/t/z/o/-original-imahadwvfw9buvnn.jpeg?q=70,"₹1,09,990","₹1,93,990",43% off
SAMSUNG New D Series Brighter Crystal 4K Vision Pro (2024 Edition) 125 cm (50 inch) Ultra HD (4K) LED ...,https://www.flipkart.com/samsung-new-d-series-brighter-crystal-4k-vision-pro-2024-edition-125-cm-50-inch-ultra-hd-4k-led-smart-tizen-tv-upscaling-multiple-voice-assistance-remote-purcolor-hdr-10-auto-game-mode-q-symphony-knox-security/p/itm8580c5c3990d8?pid=TVSGYWKBERHVSKKB&lid=LSTTVSGYWKBERHVSKKBO0HVNH&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_7&otracker=browse&fm=organic&iid=7e7a2362-216d-406b-995c-2b1c2f5bb22b.TVSGYWKBERHVSKKB.SEARCH&ppt=None&ppn=None&ssid=1v7u5st5740000001747566449406,https://rukminim2.flixcart.com/image/312/312/xif0q/television/u/v/o/-original-imah2v2gamua43wz.jpeg?q=70,"₹39,990","₹63,900",37% off
SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen T...,https://www.flipkart.com/samsung-crystal-vision-4k-ismart-voice-assistant-108-cm-43-inch-ultra-hd-4k-led-smart-tizen-tv-iot-sensors-light-camera/p/itm0aa7ed39f32ea?pid=TVSGRNGZGWNFGCZM&lid=LSTTVSGRNGZGWNFGCZMTFVV78&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_8&otracker=browse&fm=organic&iid=7e7a2362-216d-406b-995c-2b1c2f5bb22b.TVSGRNGZGWNFGCZM.SEARCH&ppt=None&ppn=None&ssid=1v7u5st5740000001747566449406,https://rukminim2.flixcart.com/image/312/312/xif0q/television/1/z/i/-original-imagyk8ttgzxvs2s.jpeg?q=70,"₹29,999","₹54,900",45% off
SAMSUNG New D Series Brighter Crystal 4K Vision Pro (2024 Edition) 108 cm (43 inch) Ultra HD (4K) LED ...,https://www.flipkart.com/samsung-new-d-series-brighter-crystal-4k-vision-pro-2024-edition-108-cm-43-inch-ultra-hd-4k-led-smart-tizen-tv-upscaling-multiple-voice-assistance-remote-purcolor-hdr-10-auto-game-mode-q-symphony-knox-security/p/itm8580c5c3990d8?pid=TVSGYWKBKGZZ7FKY&lid=LSTTVSGYWKBKGZZ7FKYGN28O7&marketplace=FLIPKART&store=ckf%2Fczl&spotlightTagId=default_BestsellerId_ckf%2Fczl&srno=b_1_9&otracker=browse&fm=organic&iid=7e7a2362-216d-406b-995c-2b1c2f5bb22b.TVSGYWKBKGZZ7FKY.SEARCH&ppt=None&ppn=None&ssid=1v7u5st5740000001747566449406,https://rukminim2.flixcart.com/image/312/312/xif0q/television/u/v/o/-original-imah2v2gamua43wz.jpeg?q=70,"₹30,990","₹46,900",33% off
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV with SMART TV TIZEN HD,https://www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tizen-tv/p/itm7d22580d924e1?pid=TVSFQXFKMHUDYCJ3&lid=LSTTVSFQXFKMHUDYCJ3RNXMI5&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_10&otracker=browse&fm=organic&iid=7e7a2362-216d-406b-995c-2b1c2f5bb22b.TVSFQXFKMHUDYCJ3.SEARCH&ppt=None&ppn=None&ssid=1v7u5st5740000001747566449406,https://rukminim2.flixcart.com/image/312/312/xif0q/television/c/1/j/ua32t4340bkxxl-ua32t4340akxxl-ua32t4340bkxxl-samsung-original-imah9c56ffptmnjm.jpeg?q=70,"₹10,999","₹22,900",51% off
