Product Name,Product Link,Image URL,Price,Original Price,Discount
BOSCH 187 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,https://www.flipkart.com/bosch-187-l-direct-cool-single-door-4-star-refrigerator-base-drawer/p/itmce383345843fa?pid=RFRGYHF6EGZH5RAD&lid=LSTRFRGYHF6EGZH5RADPUYHLC&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_1&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Single%20Door1&fm=organic&iid=en_AEW9EYR_TtRfPg2pFMbwiFwtjn7-c7lIxHbdgry5veRBqu0h76fYgicgEOwcGUnP6bWDiherEqFMo6xgviafKfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=p0yb4iaxmo0000001747566804282,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/v/l/k/-original-imagzh6qfzedb87z.jpeg?q=70,"₹18,990","₹25,490",25% off
"CANDY 175 L Direct Cool Single Door 2 Star Refrigerator  with Toughed glass Shelves ,Stabilizer Free O...",https://www.flipkart.com/candy-175-l-direct-cool-single-door-2-star-refrigerator-toughed-glass-shelves-stabilizer-free-operation/p/itmd00d4273cc990?pid=RFRHACV9QPXFHENQ&lid=LSTRFRHACV9QPXFHENQADDTRI&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_2&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Single%20Door1&fm=organic&iid=en_AEW9EYR_TtRfPg2pFMbwiFwtjn7-c7lIxHbdgry5veT7kag3Uw2WHaTTLRPvxICR887w5MsYa0_Ze7OPQABIhPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=p0yb4iaxmo0000001747566804282,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/k/p/p/-original-imahbzhaxhzzsray.jpeg?q=70,"₹10,490","₹13,990",25% off
Haier 190 L Direct Cool Single Door 2 Star Refrigerator  with Large Storage Space1 Hour Icing Technolo...,https://www.flipkart.com/haier-190-l-direct-cool-single-door-2-star-refrigerator-large-storage-space1-hour-icing-technology/p/itm6772414b3678a?pid=RFRGWU8AWRGCADH6&lid=LSTRFRGWU8AWRGCADH6A20UKX&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_3&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Single%20Door1&fm=organic&iid=b4eb9cac-a7be-4420-9e23-5ff3000ab292.RFRGWU8AWRGCADH6.SEARCH&ppt=None&ppn=None&ssid=p0yb4iaxmo0000001747566804282,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/n/k/g/-original-imahyg9h75mg3vs9.jpeg?q=70,"₹12,990","₹20,790",37% off
Whirlpool 184 L Direct Cool Single Door 2 Star Refrigerator,https://www.flipkart.com/whirlpool-184-l-direct-cool-single-door-2-star-refrigerator/p/itm19c3f8212ab7d?pid=RFRGHRHHVGHG2RHF&lid=LSTRFRGHRHHVGHG2RHFXUYCTW&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_4&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Single%20Door1&fm=organic&iid=b4eb9cac-a7be-4420-9e23-5ff3000ab292.RFRGHRHHVGHG2RHF.SEARCH&ppt=None&ppn=None&ssid=p0yb4iaxmo0000001747566804282,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/z/w/e/-original-imahavpmec8cfnyt.jpeg?q=70,"₹11,790","₹15,400",23% off
"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...",https://www.flipkart.com/lg-185-l-direct-cool-single-door-5-star-refrigerator-base-drawer-smart-inverter-compressor-fast-ice-making/p/itmc16d329bac5cc?pid=RFRHAZZ3GCVPCZ6Y&lid=LSTRFRHAZZ3GCVPCZ6YNL2JUR&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_5&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Single%20Door1&fm=organic&iid=b4eb9cac-a7be-4420-9e23-5ff3000ab292.RFRHAZZ3GCVPCZ6Y.SEARCH&ppt=None&ppn=None&ssid=p0yb4iaxmo0000001747566804282,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/r/7/u/-original-imahb98e28zf2ezh.jpeg?q=70,"₹16,990","₹22,499",24% off
Haier 185 L Direct Cool Single Door 2 Star Refrigerator  with DEFT TechnologyLarge Vegetable Box,https://www.flipkart.com/haier-185-l-direct-cool-single-door-2-star-refrigerator-deft-technologylarge-vegetable-box/p/itm2598986f09229?pid=RFRGWU8AFDEZQSHY&lid=LSTRFRGWU8AFDEZQSHYBT739K&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_6&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Single%20Door1&fm=organic&iid=b4eb9cac-a7be-4420-9e23-5ff3000ab292.RFRGWU8AFDEZQSHY.SEARCH&ppt=None&ppn=None&ssid=p0yb4iaxmo0000001747566804282,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/q/w/0/-original-imahbf9sddpqv2ww.jpeg?q=70,"₹11,990","₹17,090",29% off
SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,https://www.flipkart.com/samsung-183-l-direct-cool-single-door-5-star-refrigerator-base-drawer-digital-inverter/p/itm2bae2ad2801e8?pid=RFRGW5UPKHNTW67W&lid=LSTRFRGW5UPKHNTW67WIKJBAY&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&spotlightTagId=default_BestsellerId_j9e%2Fabm%2Fhzg&srno=b_1_7&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Single%20Door1&fm=organic&iid=b4eb9cac-a7be-4420-9e23-5ff3000ab292.RFRGW5UPKHNTW67W.SEARCH&ppt=None&ppn=None&ssid=p0yb4iaxmo0000001747566804282,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/t/m/9/-original-imah4c6pbhvgerzn.jpeg?q=70,"₹17,490","₹22,999",23% off
Whirlpool 184 L Direct Cool Single Door 2 Star Refrigerator,https://www.flipkart.com/whirlpool-184-l-direct-cool-single-door-2-star-refrigerator/p/itm2384f47993e78?pid=RFRH99Z8EHWFZDAG&lid=LSTRFRH99Z8EHWFZDAGJBYIRK&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_8&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Single%20Door1&fm=organic&iid=en_AEW9EYR_TtRfPg2pFMbwiFwtjn7-c7lIxHbdgry5veTRPKLjSM7Ar1VYTFgTrx_Wvf_SfiO_2HhDKpT4NfOr2U4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=p0yb4iaxmo0000001747566804282,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/n/0/6/-original-imahavpmzf3vdpg6.jpeg?q=70,"₹14,190","₹17,700",19% off
Haier 190 L Direct Cool Single Door 4 Star Refrigerator  with Toughned Glass ShelfLarge Vegetable Box,https://www.flipkart.com/haier-190-l-direct-cool-single-door-4-star-refrigerator-toughned-glass-shelflarge-vegetable-box/p/itmd5e491a1e5e84?pid=RFRGHQAF6RHZS49X&lid=LSTRFRGHQAF6RHZS49X1FSMLE&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_9&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Single%20Door1&fm=organic&iid=b4eb9cac-a7be-4420-9e23-5ff3000ab292.RFRGHQAF6RHZS49X.SEARCH&ppt=None&ppn=None&ssid=p0yb4iaxmo0000001747566804282,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/u/n/o/-original-imahb9wybvnns5se.jpeg?q=70,"₹14,990","₹20,990",28% off
Haier 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Large Storage Space1 Ho...,https://www.flipkart.com/haier-190-l-direct-cool-single-door-4-star-refrigerator-base-drawer-large-storage-space1-hour-icing-technology/p/itm2d9dd48541891?pid=RFRGHQAFZSRKU86P&lid=LSTRFRGHQAFZSRKU86PGGM2GR&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_10&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Single%20Door1&fm=organic&iid=b4eb9cac-a7be-4420-9e23-5ff3000ab292.RFRGHQAFZSRKU86P.SEARCH&ppt=None&ppn=None&ssid=p0yb4iaxmo0000001747566804282,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/l/m/v/-original-imahbf9sqzg8gjtu.jpeg?q=70,"₹15,790","₹23,990",34% off
