Product Name,Product Link,Image URL,Price,Original Price,Discount
"Edyell C5 Motorcycle Helmet Bluetooth Headset, Connects...",https://www.flipkart.com/edyell-c5-motorcycle-helmet-bluetooth-headset-connects-two-phones-same-time-smart-headphones/p/itm9043b0f9a68d5?pid=SMHHF5QDKEEYWTVG&lid=LSTSMHHF5QDKEEYWTVGU304QK&marketplace=FLIPKART&store=ajy%2Fvam&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Smart%20Headphones1&fm=organic&iid=en_dko_8TkaY45BPD_WNBGyjBG9QwtTMv4vc3m9iqsXdoruMtdZd4MdA1FXzd1ZzJ009h9VU0COqRl6R6jWFTsH4g%3D%3D&ppt=None&ppn=None&ssid=pkorg22ysw0000001747565967672,https://rukminim2.flixcart.com/image/612/612/xif0q/smart-headphone/f/9/m/-original-imahadzg2m2jzmaz.jpeg?q=70,,,71% off
"Edyell C5S Motorcycle Bluetooth Headsets, HD Calling an...",https://www.flipkart.com/edyell-c5s-motorcycle-bluetooth-headsets-hd-calling-hifi-music-smart-headphones/p/itm953e6eead59fb?pid=SMHHYEZMDYD3CTZB&lid=LSTSMHHYEZMDYD3CTZBNPHHBK&marketplace=FLIPKART&store=ajy%2Fvam&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Smart%20Headphones1&fm=organic&iid=en_dko_8TkaY45BPD_WNBGyjBG9QwtTMv4vc3m9iqsXdopwGw3bjWdW_0FlW-3OaPlAcBhoZmpOyovbANe541Fhaw%3D%3D&ppt=None&ppn=None&ssid=pkorg22ysw0000001747565967672,https://rukminim2.flixcart.com/image/612/612/xif0q/smart-headphone/7/1/4/c5s-motorcycle-bluetooth-headsets-hd-calling-and-hifi-music-original-imahbfaszstvegkn.jpeg?q=70,,,71% off
ECOWIN NOICELESS ULTRAPODS MAX EARBUDS Smart Headphones,https://www.flipkart.com/ecowin-noiceless-ultrapods-max-earbuds-smart-headphones/p/itm01637fd1af050?pid=SMHH7HZKWNJQFZ5A&lid=LSTSMHH7HZKWNJQFZ5AE4IZW7&marketplace=FLIPKART&store=ajy%2Fvam&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Smart%20Headphones1&fm=organic&iid=168a87fd-65d5-47a0-8299-0f4efc442b35.SMHH7HZKWNJQFZ5A.SEARCH&ppt=None&ppn=None&ssid=pkorg22ysw0000001747565967672,https://rukminim2.flixcart.com/image/612/612/xif0q/smart-headphone/j/f/s/noiceless-ultrapods-max-earbuds-ecowin-original-imah7myhaxtzzjjg.jpeg?q=70,,,72% off
SUPRABH ENTERPRISES M19 Smart Headphones,https://www.flipkart.com/suprabh-enterprises-m19-smart-headphones/p/itm1afb59c27b29f?pid=SMHGY9KSVHGTEC55&lid=LSTSMHGY9KSVHGTEC55VDRHVL&marketplace=FLIPKART&store=ajy%2Fvam&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Smart%20Headphones1&fm=organic&iid=168a87fd-65d5-47a0-8299-0f4efc442b35.SMHGY9KSVHGTEC55.SEARCH&ppt=None&ppn=None&ssid=pkorg22ysw0000001747565967672,https://rukminim2.flixcart.com/image/612/612/xif0q/smart-headphone/b/n/n/m19-suprabh-enterprises-original-imagy9ksdzshkedg.jpeg?q=70,,,70% off
SUPRABH ENTERPRISES 1234 Smart Headphones,https://www.flipkart.com/suprabh-enterprises-1234-smart-headphones/p/itm6ab199366ec2d?pid=SMHH3X4Z8MCZYAHY&lid=LSTSMHH3X4Z8MCZYAHYVC6VOY&marketplace=FLIPKART&store=ajy%2Fvam&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Smart%20Headphones1&fm=organic&iid=168a87fd-65d5-47a0-8299-0f4efc442b35.SMHH3X4Z8MCZYAHY.SEARCH&ppt=None&ppn=None&ssid=pkorg22ysw0000001747565967672,https://rukminim2.flixcart.com/image/612/612/xif0q/smart-headphone/a/t/c/1234-suprabh-enterprises-original-imah3x4zhrdtvyaf.jpeg?q=70,,,91% off
MOTO GENIUS BT12 Bluetooth Helmet Headset with Mic - Co...,https://www.flipkart.com/moto-genius-bt12-bluetooth-helmet-headset-mic-compatible-ios-android-smart-headphones/p/itm2f07786c46527?pid=SMHH9Y4R68PGHDUR&lid=LSTSMHH9Y4R68PGHDURQNKLDE&marketplace=FLIPKART&store=ajy%2Fvam&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Smart%20Headphones1&fm=organic&iid=en_dko_8TkaY45BPD_WNBGyjBG9QwtTMv4vc3m9iqsXdoqWpR9CLNRfXxu8MDJInlm-Xf-bN9TnztkGzUMmHdHzPw%3D%3D&ppt=None&ppn=None&ssid=pkorg22ysw0000001747565967672,https://rukminim2.flixcart.com/image/612/612/xif0q/smart-headphone/r/a/f/bt12-bluetooth-helmet-headset-with-mic-compatible-with-ios-original-imah9htrmjwtpxma.jpeg?q=70,,,58% off
"STROMBUCKS Ultra pods in-Ear Earbuds, Bluetooth Headpho...",https://www.flipkart.com/strombucks-ultra-pods-in-ear-earbuds-bluetooth-headphones-noise-canceling-translucent-smart/p/itm3d7268baf7637?pid=SMHH3FGPFV74BSZJ&lid=LSTSMHH3FGPFV74BSZJ5CASOM&marketplace=FLIPKART&store=ajy%2Fvam&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Smart%20Headphones1&fm=organic&iid=168a87fd-65d5-47a0-8299-0f4efc442b35.SMHH3FGPFV74BSZJ.SEARCH&ppt=None&ppn=None&ssid=pkorg22ysw0000001747565967672,https://rukminim2.flixcart.com/image/612/612/xif0q/smart-headphone/c/w/w/ultra-pods-in-ear-earbuds-bluetooth-headphones-noise-canceling-original-imah3fgpkwkewpds.jpeg?q=70,,,58% off
MRS D-50 Smart Headphones,https://www.flipkart.com/mrs-d-50-smart-headphones/p/itmd94ac49b2b5c3?pid=SMHH3KR8G3XEE9ZR&lid=LSTSMHH3KR8G3XEE9ZRT5S3W6&marketplace=FLIPKART&store=ajy%2Fvam&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Smart%20Headphones1&fm=organic&iid=168a87fd-65d5-47a0-8299-0f4efc442b35.SMHH3KR8G3XEE9ZR.SEARCH&ppt=None&ppn=None&ssid=pkorg22ysw0000001747565967672,https://rukminim2.flixcart.com/image/612/612/xif0q/smart-headphone/p/l/x/d-50-mrs-original-imah3kr8qsjefjq8.jpeg?q=70,,,9% off
"Edyell A1 Motorcycle Bluetooth Headsets, HD Calling and...",https://www.flipkart.com/edyell-a1-motorcycle-bluetooth-headsets-hd-calling-hifi-music-smart-headphones/p/itmf83fc99361802?pid=SMHHYSGR9ZUZ3HHM&lid=LSTSMHHYSGR9ZUZ3HHMOGFZHB&marketplace=FLIPKART&store=ajy%2Fvam&spotlightTagId=default_TrendingId_ajy%2Fvam&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Smart%20Headphones1&fm=organic&iid=168a87fd-65d5-47a0-8299-0f4efc442b35.SMHHYSGR9ZUZ3HHM.SEARCH&ppt=None&ppn=None&ssid=pkorg22ysw0000001747565967672,https://rukminim2.flixcart.com/image/612/612/xif0q/smart-headphone/2/8/y/a1-black-helmet-bluetooth-headsets-mbh-a1-edyell-original-imah3yggxyhzkvgx.jpeg?q=70,,,60% off
crezz m19 tws earbuds headset bluetooth NNv-20 Smart He...,https://www.flipkart.com/crezz-m19-tws-earbuds-headset-bluetooth-nnv-20-smart-headphones/p/itm88afe5d8de5fb?pid=SMHHYQ8DWKNPAPYP&lid=LSTSMHHYQ8DWKNPAPYPDXU76V&marketplace=FLIPKART&store=ajy%2Fvam&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Smart%20Headphones1&fm=organic&iid=168a87fd-65d5-47a0-8299-0f4efc442b35.SMHHYQ8DWKNPAPYP.SEARCH&ppt=None&ppn=None&ssid=pkorg22ysw0000001747565967672,https://rukminim2.flixcart.com/image/612/612/xif0q/smart-headphone/5/d/m/m19-tws-earbuds-headset-bluetooth-nnv-20-crezz-original-imah47vksruufvf3.jpeg?q=70,,,77% off
