Product Name,Product Link,Image URL,Price,Original Price,Discount
"BOSCH 8.5 kg 5 Star with Vario Pulsator +,Scrub Zone & 1360 High RPM Spin Motor Semi Automatic Top Loa...",https://www.flipkart.com/bosch-8-5-kg-5-star-vario-pulsator-scrub-zone-1360-high-rpm-spin-motor-semi-automatic-top-load-washing-machine-black/p/itmadf90c411b65f?pid=WMNHFQTPWB5VDWNW&lid=LSTWMNHFQTPWB5VDWNWPCTBCL&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_1&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Semi%20Automatic%20Top%20Load1&fm=organic&iid=en_p8AfiSUbVjpZlr_tiOxSa0Ifc0W5bzDnXjmd8inJ1dIbfc75sW_dWMuDIks6iL4th0UiORqrb1Qc8r2Q84irafUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=t0h68f6wy80000001747566631861,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/c/x/w/-original-imah7zervqhfx4wr.jpeg?q=70,"₹16,300","₹21,000",22% off
BOSCH 8 kg 5 Star with 1360 High RPM Spin Motor Semi Automatic Top Load Washing Machine Multicolor,https://www.flipkart.com/bosch-8-kg-5-star-1360-high-rpm-spin-motor-semi-automatic-top-load-washing-machine-multicolor/p/itme0b5f02564cb5?pid=WMNHFQTPFHXUKSAP&lid=LSTWMNHFQTPFHXUKSAPNXRBIG&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_2&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Semi%20Automatic%20Top%20Load1&fm=organic&iid=en_p8AfiSUbVjpZlr_tiOxSa0Ifc0W5bzDnXjmd8inJ1dKFlHKk76aPQ__GF0ivQpNw2RIv-nCOYgJE6OlMydqE8fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=t0h68f6wy80000001747566631861,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/9/k/2/-original-imah534gpfn6g4yg.jpeg?q=70,"₹13,200","₹18,400",28% off
"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",https://www.flipkart.com/realme-techlife-7-kg-5-star-rating-semi-automatic-top-load-washing-machine-white-black/p/itmc94e124668ec6?pid=WMNGBFX49DZJWFKZ&lid=LSTWMNGBFX49DZJWFKZAI5LAN&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_3&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Semi%20Automatic%20Top%20Load1&fm=organic&iid=a17ebf5e-5c4a-4bfc-b1d0-5dfc62b2d224.WMNGBFX49DZJWFKZ.SEARCH&ppt=None&ppn=None&ssid=t0h68f6wy80000001747566631861,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/0/q/e/-original-imags7pzrywzxc2z.jpeg?q=70,"₹7,790","₹12,490",37% off
"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",https://www.flipkart.com/whirlpool-7-kg-5-star-ace-wash-station-1400-rpm-speed-rust-proof-semi-automatic-top-load-washing-machine-grey/p/itm4a1a90b50cd6a?pid=WMNGVZF89BJGZQZU&lid=LSTWMNGVZF89BJGZQZULSRMOM&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_4&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Semi%20Automatic%20Top%20Load1&fm=organic&iid=a17ebf5e-5c4a-4bfc-b1d0-5dfc62b2d224.WMNGVZF89BJGZQZU.SEARCH&ppt=None&ppn=None&ssid=t0h68f6wy80000001747566631861,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/p/h/c/-original-imahyvn3zsgah4yp.jpeg?q=70,"₹9,990","₹12,800",21% off
"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-semi-automatic-top-load-washing-machine-black-grey/p/itm16f231540f615?pid=WMNGATRJPSSNF4BN&lid=LSTWMNGATRJPSSNF4BNVZQWDR&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_5&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Semi%20Automatic%20Top%20Load1&fm=organic&iid=a17ebf5e-5c4a-4bfc-b1d0-5dfc62b2d224.WMNGATRJPSSNF4BN.SEARCH&ppt=None&ppn=None&ssid=t0h68f6wy80000001747566631861,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/x/b/j/-original-imags7pajggkacwy.jpeg?q=70,"₹8,290","₹13,990",40% off
"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black",https://www.flipkart.com/realme-techlife-8-5-kg-5-star-rating-semi-automatic-top-load-washing-machine-grey-black/p/itm192446e1808c5?pid=WMNGATRJH82GPXWZ&lid=LSTWMNGATRJH82GPXWZTVEQKP&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_6&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Semi%20Automatic%20Top%20Load1&fm=organic&iid=a17ebf5e-5c4a-4bfc-b1d0-5dfc62b2d224.WMNGATRJH82GPXWZ.SEARCH&ppt=None&ppn=None&ssid=t0h68f6wy80000001747566631861,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/q/h/c/-original-imags7pfmzfeeag6.jpeg?q=70,"₹9,890","₹18,990",47% off
"MarQ by Flipkart 7 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine Blue, White",https://www.flipkart.com/marq-flipkart-7-kg-5-star-rating-innowash-range-semi-automatic-top-load-washing-machine-blue-white/p/itm461e5e0bd2125?pid=WMNGYHCPZ7AYPPHH&lid=LSTWMNGYHCPZ7AYPPHHKWJWSE&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_7&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Semi%20Automatic%20Top%20Load1&fm=organic&iid=a17ebf5e-5c4a-4bfc-b1d0-5dfc62b2d224.WMNGYHCPZ7AYPPHH.SEARCH&ppt=None&ppn=None&ssid=t0h68f6wy80000001747566631861,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/7/i/j/-original-imahf5wfgzgrhdvw.jpeg?q=70,"₹7,490","₹13,990",46% off
InnoQ 10 kg | Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automat...,https://www.flipkart.com/innoq-10-kg-turbo-wash-buzzer-wheels-jet-dryer-magic-filter-lint-semi-automatic-top-load-washing-machine-maroon/p/itmcedc83ad0c028?pid=WMNH8YZMHFAJDX69&lid=LSTWMNH8YZMHFAJDX69UH7HVA&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_8&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Semi%20Automatic%20Top%20Load1&fm=organic&iid=en_p8AfiSUbVjpZlr_tiOxSa0Ifc0W5bzDnXjmd8inJ1dLxYwA1dmLZU57zQrH6l_OHpncp2Q9V_TQnTDj2pcqslA%3D%3D&ppt=None&ppn=None&ssid=t0h68f6wy80000001747566631861,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/u/l/a/-original-imah8zffszh3kxqy.jpeg?q=70,"₹8,590","₹24,990",65% off
"Whirlpool 7.5 kg 5 Star with Memory Retention, End of Cycle Buzzer and Collar Scrubber Semi Automatic ...",https://www.flipkart.com/whirlpool-7-5-kg-5-star-memory-retention-end-cycle-buzzer-collar-scrubber-semi-automatic-top-load-washing-machine-black-grey/p/itm6bedc92d5c109?pid=WMNGF9W87UZG9NEJ&lid=LSTWMNGF9W87UZG9NEJ4KTB1E&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_9&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Semi%20Automatic%20Top%20Load1&fm=organic&iid=a17ebf5e-5c4a-4bfc-b1d0-5dfc62b2d224.WMNGF9W87UZG9NEJ.SEARCH&ppt=None&ppn=None&ssid=t0h68f6wy80000001747566631861,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/d/s/t/-original-imahywzcbzzugfha.jpeg?q=70,"₹10,990","₹14,100",22% off
Thomson 7 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Blue,https://www.flipkart.com/thomson-7-kg-5-star-aqua-magic-semi-automatic-top-load-washing-machine-blue/p/itmdb64fb93d499e?pid=WMNGR5WS35EEGMGC&lid=LSTWMNGR5WS35EEGMGCVZAOXD&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_10&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Semi%20Automatic%20Top%20Load1&fm=organic&iid=a17ebf5e-5c4a-4bfc-b1d0-5dfc62b2d224.WMNGR5WS35EEGMGC.SEARCH&ppt=None&ppn=None&ssid=t0h68f6wy80000001747566631861,https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/9/r/y/-original-imah3zfyza9avwyp.jpeg?q=70,"₹7,590","₹10,499",27% off
