Product Name,Product Link,Image URL,Price,Original Price,Discount
"SAMSUNG Galaxy S25 Edge 5G (Titanium Jetblack, 512 GB)",https://www.flipkart.com/samsung-galaxy-s25-edge-5g-titanium-jetblack-512-gb/p/itma2ff84b74527b?pid=MOBHBXJHW2VN5A2M&lid=LSTMOBHBXJHW2VN5A2MVEYR8O&marketplace=FLIPKART&store=tyy%2F4io&srno=b_11_241&otracker=nmenu_sub_Electronics_0_Vivo&fm=organic&iid=en_ll5aTAgmeK6iio6ZNhWVkeIRmiAN1v0sobFVBNHqGxuRN05u32LqgKpC2QEIWRkzLMq1GQisrDrAVftcglFjj_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=nqrw94qhjk0000001747564942383,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/i/0/-original-imahc6dhagzy3gpz.jpeg?q=70,"₹1,09,999","₹1,21,999",9% off
"SAMSUNG Galaxy S25 Edge 5G (Titanium Silver, 512 GB)",https://www.flipkart.com/samsung-galaxy-s25-edge-5g-titanium-silver-512-gb/p/itm62953909f8f42?pid=MOBHBXJHKSYFNJJB&lid=LSTMOBHBXJHKSYFNJJBQS2NUY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_11_242&otracker=nmenu_sub_Electronics_0_Vivo&fm=organic&iid=en_ll5aTAgmeK6iio6ZNhWVkeIRmiAN1v0sobFVBNHqGxsRHmd_v5tGknvFlEeCo8_nCscxOQYdNUimUuoMY_neGPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=nqrw94qhjk0000001747564942383,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/v/1/-original-imahc6dhjmddgztj.jpeg?q=70,"₹1,09,999","₹1,21,999",9% off
"vivo V30 5G (Classic Black, 128 GB)",https://www.flipkart.com/vivo-v30-5g-classic-black-128-gb/p/itme3a94b78a025f?pid=MOBGYGCB3UAYSU3Z&lid=LSTMOBGYGCB3UAYSU3ZIE9DJQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_11_243&otracker=nmenu_sub_Electronics_0_Vivo&fm=organic&iid=f8d93f72-32c3-405e-ae6c-2ab3f2cdd906.MOBGYGCB3UAYSU3Z.SEARCH&ppt=None&ppn=None&ssid=nqrw94qhjk0000001747564942383,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/k/a/-original-imagyzw9nzhtpmup.jpeg?q=70,"₹28,011","₹38,999",28% off
"vivo Y16 (Drizzling Gold, 32 GB)",https://www.flipkart.com/vivo-y16-drizzling-gold-32-gb/p/itm72f3a9786718b?pid=MOBGHV2FEHZ4ZZRR&lid=LSTMOBGHV2FEHZ4ZZRRBCQCZM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_11_244&otracker=nmenu_sub_Electronics_0_Vivo&fm=organic&iid=f8d93f72-32c3-405e-ae6c-2ab3f2cdd906.MOBGHV2FEHZ4ZZRR.SEARCH&ppt=None&ppn=None&ssid=nqrw94qhjk0000001747564942383,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/d/p/-original-imaggcerdxgpxyh3.jpeg?q=70,"₹9,999","₹12,999",23% off
"vivo T2 5G (Velocity Wave, 128 GB)",https://www.flipkart.com/vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU2GHZTMGN&lid=LSTMOBGZBFU2GHZTMGNEFEQUV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_11_245&otracker=nmenu_sub_Electronics_0_Vivo&fm=organic&iid=f8d93f72-32c3-405e-ae6c-2ab3f2cdd906.MOBGZBFU2GHZTMGN.SEARCH&ppt=None&ppn=None&ssid=nqrw94qhjk0000001747564942383,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/s/r/-original-imagpfbtmrr7spgc.jpeg?q=70,"₹17,999","₹24,999",28% off
"vivo Y16 (Drizzling Gold, 64 GB)",https://www.flipkart.com/vivo-y16-drizzling-gold-64-gb/p/itm72f3a9786718b?pid=MOBGHV2FREZH4NHQ&lid=LSTMOBGHV2FREZH4NHQ8BYVNN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_11_246&otracker=nmenu_sub_Electronics_0_Vivo&fm=organic&iid=f8d93f72-32c3-405e-ae6c-2ab3f2cdd906.MOBGHV2FREZH4NHQ.SEARCH&ppt=None&ppn=None&ssid=nqrw94qhjk0000001747564942383,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/d/p/-original-imaggcerdxgpxyh3.jpeg?q=70,"₹9,583","₹14,999",36% off
"vivo Y16 (Steller Black, 32 GB)",https://www.flipkart.com/vivo-y16-steller-black-32-gb/p/itm72f3a9786718b?pid=MOBGHV2F3ZEDRKQA&lid=LSTMOBGHV2F3ZEDRKQAQMH0EM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_11_247&otracker=nmenu_sub_Electronics_0_Vivo&fm=organic&iid=f8d93f72-32c3-405e-ae6c-2ab3f2cdd906.MOBGHV2F3ZEDRKQA.SEARCH&ppt=None&ppn=None&ssid=nqrw94qhjk0000001747564942383,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/v/z/-original-imaggcerjgnshnyw.jpeg?q=70,"₹9,850","₹9,900",
"vivo V30 5G (Peacock Green, 256 GB)",https://www.flipkart.com/vivo-v30-5g-peacock-green-256-gb/p/itme3a94b78a025f?pid=MOBGYGCBFZ25GARG&lid=LSTMOBGYGCBFZ25GARGUWQC5P&marketplace=FLIPKART&store=tyy%2F4io&srno=b_11_248&otracker=nmenu_sub_Electronics_0_Vivo&fm=organic&iid=f8d93f72-32c3-405e-ae6c-2ab3f2cdd906.MOBGYGCBFZ25GARG.SEARCH&ppt=None&ppn=None&ssid=nqrw94qhjk0000001747564942383,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/g/3/v30-5g-v2318-vivo-original-imagyzhhxumayhzw.jpeg?q=70,"₹33,999","₹42,999",20% off
"vivo Y18t (Gem Green, 128 GB)",https://www.flipkart.com/vivo-y18t-gem-green-128-gb/p/itme070e0d6f5af3?pid=MOBH5VZZYVAK5DEK&store=tyy%2F4io&srno=b_11_249&otracker=nmenu_sub_Electronics_0_Vivo&fm=organic&iid=f8d93f72-32c3-405e-ae6c-2ab3f2cdd906.MOBH5VZZYVAK5DEK.SEARCH&ppt=None&ppn=None&ssid=nqrw94qhjk0000001747564942383,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/l/0/-original-imah6ag3vqmhas4m.jpeg?q=70,,,
"vivo V23 Pro 5G (Sunshine Gold, 256 GB)",https://www.flipkart.com/vivo-v23-pro-5g-sunshine-gold-256-gb/p/itmf5550a0e86c82?pid=MOBGA25QKVJ6GGV4&lid=LSTMOBGA25QKVJ6GGV4VCCRQ9&marketplace=FLIPKART&store=tyy%2F4io&srno=b_11_250&otracker=nmenu_sub_Electronics_0_Vivo&fm=organic&iid=f8d93f72-32c3-405e-ae6c-2ab3f2cdd906.MOBGA25QKVJ6GGV4.SEARCH&ppt=None&ppn=None&ssid=nqrw94qhjk0000001747564942383,https://rukminim2.flixcart.com/image/312/312/ky0g58w0/mobile/j/b/c/-original-imagabvqgqdhaacc.jpeg?q=70,"₹43,990","₹45,990",4% off
