Product Name,Product Link,Image URL,Price,Original Price,Discount
"Panasonic 20 L Epoxy Gray Cavity Coating, Auto Cook Recipes Solo Microwave Oven",https://www.flipkart.com/panasonic-20-l-epoxy-gray-cavity-coating-auto-cook-recipes-solo-microwave-oven/p/itmb8693e45493f6?pid=MRCFTZ8E2AREQZZ4&lid=LSTMRCFTZ8E2AREQZZ4FDIDGI&marketplace=FLIPKART&q=microwave+oven&store=j9e%2Fm38%2Fo49&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=en_SLKdbC85UbtDuf0EhcAySV9bbK-v6mLUPXdE2Gtq8iakh03IZjcza4gndnUJqvNCp9Tb_LS_EKrVESAbJbGbCvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=fyau0q2q4g0000001747567018854&qH=473b4abe03a500c3,https://rukminim2.flixcart.com/image/312/312/xif0q/microwave-new/l/w/i/-original-imah8yu8efyjtyhg.jpeg?q=70,"₹5,740","₹6,790",15% off
Panasonic 20 L Stainless steel cavity Solo Microwave Oven,https://www.flipkart.com/panasonic-20-l-stainless-steel-cavity-solo-microwave-oven/p/itm44af8460a2306?pid=MRCFTZ8EWHBBPCSC&lid=LSTMRCFTZ8EWHBBPCSC9AO4IF&marketplace=FLIPKART&q=microwave+oven&store=j9e%2Fm38%2Fo49&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=en_SLKdbC85UbtDuf0EhcAySV9bbK-v6mLUPXdE2Gtq8iZtZ4kChkoT6XcfruM267oWFftwFyViv5ExJQychg6BYvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=fyau0q2q4g0000001747567018854&qH=473b4abe03a500c3,https://rukminim2.flixcart.com/image/312/312/xif0q/microwave-new/z/r/6/-original-imah8yu89zggxajw.jpeg?q=70,"₹6,190","₹7,490",17% off
Panasonic 20 L Grill Microwave Oven,https://www.flipkart.com/panasonic-20-l-grill-microwave-oven/p/itmdwdmnahzgxvyh?pid=MRCDWBZXF5ENWDZB&lid=LSTMRCDWBZXF5ENWDZBLKNYQ5&marketplace=FLIPKART&q=microwave+oven&store=j9e%2Fm38%2Fo49&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=en_SLKdbC85UbtDuf0EhcAySV9bbK-v6mLUPXdE2Gtq8iahPSKaI0i29T1o9B2NPO0zYchwfYMqjJX04_VsQT5kHPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=fyau0q2q4g0000001747567018854&qH=473b4abe03a500c3,https://rukminim2.flixcart.com/image/312/312/xif0q/microwave-new/j/c/p/-original-imah8yu8dgtsy7zg.jpeg?q=70,"₹7,790","₹9,590",18% off
Voltas Beko 20 L 700 W Smart Solo Microwave Oven,https://www.flipkart.com/voltas-beko-20-l-700-w-smart-solo-microwave-oven/p/itm72f72a1c786e7?pid=MRCG6F5ZTYYQGD8U&lid=LSTMRCG6F5ZTYYQGD8US4M0WI&marketplace=FLIPKART&q=microwave+oven&store=j9e%2Fm38%2Fo49&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=fdf2e8ca-6626-4fa9-b228-509df19c8e23.MRCG6F5ZTYYQGD8U.SEARCH&ppt=None&ppn=None&ssid=fyau0q2q4g0000001747567018854&qH=473b4abe03a500c3,https://rukminim2.flixcart.com/image/312/312/xif0q/microwave-new/t/5/t/-original-imahbzgkutbzfhrb.jpeg?q=70,"₹4,990","₹6,890",27% off
"IFB 23 L with Airfryer, Multi-stage cooking Convection Microwave Oven",https://www.flipkart.com/ifb-23-l-airfryer-multi-stage-cooking-convection-microwave-oven/p/itmdwmvzgvtbzcnz?pid=MRCDWK8TTHVHW3WY&lid=LSTMRCDWK8TTHVHW3WYAU7NOA&marketplace=FLIPKART&q=microwave+oven&store=j9e%2Fm38%2Fo49&spotlightTagId=default_FkPickId_j9e%2Fm38%2Fo49&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=fdf2e8ca-6626-4fa9-b228-509df19c8e23.MRCDWK8TTHVHW3WY.SEARCH&ppt=None&ppn=None&ssid=fyau0q2q4g0000001747567018854&qH=473b4abe03a500c3,https://rukminim2.flixcart.com/image/312/312/xif0q/microwave-new/9/5/n/-original-imagk8skba6ebhnz.jpeg?q=70,"₹9,990","₹13,990",28% off
"Whirlpool 20 L 18 Auto Cook Recipes, Feather Touch Membrane Solo Microwave Oven",https://www.flipkart.com/whirlpool-20-l-18-auto-cook-recipes-feather-touch-membrane-solo-microwave-oven/p/itm55e37900bfc42?pid=MRCFHW7R6ZYZPPJT&lid=LSTMRCFHW7R6ZYZPPJT0BB9CP&marketplace=FLIPKART&q=microwave+oven&store=j9e%2Fm38%2Fo49&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=fdf2e8ca-6626-4fa9-b228-509df19c8e23.MRCFHW7R6ZYZPPJT.SEARCH&ppt=None&ppn=None&ssid=fyau0q2q4g0000001747567018854&qH=473b4abe03a500c3,https://rukminim2.flixcart.com/image/312/312/xif0q/microwave-new/q/m/h/-original-imah7z9yf6aqxkmn.jpeg?q=70,"₹5,990","₹8,775",31% off
"LG 20 L with i-wave Technology, Health plus, Indian cuisine Solo Microwave Oven",https://www.flipkart.com/lg-20-l-i-wave-technology-health-plus-indian-cuisine-solo-microwave-oven/p/itmf3rygebb6pbk7?pid=MRCF2UQHF5FPDXGP&lid=LSTMRCF2UQHF5FPDXGPJIS1YS&marketplace=FLIPKART&q=microwave+oven&store=j9e%2Fm38%2Fo49&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=fdf2e8ca-6626-4fa9-b228-509df19c8e23.MRCF2UQHF5FPDXGP.SEARCH&ppt=None&ppn=None&ssid=fyau0q2q4g0000001747567018854&qH=473b4abe03a500c3,https://rukminim2.flixcart.com/image/312/312/xif0q/microwave-new/i/r/o/-original-imah6dzajzhbqfum.jpeg?q=70,"₹6,790","₹8,199",17% off
"Panasonic 27 L Black Mirror, 360 degree Heat Wrap, stainless steel cavity, Magic Grill Convection Micr...",https://www.flipkart.com/panasonic-27-l-black-mirror-360-degree-heat-wrap-stainless-steel-cavity-magic-grill-convection-microwave-oven/p/itmegz8zzy66feze?pid=MRCEGZ8Y8X6FNTQU&lid=LSTMRCEGZ8Y8X6FNTQUFO8MID&marketplace=FLIPKART&q=microwave+oven&store=j9e%2Fm38%2Fo49&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=en_SLKdbC85UbtDuf0EhcAySV9bbK-v6mLUPXdE2Gtq8iYv6i2jrebfk1gWI7Cv0e8U5EdfqqTIXETlSYJ-TXx8Ag891ypMzu4_aryI8_sihJ8%3D&ppt=None&ppn=None&ssid=fyau0q2q4g0000001747567018854&qH=473b4abe03a500c3,https://rukminim2.flixcart.com/image/312/312/xif0q/microwave-new/1/f/0/-original-imah8yu83nh2vqpe.jpeg?q=70,"₹11,790","₹16,190",27% off
"SAMSUNG 28 L Curd Making, Pre heat, Eco Mode, Power Defrost, Auto Cook Convection & Grill Microwave Ov...",https://www.flipkart.com/samsung-28-l-curd-making-pre-heat-eco-mode-power-defrost-auto-cook-convection-grill-microwave-oven/p/itm16a0a01ca9e79?pid=MRCGDAVXGK9NZWNH&lid=LSTMRCGDAVXGK9NZWNHYILLGM&marketplace=FLIPKART&q=microwave+oven&store=j9e%2Fm38%2Fo49&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=fdf2e8ca-6626-4fa9-b228-509df19c8e23.MRCGDAVXGK9NZWNH.SEARCH&ppt=None&ppn=None&ssid=fyau0q2q4g0000001747567018854&qH=473b4abe03a500c3,https://rukminim2.flixcart.com/image/312/312/xif0q/microwave-new/9/j/r/-original-imah2hyhhzdqjj4r.jpeg?q=70,"₹12,460","₹15,590",20% off
"Haier 19 L Inverter Technology, Light Weight, Defrost, 5 Power Levels Solo Microwave Oven",https://www.flipkart.com/haier-19-l-inverter-technology-light-weight-defrost-5-power-levels-solo-microwave-oven/p/itm3df8526fcef34?pid=MRCGWV4RQEWV6DHF&lid=LSTMRCGWV4RQEWV6DHFYD5FYW&marketplace=FLIPKART&q=microwave+oven&store=j9e%2Fm38%2Fo49&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=fdf2e8ca-6626-4fa9-b228-509df19c8e23.MRCGWV4RQEWV6DHF.SEARCH&ppt=None&ppn=None&ssid=fyau0q2q4g0000001747567018854&qH=473b4abe03a500c3,https://rukminim2.flixcart.com/image/312/312/xif0q/microwave-new/w/y/z/-original-imahygky6zcmdhrq.jpeg?q=70,"₹5,290","₹8,500",37% off
