Product Name,Product Link,Image URL,Price,Original Price,Discount
Flipkart SmartBuy 5 Pcs Kitchen & Household Cleaning Sp...,https://www.flipkart.com/flipkart-smartbuy-5-pcs-kitchen-household-cleaning-sponge-wipe/p/itm2dbe64d4c488c?pid=SRPFRBYWNMRCM6PG&lid=LSTSRPFRBYWNMRCM6PGCK84VJ&marketplace=FLIPKART&store=rja%2Fz2d&srno=b_1_1&otracker=nmenu_sub_Home%20%26%20Furniture_0_Cleaning%20Supplies1&fm=organic&iid=f13128d1-df08-42e6-b560-8938923c822d.SRPFRBYWNMRCM6PG.SEARCH&ppt=None&ppn=None&ssid=228kjyky000000001747562644500,https://rukminim2.flixcart.com/image/612/612/k9k8wi80/scrub-pad/6/p/g/5-pcs-kitchen-household-cleaning-medium-5-flipkart-smartbuy-original-imafrcygfyxdersh.jpeg?q=70,₹140,₹299,53% off
"SHARPNAL Twist Mops for Floor Cleaning, Microfiber Floo...",https://www.flipkart.com/sharpnal-twist-mops-floor-cleaning-microfiber-mop-set-microfibre-wet-dry-brush/p/itm821bf549371e5?pid=BMBGZMDPMFMFDMCH&lid=LSTBMBGZMDPMFMFDMCHQ5KKCD&marketplace=FLIPKART&store=rja%2Fz2d&srno=b_1_2&otracker=nmenu_sub_Home%20%26%20Furniture_0_Cleaning%20Supplies1&fm=organic&iid=f13128d1-df08-42e6-b560-8938923c822d.BMBGZMDPMFMFDMCH.SEARCH&ppt=None&ppn=None&ssid=228kjyky000000001747562644500,https://rukminim2.flixcart.com/image/612/612/xif0q/broom-brush/f/n/f/1-twist-mops-for-floor-cleaning-microfiber-floor-mop-mop-set-original-imah8wfzujjfwzh5.jpeg?q=70,₹260,₹899,71% off
Flipkart SmartBuy Plastic Dustbin,https://www.flipkart.com/flipkart-smartbuy-plastic-dustbin/p/itm37658a8641159?pid=DUBGTERQQ9ND3YFN&lid=LSTDUBGTERQQ9ND3YFN0FK3RT&marketplace=FLIPKART&store=rja%2Fz2d&srno=b_1_3&otracker=nmenu_sub_Home%20%26%20Furniture_0_Cleaning%20Supplies1&fm=organic&iid=f13128d1-df08-42e6-b560-8938923c822d.DUBGTERQQ9ND3YFN.SEARCH&ppt=None&ppn=None&ssid=228kjyky000000001747562644500,https://rukminim2.flixcart.com/image/612/612/xif0q/dustbin/e/a/o/dustbin-dustpan-combo-flipkart-smartbuy-original-imah8rf5pkhpjfxu.jpeg?q=70,₹249,₹799,68% off
ShopiMoz Pack Of 3 Pcs Multipurpose Magic Eraser Sponge...,https://www.flipkart.com/shopimoz-pack-3-pcs-multipurpose-magic-eraser-sponge-kitchen-cleaner-scrub-pad/p/itmf81933f3cc3a6?pid=SRPGUKZXAEHMKWDF&lid=LSTSRPGUKZXAEHMKWDFZ9SGUR&marketplace=FLIPKART&store=rja%2Fz2d&srno=b_1_4&otracker=nmenu_sub_Home%20%26%20Furniture_0_Cleaning%20Supplies1&fm=organic&iid=f13128d1-df08-42e6-b560-8938923c822d.SRPGUKZXAEHMKWDF.SEARCH&ppt=None&ppn=None&ssid=228kjyky000000001747562644500,https://rukminim2.flixcart.com/image/612/612/xif0q/scrub-pad/x/6/9/regular-pack-of-3-pcs-multipurpose-magic-eraser-sponge-kitchen-original-imagukzw82whnzb3.jpeg?q=70,₹165,₹999,83% off
MAAUVTOR Toilet Cleaning Gel Toilet Freshener and Clean...,https://www.flipkart.com/maauvtor-toilet-cleaning-gel-freshener-cleaner-flower-remove-bad-odor/p/itmb2939531ccb31?pid=TBSHBNNACASJ5Y7Z&lid=LSTTBSHBNNACASJ5Y7Z0LWX3Q&marketplace=FLIPKART&store=rja%2Fz2d&srno=b_1_5&otracker=nmenu_sub_Home%20%26%20Furniture_0_Cleaning%20Supplies1&fm=organic&iid=f13128d1-df08-42e6-b560-8938923c822d.TBSHBNNACASJ5Y7Z.SEARCH&ppt=None&ppn=None&ssid=228kjyky000000001747562644500,https://rukminim2.flixcart.com/image/612/612/xif0q/toilet-brush/7/6/v/1-no-toilet-cleaning-gel-toilet-freshener-and-cleaner-flower-gel-original-imahbyjnq84chd5s.jpeg?q=70,₹118,₹599,80% off
Greensify Dry Microfiber Cleaning Cloth,https://www.flipkart.com/greensify-dry-microfiber-cleaning-cloth/p/itm4813de9fea4ec?pid=CLCGKM9ZFKSECVCG&lid=LSTCLCGKM9ZFKSECVCGJTGITX&marketplace=FLIPKART&store=rja%2Fz2d&srno=b_1_6&otracker=nmenu_sub_Home%20%26%20Furniture_0_Cleaning%20Supplies1&fm=organic&iid=f13128d1-df08-42e6-b560-8938923c822d.CLCGKM9ZFKSECVCG.SEARCH&ppt=None&ppn=None&ssid=228kjyky000000001747562644500,https://rukminim2.flixcart.com/image/612/612/xif0q/cleaning-cloth/f/a/w/15-6-micrio-fiber-towel-pack-of-6-greensify-original-imagkm9p2jmmjyz6.jpeg?q=70,₹221,"₹1,499",85% off
AHYRA 5 PCS Microfiber Car Duster Kit|Interior & Exteri...,https://www.flipkart.com/ahyra-5-pcs-microfiber-car-duster-kit-interior-exterior-cleaning-detailing-tool-wet-dry-set/p/itm72843b1b77922?pid=DUSH4GZRGZGJM4AY&lid=LSTDUSH4GZRGZGJM4AYQUPZCI&marketplace=FLIPKART&store=rja%2Fz2d&srno=b_1_7&otracker=nmenu_sub_Home%20%26%20Furniture_0_Cleaning%20Supplies1&fm=organic&iid=f13128d1-df08-42e6-b560-8938923c822d.DUSH4GZRGZGJM4AY.SEARCH&ppt=None&ppn=None&ssid=228kjyky000000001747562644500,https://rukminim2.flixcart.com/image/612/612/xif0q/duster/l/w/5/5-5-pcs-microfiber-car-duster-kit-interior-exterior-car-cleaning-original-imahb6j35xhrma8a.jpeg?q=70,₹328,"₹2,499",86% off
Flipkart SmartBuy STEEL SPRINKLER 2 MICROFIBER REFILLS ...,https://www.flipkart.com/flipkart-smartbuy-steel-sprinkler-2-microfiber-refills-blue-color-mop-set/p/itm3ae8964fd44a0?pid=HCSGNAQEGGFS8GAW&lid=LSTHCSGNAQEGGFS8GAWLSHMPV&marketplace=FLIPKART&store=rja%2Fz2d&spotlightTagId=default_BestsellerId_rja%2Fz2d&srno=b_1_8&otracker=nmenu_sub_Home%20%26%20Furniture_0_Cleaning%20Supplies1&fm=organic&iid=f13128d1-df08-42e6-b560-8938923c822d.HCSGNAQEGGFS8GAW.SEARCH&ppt=None&ppn=None&ssid=228kjyky000000001747562644500,https://rukminim2.flixcart.com/image/612/612/xif0q/mop-cleaning-wipe/i/g/g/1-blue-delight-steel-handle-mop-set-flipkart-smartbuy-na-original-imahatkbuapffgzs.jpeg?q=70,₹541,"₹2,199",75% off
PITRADEV Wet Kitchen Cleaning Cloth Environmentally Fri...,https://www.flipkart.com/pitradev-wet-kitchen-cleaning-cloth-environmentally-friendly-cellulose-scrub-pad-dry-sponge/p/itm3935056ab1d70?pid=CLCHB6ZCHV8QWKSK&lid=LSTCLCHB6ZCHV8QWKSKNHQ929&marketplace=FLIPKART&store=rja%2Fz2d&srno=b_1_9&otracker=nmenu_sub_Home%20%26%20Furniture_0_Cleaning%20Supplies1&fm=organic&iid=f13128d1-df08-42e6-b560-8938923c822d.CLCHB6ZCHV8QWKSK.SEARCH&ppt=None&ppn=None&ssid=228kjyky000000001747562644500,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-scrub-pad/m/a/o/medium-wet-kitchen-cleaning-cloth-environmentally-friendly-original-imahb7mtmngz6q3t.jpeg?q=70,₹106,₹499,78% off
Sahni Steel Broom Pack Of 5 Grass Dry Broom,https://www.flipkart.com/sahni-steel-broom-pack-5-grass-dry/p/itm368302806750f?pid=BMBH32GSBTS5UGPG&lid=LSTBMBH32GSBTS5UGPGDT9CTJ&marketplace=FLIPKART&store=rja%2Fz2d&srno=b_1_10&otracker=nmenu_sub_Home%20%26%20Furniture_0_Cleaning%20Supplies1&fm=organic&iid=f13128d1-df08-42e6-b560-8938923c822d.BMBH32GSBTS5UGPG.SEARCH&ppt=None&ppn=None&ssid=228kjyky000000001747562644500,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-broom-brush/x/f/x/1-steel-broom-pack-of-5-banithani-original-imah6hryzytxw5fg.jpeg?q=70,₹277,₹699,60% off
