Product Name,Product Link,Image URL,Price,Original Price,Discount
HARSONA Analog 25 cm X 25 cm Wall Clock,https://www.flipkart.com/harsona-analog-25-cm-x-wall-clock/p/itmd31c3f8f3449d?pid=WCKGAHYQSMPDZCPY&lid=LSTWCKGAHYQSMPDZCPYZS3YIW&marketplace=FLIPKART&store=arb%2Fkjw&srno=b_1_1&otracker=browse&fm=organic&iid=en_hM1RyygA9LQ-du6VEOrmqljGEYJK3-jpLqs8lqalzIIQXueoUpzNkjzq5VUeo6mhTVEtXCMkp71M-rN92-Fu-g%3D%3D&ppt=None&ppn=None&ssid=1eukmrqdf40000001747563498511,https://rukminim2.flixcart.com/image/612/612/xif0q/wall-clock/w/w/d/radha-krishna-wall-clock-25-rk55-analog-harsona-25-original-imah3ys4byvygx6f.jpeg?q=70,₹219,"₹1,399",84% off
CW Crafts World Analog 25 cm X 35 cm Wall Clock,https://www.flipkart.com/cw-crafts-world-analog-25-cm-x-35-wall-clock/p/itm4c3d1927703ad?pid=WCKGBGTHQNUCZBZN&lid=LSTWCKGBGTHQNUCZBZNY3SKJE&marketplace=FLIPKART&store=arb%2Fkjw&srno=b_1_2&otracker=browse&fm=organic&iid=en_hM1RyygA9LQ-du6VEOrmqljGEYJK3-jpLqs8lqalzIIf4_PhqvLNu9tYqkkkxMpiPK9s3Dwob9qKR25uEvLEqA%3D%3D&ppt=None&ppn=None&ssid=1eukmrqdf40000001747563498511,https://rukminim2.flixcart.com/image/612/612/kziqvm80/wall-clock/b/n/z/wall-clock-plastic-designer-wall-clock-for-living-room-wall-original-imagbgth8qhyzryq.jpeg?q=70,₹360,"₹1,199",69% off
matiz Analog 20 cm X 20 cm Wall Clock,https://www.flipkart.com/matiz-analog-20-cm-x-wall-clock/p/itm1eb1210ba73bd?pid=WCKGMXHWGYWVBZK7&lid=LSTWCKGMXHWGYWVBZK7GBGSMK&marketplace=FLIPKART&store=arb%2Fkjw&spotlightTagId=default_BestsellerId_arb%2Fkjw&srno=b_1_3&otracker=browse&fm=organic&iid=2354c57d-80ed-419b-8859-27e748a54ab1.WCKGMXHWGYWVBZK7.SEARCH&ppt=None&ppn=None&ssid=1eukmrqdf40000001747563498511,https://rukminim2.flixcart.com/image/612/612/xif0q/wall-clock/o/g/a/-original-imah7m59ef8xkdve.jpeg?q=70,₹157,₹999,84% off
DivineCrafts Analog 32.5 cm X 32.5 cm Wall Clock,https://www.flipkart.com/divinecrafts-analog-32-5-cm-x-wall-clock/p/itmf2y27hrggsxkk?pid=WCKF2YYBRA2ZUWMG&lid=LSTWCKF2YYBRA2ZUWMGWYG43C&marketplace=FLIPKART&store=arb%2Fkjw&srno=b_1_4&otracker=browse&fm=organic&iid=2354c57d-80ed-419b-8859-27e748a54ab1.WCKF2YYBRA2ZUWMG.SEARCH&ppt=None&ppn=None&ssid=1eukmrqdf40000001747563498511,https://rukminim2.flixcart.com/image/612/612/xif0q/wall-clock/r/o/b/handpainted-peacock-wall-clock-32-5-wc-331-analog-divinecrafts-original-imahbzdadxeahpj5.jpeg?q=70,₹277,"₹1,899",85% off
AJANTA Analog 19 cm X 19 cm Wall Clock,https://www.flipkart.com/ajanta-analog-19-cm-x-wall-clock/p/itm9aa361d27f88e?pid=WCKF6EHJJHCYVKKZ&lid=LSTWCKF6EHJJHCYVKKZ0DJY07&marketplace=FLIPKART&store=arb%2Fkjw&srno=b_1_5&otracker=browse&fm=organic&iid=2354c57d-80ed-419b-8859-27e748a54ab1.WCKF6EHJJHCYVKKZ.SEARCH&ppt=None&ppn=None&ssid=1eukmrqdf40000001747563498511,https://rukminim2.flixcart.com/image/612/612/xif0q/wall-clock/b/z/e/7-inches-wall-clock-for-home-offces-bedroom-living-room-wall-original-imahyugsnjtpfuur.jpeg?q=70,₹199,₹299,33% off
HARSONA Analog 25 cm X 25 cm Wall Clock,https://www.flipkart.com/harsona-analog-25-cm-x-wall-clock/p/itm994d2d6de0c20?pid=WCKGMGVABZCPCN8T&lid=LSTWCKGMGVABZCPCN8TEHHX2P&marketplace=FLIPKART&store=arb%2Fkjw&srno=b_1_6&otracker=browse&fm=organic&iid=en_hM1RyygA9LQ-du6VEOrmqljGEYJK3-jpLqs8lqalzILkiAHAcy_3g9DPyZ8eaD5euxgN9mw0_NfWJ751TzErgA%3D%3D&ppt=None&ppn=None&ssid=1eukmrqdf40000001747563498511,https://rukminim2.flixcart.com/image/612/612/xif0q/wall-clock/h/z/p/68je-25-68j-analog-harsona-25-original-imagmg58stbxm4pq.jpeg?q=70,₹199,"₹1,299",84% off
GOT Dreams Analog 38 cm X 28 cm Wall Clock,https://www.flipkart.com/got-dreams-analog-38-cm-x-28-wall-clock/p/itm13491158d6cd5?pid=WCKFYHWY2CVYB5ZG&lid=LSTWCKFYHWY2CVYB5ZGQEVPNU&marketplace=FLIPKART&store=arb%2Fkjw&srno=b_1_7&otracker=browse&fm=organic&iid=2354c57d-80ed-419b-8859-27e748a54ab1.WCKFYHWY2CVYB5ZG.SEARCH&ppt=None&ppn=None&ssid=1eukmrqdf40000001747563498511,https://rukminim2.flixcart.com/image/612/612/xif0q/wall-clock/g/0/e/best-quality-wall-clock-28-805-analog-got-dreams-38-original-imagne9pyzqeatmg.jpeg?q=70,₹284,"₹1,249",77% off
Gangaram creation Analog 24 cm X 24 cm Wall Clock,https://www.flipkart.com/gangaram-creation-analog-24-cm-x-wall-clock/p/itma274c50361e94?pid=WCKHC2F2KWHQRZ3T&lid=LSTWCKHC2F2KWHQRZ3TIMASQ3&marketplace=FLIPKART&store=arb%2Fkjw&srno=b_1_8&otracker=browse&fm=organic&iid=2354c57d-80ed-419b-8859-27e748a54ab1.WCKHC2F2KWHQRZ3T.SEARCH&ppt=None&ppn=None&ssid=1eukmrqdf40000001747563498511,https://rukminim2.flixcart.com/image/612/612/xif0q/wall-clock/r/e/n/9inch-embossed-golden-wall-clock-beautiful-designer-decorative-original-imahc2f29vzmy4yu.jpeg?q=70,₹333,"₹1,499",77% off
AJANTA Analog 23 cm X 23 cm Wall Clock,https://www.flipkart.com/ajanta-analog-23-cm-x-wall-clock/p/itme8398247112ff?pid=WCKGND2KZNDYWSMY&lid=LSTWCKGND2KZNDYWSMYSCDO5W&marketplace=FLIPKART&store=arb%2Fkjw&spotlightTagId=default_BestsellerId_arb%2Fkjw&srno=b_1_9&otracker=browse&fm=organic&iid=2354c57d-80ed-419b-8859-27e748a54ab1.WCKGND2KZNDYWSMY.SEARCH&ppt=None&ppn=None&ssid=1eukmrqdf40000001747563498511,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-wall-clock/4/c/d/home-decor-clock24-24cm-0-6-8767-analog-ajanta-23-original-imah2d7wtg3ju34f.jpeg?q=70,₹259,₹499,48% off
GrabBasket Analog 26 cm X 26 cm Wall Clock,https://www.flipkart.com/grabbasket-analog-26-cm-x-wall-clock/p/itm43748ddea5934?pid=WCKG7TFUGZ8FTWZY&lid=LSTWCKG7TFUGZ8FTWZYZJEUII&marketplace=FLIPKART&store=arb%2Fkjw&srno=b_1_10&otracker=browse&fm=organic&iid=2354c57d-80ed-419b-8859-27e748a54ab1.WCKG7TFUGZ8FTWZY.SEARCH&ppt=None&ppn=None&ssid=1eukmrqdf40000001747563498511,https://rukminim2.flixcart.com/image/612/612/xif0q/wall-clock/z/p/c/beautiful-3d-look-unique-designer-decorative-30-designer-dark-original-imahfyggjszsbbzy.jpeg?q=70,₹222,"₹1,199",81% off
