Product Name,Product Link,Image URL,Price,Original Price,Discount
iVBOX MAX-PRO Appam Pan Heavy-Weight Non-Stick appe Pan...,https://www.flipkart.com/ivbox-max-pro-appam-pan-heavy-weight-non-stick-appe-paniyarakkal-maker-glass-lid-1-l-capacity-24-cm-diameter/p/itm2e18f2e65a797?pid=PTPGBVYW3R3YA3VH&lid=LSTPTPGBVYW3R3YA3VH6F9WG4&marketplace=FLIPKART&store=upp%2Ftnx%2F9fq&srno=b_1_1&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pans1&fm=organic&iid=en_eI0zCuedKgAzEz7eqPznoPhB1LaNqvaDSynBMY1YAY6bDMCml-I0VWoMgfzwIHreWHUypn9dHRN2DLkyCGqsDQ%3D%3D&ppt=None&ppn=None&ssid=g4oqglhxi80000001747561497498,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/e/v/9/-original-imahyg96nvntcpef.jpeg?q=70,₹650,"₹1,249",47% off
iVBOX Heavy-BASE Appam Maker 12 Cavity appe Paddu Pan P...,https://www.flipkart.com/ivbox-heavy-base-appam-maker-12-cavity-appe-paddu-pan-paniyarakkal-patra-paniarakkal-lid-1-l-capacity-23-cm-diameter/p/itmafd3b79d8ce35?pid=PTPGRXU334ANPFRV&lid=LSTPTPGRXU334ANPFRV52T851&marketplace=FLIPKART&store=upp%2Ftnx%2F9fq&srno=b_1_2&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pans1&fm=organic&iid=en_eI0zCuedKgAzEz7eqPznoPhB1LaNqvaDSynBMY1YAY6jZu2ceBlEhPOArYyO7k7CMqWI8PInf2WrPP67KXXFIw%3D%3D&ppt=None&ppn=None&ssid=g4oqglhxi80000001747561497498,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/e/q/x/coca-dh-12appam-ivbox-original-imagsy634zusy7e2.jpeg?q=70,₹428,"₹1,350",68% off
Greenchef Rio Fry Pan 20 cm diameter 0.2 L capacity,https://www.flipkart.com/greenchef-rio-fry-pan-20-cm-diameter-0-2-l-capacity/p/itmc9c9c096d43de?pid=PTPFUBZGMEFFPBHW&lid=LSTPTPFUBZGMEFFPBHWXTANEQ&marketplace=FLIPKART&store=upp%2Ftnx%2F9fq&spotlightTagId=default_BestsellerId_upp%2Ftnx%2F9fq&srno=b_1_3&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pans1&fm=organic&iid=d4aca21e-082a-4d0d-b3c8-24901f0c7843.PTPFUBZGMEFFPBHW.SEARCH&ppt=None&ppn=None&ssid=g4oqglhxi80000001747561497498,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/b/p/v/pan200-greenchef-original-imahbk4y2zbfvfdd.jpeg?q=70,₹169,₹595,71% off
The Unique Collection 12 Appam Patra Glass lid 400 gram...,https://www.flipkart.com/unique-collection-12-appam-patra-glass-lid-400-gram-paniarakkal-1-2-l-capacity-22-cm-diameter/p/itmff592419baacd?pid=PTPFVRPCXNSMXKSW&lid=LSTPTPFVRPCXNSMXKSWDBGHXT&marketplace=FLIPKART&store=upp%2Ftnx%2F9fq&spotlightTagId=default_BestsellerId_upp%2Ftnx%2F9fq&srno=b_1_4&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pans1&fm=organic&iid=d4aca21e-082a-4d0d-b3c8-24901f0c7843.PTPFVRPCXNSMXKSW.SEARCH&ppt=None&ppn=None&ssid=g4oqglhxi80000001747561497498,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/y/b/m/appam-patra-paddu-maker-ponganalu-maker-kuzhi-paniyaram-maker-original-imah45n2f38uwgxw.jpeg?q=70,₹245,₹738,66% off
Swarambh Nice Appam Patra with Lid / kulipaniyaram pan ...,https://www.flipkart.com/swarambh-nice-appam-patra-lid-kulipaniyaram-pan-nonstick-appe-aapee-paniarakkal-0-5-l-capacity-23-5-cm-diameter/p/itmea47683e95617?pid=PTPG6UUUXKGACXYD&lid=LSTPTPG6UUUXKGACXYDMNUTEH&marketplace=FLIPKART&store=upp%2Ftnx%2F9fq&spotlightTagId=default_BestsellerId_upp%2Ftnx%2F9fq&srno=b_1_5&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pans1&fm=organic&iid=d4aca21e-082a-4d0d-b3c8-24901f0c7843.PTPG6UUUXKGACXYD.SEARCH&ppt=None&ppn=None&ssid=g4oqglhxi80000001747561497498,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/i/u/v/red-appam-patra-with-lid-and-two-handles-swarambh-original-imah7d8agkfdqzhg.jpeg?q=70,₹236,₹660,64% off
Pigeon Appachetty Appachatty with Lid 1.8 L capacity 20...,https://www.flipkart.com/pigeon-appachetty-appachatty-lid-1-8-l-capacity-20-cm-diameter/p/itm318b3db1245a5?pid=PTPDVPFYABGPGHXJ&lid=LSTPTPDVPFYABGPGHXJVCKDJC&marketplace=FLIPKART&store=upp%2Ftnx%2F9fq&srno=b_1_6&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pans1&fm=organic&iid=en_eI0zCuedKgAzEz7eqPznoPhB1LaNqvaDSynBMY1YAY7Rx4Uc6ld4-376C_PDcWujCgm13nyeouPoA8TCGBkGWOo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=g4oqglhxi80000001747561497498,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/p/6/x/8906026971763-pigeon-original-imaggcp9gvnhzg4a.jpeg?q=70,₹549,₹795,30% off
DTM super appam patra with lid and handle/ kulipaniyara...,https://www.flipkart.com/dtm-super-appam-patra-lid-handle-kulipaniyaram-pan-nonstick-appe-aapee-paniarakkal-1-l-capacity-22-cm-diameter/p/itm43b0e0dd00288?pid=PTPFW9QYHSQH2MGW&lid=LSTPTPFW9QYHSQH2MGWXRQXXB&marketplace=FLIPKART&store=upp%2Ftnx%2F9fq&srno=b_1_7&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pans1&fm=organic&iid=d4aca21e-082a-4d0d-b3c8-24901f0c7843.PTPFW9QYHSQH2MGW.SEARCH&ppt=None&ppn=None&ssid=g4oqglhxi80000001747561497498,https://rukminim2.flixcart.com/image/612/612/kfyasnk0/pot-pan/m/g/w/apm2141-dtm-original-imafwa25g6fzjzfr.jpeg?q=70,₹257,₹674,61% off
AE Maharani Stainless Steel Triply Frypan 24cm Having 1...,https://www.flipkart.com/ae-maharani-stainless-steel-triply-frypan-24cm-having-1-5-litres-capacity-fry-pan-24-cm-diameter-l/p/itm0219ba4f1b9c6?pid=PTPHBZRBQWBC6GBY&lid=LSTPTPHBZRBQWBC6GBYSAT42P&marketplace=FLIPKART&store=upp%2Ftnx%2F9fq&srno=b_1_8&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pans1&fm=organic&iid=d4aca21e-082a-4d0d-b3c8-24901f0c7843.PTPHBZRBQWBC6GBY.SEARCH&ppt=None&ppn=None&ssid=g4oqglhxi80000001747561497498,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/d/j/0/stainless-steel-triply-frypan-24cm-having-1-5-litres-capacity-original-imahc6f4akptpny5.jpeg?q=70,"₹2,814","₹3,036",7% off
Kashvi kashvi Big Tadka/ Sauce Pan 17 cm diameter 1.4 L...,https://www.flipkart.com/kashvi-big-tadka-sauce-pan-17-cm-diameter-1-4-l-capacity/p/itm7d5195cc3ed7c?pid=PTPGCG2CHVFZVZTJ&lid=LSTPTPGCG2CHVFZVZTJH9CK0G&marketplace=FLIPKART&store=upp%2Ftnx%2F9fq&srno=b_1_9&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pans1&fm=organic&iid=d4aca21e-082a-4d0d-b3c8-24901f0c7843.PTPGCG2CHVFZVZTJ.SEARCH&ppt=None&ppn=None&ssid=g4oqglhxi80000001747561497498,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/2/v/k/tadka-pan-kashvi-original-imah9pgzfucp3j56.jpeg?q=70,₹238,₹799,70% off
LAZYwindow Superior Quality Nonstick Frying Pan & Tea S...,https://www.flipkart.com/lazywindow-superior-quality-nonstick-frying-pan-tea-stainer-sauce-17-cm-diameter-1-l-capacity/p/itm43a418822c97c?pid=PTPHYDV9F3KYJVGS&lid=LSTPTPHYDV9F3KYJVGSBMY7AX&marketplace=FLIPKART&store=upp%2Ftnx%2F9fq&srno=b_1_10&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pans1&fm=organic&iid=d4aca21e-082a-4d0d-b3c8-24901f0c7843.PTPHYDV9F3KYJVGS.SEARCH&ppt=None&ppn=None&ssid=g4oqglhxi80000001747561497498,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/k/4/o/lw0699-1-lw0106-1-lazywindow-original-imah7nz3ghkxnxat.jpeg?q=70,₹212,₹999,78% off
