Product Name,Product Link,Image URL,Price,Original Price,Discount
Madesa Dining Room Set Glass Evelin Glass 4 Seater Dini...,https://www.flipkart.com/madesa-dining-room-set-glass-evelin-4-seater/p/itm9020170ddbbab?pid=DISHBVKMWPNDVZQN&lid=LSTDISHBVKMWPNDVZQNJXPV7Z&marketplace=FLIPKART&store=wwe%2Fur9&srno=b_1_1&otracker=nmenu_sub_Home%20%26%20Furniture_0_Dining%20Tables%20%26%20Chairs1&fm=organic&iid=en_2UTBkPgTuU26BOWY10HtNaIpRgTb9pWv-lTeN9PwuknysEpVSSz1hfdhPcvWF8q997IkFPq385ZANq85oFDsEw%3D%3D&ppt=None&ppn=None&ssid=ny3eoaewts0000001747563309054,https://rukminim2.flixcart.com/image/612/612/xif0q/dining-set/d/g/i/90-beige-0-0-particle-board-43-4-square-57-94-16-8-90-4-seater-original-imah9pshpppjyges.jpeg?q=70,"₹17,999","₹1,00,999",82% off
AVRO furniture Strong and Durable 4 Seater Dining Table...,https://www.flipkart.com/avro-furniture-strong-durable-4-seater-dining-table-set-home-garden-cafeteria-plastic/p/itm937b02eecc107?pid=OTSFQZCUDQTJWZ6D&lid=LSTOTSFQZCUDQTJWZ6DCLAKDF&marketplace=FLIPKART&store=wwe%2Fur9&srno=b_1_2&otracker=nmenu_sub_Home%20%26%20Furniture_0_Dining%20Tables%20%26%20Chairs1&fm=organic&iid=en_2UTBkPgTuU26BOWY10HtNaIpRgTb9pWv-lTeN9PwukmiFiBJNeJqVlXNjjMEag4oi4FVT4cUncpWj54BT1gP1Q%3D%3D&ppt=None&ppn=None&ssid=ny3eoaewts0000001747563309054,https://rukminim2.flixcart.com/image/612/612/xif0q/dining-table/g/2/l/-original-imahaxfkyqm9gyun.jpeg?q=70,"₹4,319","₹6,799",36% off
EuroQon Space Saver Foldable Imported Wood Engineered W...,https://www.flipkart.com/euroqon-space-saver-foldable-imported-wood-engineered-4-seater-dining-table/p/itm0ef8ab00ef975?pid=DNTGKDGFFYFPGW8U&lid=LSTDNTGKDGFFYFPGW8UT15TXA&marketplace=FLIPKART&store=wwe%2Fur9&spotlightTagId=default_FkPickId_wwe%2Fur9&srno=b_1_3&otracker=nmenu_sub_Home%20%26%20Furniture_0_Dining%20Tables%20%26%20Chairs1&fm=organic&iid=33becafc-9360-4d77-8d0e-54dd144e0bd1.DNTGKDGFFYFPGW8U.SEARCH&ppt=None&ppn=None&ssid=ny3eoaewts0000001747563309054,https://rukminim2.flixcart.com/image/612/612/xif0q/dining-table/u/7/k/61-4-seater-1-particle-board-smart-foldable-black-euroqon-74-original-imah4m9sawzfr5h9.jpeg?q=70,"₹1,390","₹4,999",72% off
EuroQon Plastic 10 Seater Dining Table,https://www.flipkart.com/euroqon-plastic-10-seater-dining-table/p/itm8433aec892df2?pid=DNTGBQJPQKKFZGSN&lid=LSTDNTGBQJPQKKFZGSNOKPXIM&marketplace=FLIPKART&store=wwe%2Fur9&spotlightTagId=default_BestsellerId_wwe%2Fur9&srno=b_1_4&otracker=nmenu_sub_Home%20%26%20Furniture_0_Dining%20Tables%20%26%20Chairs1&fm=organic&iid=33becafc-9360-4d77-8d0e-54dd144e0bd1.DNTGBQJPQKKFZGSN.SEARCH&ppt=None&ppn=None&ssid=ny3eoaewts0000001747563309054,https://rukminim2.flixcart.com/image/612/612/xif0q/dining-table/p/a/i/73-10-seater-120-pp-multi-purpose-dining-cum-study-euroqon-76-original-imah4hrbskfgyqju.jpeg?q=70,"₹1,467","₹3,999",63% off
EuroQon Space Saver Foldable Imported Wood Engineered W...,https://www.flipkart.com/euroqon-space-saver-foldable-imported-wood-engineered-4-seater-dining-table/p/itm5d36f0a6881e7?pid=DNTGKDGFRA5EGGSZ&lid=LSTDNTGKDGFRA5EGGSZMEL85T&marketplace=FLIPKART&store=wwe%2Fur9&spotlightTagId=default_BestsellerId_wwe%2Fur9&srno=b_1_5&otracker=nmenu_sub_Home%20%26%20Furniture_0_Dining%20Tables%20%26%20Chairs1&fm=organic&iid=33becafc-9360-4d77-8d0e-54dd144e0bd1.DNTGKDGFRA5EGGSZ.SEARCH&ppt=None&ppn=None&ssid=ny3eoaewts0000001747563309054,https://rukminim2.flixcart.com/image/612/612/xif0q/dining-table/m/f/d/24-4-seater-1-particle-board-smart-foldable-yellow-euroqon-30-original-imah4m9ug7xuvhsm.jpeg?q=70,"₹1,294","₹4,999",74% off
Shree Shyam Dining set in pure sheesham wood solid wood...,https://www.flipkart.com/shree-shyam-dining-set-pure-sheesham-wood-solid-finish-type-polished-diy-4-seater/p/itm385c250957821?pid=DISGP2CFBXBJYSQA&lid=LSTDISGP2CFBXBJYSQAPI3IHN&marketplace=FLIPKART&store=wwe%2Fur9&srno=b_1_6&otracker=nmenu_sub_Home%20%26%20Furniture_0_Dining%20Tables%20%26%20Chairs1&fm=organic&iid=en_2UTBkPgTuU26BOWY10HtNaIpRgTb9pWv-lTeN9Pwukn2JmM4UmXHrWuhdxpEOaUFltMgHeADGL5UCCmor9jTaQ%3D%3D&ppt=None&ppn=None&ssid=ny3eoaewts0000001747563309054,https://rukminim2.flixcart.com/image/612/612/kxjav0w0/dining-set/f/i/a/114-3-white-0-114-3-rosewood-sheesham-20-rectangle-44-45-86-36-original-imag9yzrfqg7hcbj.jpeg?q=70,"₹15,857","₹30,245",47% off
EuroQon Space Saver Foldable Imported Engineered Wood 4...,https://www.flipkart.com/euroqon-space-saver-foldable-imported-engineered-wood-4-seater-dining-table/p/itmf150ddb9508cc?pid=DNTGKDGFZBGXVEY3&lid=LSTDNTGKDGFZBGXVEY3EQ5QBC&marketplace=FLIPKART&store=wwe%2Fur9&srno=b_1_7&otracker=nmenu_sub_Home%20%26%20Furniture_0_Dining%20Tables%20%26%20Chairs1&fm=organic&iid=33becafc-9360-4d77-8d0e-54dd144e0bd1.DNTGKDGFZBGXVEY3.SEARCH&ppt=None&ppn=None&ssid=ny3eoaewts0000001747563309054,https://rukminim2.flixcart.com/image/612/612/xif0q/office-study-table/n/z/h/61-particle-board-engineered-wood-smart-coachwood-euroqon-73-6-original-imah4kxfyqgarxd3.jpeg?q=70,"₹1,406","₹4,999",71% off
EuroQon Space Saver Foldable Imported Wood Engineered W...,https://www.flipkart.com/euroqon-space-saver-foldable-imported-wood-engineered-4-seater-dining-table/p/itmda877f08a3e78?pid=DNTGKDGFFNK5P4VM&lid=LSTDNTGKDGFFNK5P4VMIFCQCV&marketplace=FLIPKART&store=wwe%2Fur9&srno=b_1_8&otracker=nmenu_sub_Home%20%26%20Furniture_0_Dining%20Tables%20%26%20Chairs1&fm=organic&iid=33becafc-9360-4d77-8d0e-54dd144e0bd1.DNTGKDGFFNK5P4VM.SEARCH&ppt=None&ppn=None&ssid=ny3eoaewts0000001747563309054,https://rukminim2.flixcart.com/image/612/612/xif0q/office-study-table/z/w/6/61-particle-board-engineered-wood-smart-white-beige-euroqon-73-6-original-imah4gxdhymvgqpg.jpeg?q=70,"₹1,256","₹4,999",74% off
lmz Engineered Wood 2 Seater Dining Set,https://www.flipkart.com/lmz-engineered-wood-2-seater-dining-set/p/itm367f58d6c8dd7?pid=DISGNPEZJSZMZ8DZ&lid=LSTDISGNPEZJSZMZ8DZOKUCTS&marketplace=FLIPKART&store=wwe%2Fur9&srno=b_1_9&otracker=nmenu_sub_Home%20%26%20Furniture_0_Dining%20Tables%20%26%20Chairs1&fm=organic&iid=33becafc-9360-4d77-8d0e-54dd144e0bd1.DISGNPEZJSZMZ8DZ.SEARCH&ppt=None&ppn=None&ssid=ny3eoaewts0000001747563309054,https://rukminim2.flixcart.com/image/612/612/xif0q/office-study-table/t/p/p/60-mdf-engineered-wood-lim-teak-56-lmz-76-teak-original-imahfkfcjgazhfbu.jpeg?q=70,"₹1,262","₹2,800",54% off
EuroQon Space Saver Foldable Imported Wood Engineered W...,https://www.flipkart.com/euroqon-space-saver-foldable-imported-wood-engineered-4-seater-dining-table/p/itm8a59092cafda8?pid=DNTGKDGFGGQGYHSC&lid=LSTDNTGKDGFGGQGYHSCC37J9A&marketplace=FLIPKART&store=wwe%2Fur9&srno=b_1_10&otracker=nmenu_sub_Home%20%26%20Furniture_0_Dining%20Tables%20%26%20Chairs1&fm=organic&iid=33becafc-9360-4d77-8d0e-54dd144e0bd1.DNTGKDGFGGQGYHSC.SEARCH&ppt=None&ppn=None&ssid=ny3eoaewts0000001747563309054,https://rukminim2.flixcart.com/image/612/612/xif0q/dining-table/c/w/5/61-4-seater-1-particle-board-smart-foldable-orange-euroqon-74-original-imah4m9t7agdhpp5.jpeg?q=70,"₹1,400","₹4,999",71% off
