Product Name,Product Link,Image URL,Price,Original Price,Discount
"Cookzella Liquid Dispenser ,Soap Dispenser Soap Pump ,3...",https://www.flipkart.com/cookzella-liquid-dispenser-soap-soap-pump-3-in-1-kitchen-tool-set/p/itm79a141f6d418d?pid=KTSH92BBD77XXD3H&lid=LSTKTSH92BBD77XXD3HZIV7RO&marketplace=FLIPKART&store=upp%2Fldf&srno=b_1_1&otracker=nmenu_sub_Home%20%26%20Furniture_0_Kitchen%20tools2&fm=organic&iid=84c28e72-02ad-4e6a-a06c-2fbc436288f2.KTSH92BBD77XXD3H.SEARCH&ppt=None&ppn=None&ssid=5phjq8g4xs0000001747561854581,https://rukminim2.flixcart.com/image/612/612/xif0q/liquid-dispenser/w/h/9/120-3-in-1-soap-dispenser-for-kitchen-with-sponge-holder-yes-original-imah4b8ebn8cth2f.jpeg?q=70,₹149,₹499,70% off
divyesh Ice Roller and ice cube tray Multicolor Silicon...,https://www.flipkart.com/divyesh-ice-roller-cube-tray-multicolor-silicone/p/itm50cb4998f69b0?pid=ITRHFZFF8HPGNGH9&lid=LSTITRHFZFF8HPGNGH9PLHKCJ&marketplace=FLIPKART&store=upp%2Fldf&srno=b_1_2&otracker=nmenu_sub_Home%20%26%20Furniture_0_Kitchen%20tools2&fm=organic&iid=84c28e72-02ad-4e6a-a06c-2fbc436288f2.ITRHFZFF8HPGNGH9.SEARCH&ppt=None&ppn=None&ssid=5phjq8g4xs0000001747561854581,https://rukminim2.flixcart.com/image/612/612/xif0q/ice-cube-tray/o/e/j/37-ice-honycube-ice-roller-divyesh-original-imahajnfzjhreatp.jpeg?q=70,₹117,₹399,70% off
Flipkart SmartBuy and Stainless Steel Whisk & Wooden Ma...,https://www.flipkart.com/flipkart-smartbuy-stainless-steel-whisk-wooden-masher-combo-pack-3-kitchen-tool-set/p/itmfc549e95798e3?pid=KTSGESDQDF26QUUV&lid=LSTKTSGESDQDF26QUUVF9MLSO&marketplace=FLIPKART&store=upp%2Fldf&srno=b_1_3&otracker=nmenu_sub_Home%20%26%20Furniture_0_Kitchen%20tools2&fm=organic&iid=84c28e72-02ad-4e6a-a06c-2fbc436288f2.KTSGESDQDF26QUUV.SEARCH&ppt=None&ppn=None&ssid=5phjq8g4xs0000001747561854581,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-kitchen-tool-set/e/h/r/omortex-decent-combo-for-smart-kitchen-power-free-hand-blender-original-imagmgugymeumksu.jpeg?q=70,₹139,₹699,80% off
awq Honey Ice Cube tray Green Silicone Ice Cube Tray,https://www.flipkart.com/awq-honey-ice-cube-tray-green-silicone/p/itm3e8c6e487c5eb?pid=ITRGYMQ72AANZYN9&lid=LSTITRGYMQ72AANZYN9KUEQIG&marketplace=FLIPKART&store=upp%2Fldf&srno=b_1_4&otracker=nmenu_sub_Home%20%26%20Furniture_0_Kitchen%20tools2&fm=organic&iid=84c28e72-02ad-4e6a-a06c-2fbc436288f2.ITRGYMQ72AANZYN9.SEARCH&ppt=None&ppn=None&ssid=5phjq8g4xs0000001747561854581,https://rukminim2.flixcart.com/image/612/612/xif0q/ice-cube-tray/8/2/g/37-pack-of-2-silicone-honeycomb-37-cavity-ice-cube-tray-original-imahcfxxzq6sjjg4.jpeg?q=70,₹189,₹899,78% off
PRABHA Best Quality Stainless Steel Strainer Bowl 26Cm ...,https://www.flipkart.com/prabha-best-quality-stainless-steel-strainer-bowl-26cm-vegetable-colander-collapsible/p/itmf52ede49c2491?pid=CSSHBYME7HB4UJF4&lid=LSTCSSHBYME7HB4UJF4FTQQSC&marketplace=FLIPKART&store=upp%2Fldf&srno=b_1_5&otracker=nmenu_sub_Home%20%26%20Furniture_0_Kitchen%20tools2&fm=organic&iid=84c28e72-02ad-4e6a-a06c-2fbc436288f2.CSSHBYME7HB4UJF4.SEARCH&ppt=None&ppn=None&ssid=5phjq8g4xs0000001747561854581,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-colander-sieve-strainer/1/i/y/no-yes-24cm-colander-prabha-original-imah7bw7wfghmfwm.jpeg?q=70,₹336,₹599,43% off
BIZOLO 100 ml Manual Ice Cream Maker,https://www.flipkart.com/bizolo-100-ml-manual-ice-cream-maker/p/itmd364259f1e20c?pid=ITRFPHX6SSNPAGTF&lid=LSTITRFPHX6SSNPAGTF8VZW6D&marketplace=FLIPKART&store=upp%2Fldf&srno=b_1_6&otracker=nmenu_sub_Home%20%26%20Furniture_0_Kitchen%20tools2&fm=organic&iid=84c28e72-02ad-4e6a-a06c-2fbc436288f2.ITRFPHX6SSNPAGTF.SEARCH&ppt=None&ppn=None&ssid=5phjq8g4xs0000001747561854581,https://rukminim2.flixcart.com/image/612/612/k7dnonk0/ice-cube-tray/g/t/f/ice-cream-mould-and-kulfi-maker-multicolor-plastic-ice-cube-tray-original-imafpm75gazt8ryg.jpeg?q=70,₹139,₹249,44% off
Qtonz Set of 6 Pattern Discs Kitchen Press,https://www.flipkart.com/qtonz-set-6-pattern-discs-kitchen-press/p/itm095dd35437c89?pid=KPRGBCYAKNS8CRST&lid=LSTKPRGBCYAKNS8CRSTVAJQ6X&marketplace=FLIPKART&store=upp%2Fldf&srno=b_1_7&otracker=nmenu_sub_Home%20%26%20Furniture_0_Kitchen%20tools2&fm=organic&iid=84c28e72-02ad-4e6a-a06c-2fbc436288f2.KPRGBCYAKNS8CRST.SEARCH&ppt=None&ppn=None&ssid=5phjq8g4xs0000001747561854581,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-kitchen-press/k/r/c/kitchen-tool-set-6-seree-original-imahfms3bqszz2rt.jpeg?q=70,₹254,₹599,57% off
Q7 BRAND Steel Grade Phulka Roti Grill for Gas Stove Me...,https://www.flipkart.com/q7-brand-steel-grade-phulka-roti-grill-gas-stove-mesh-brinjal-vegetable-papad-roaster-kitchen-tool-set/p/itm232ba2efacb29?pid=KTSH9EG4PZYWGFG2&lid=LSTKTSH9EG4PZYWGFG2OJ9XVK&marketplace=FLIPKART&store=upp%2Fldf&srno=b_1_8&otracker=nmenu_sub_Home%20%26%20Furniture_0_Kitchen%20tools2&fm=organic&iid=84c28e72-02ad-4e6a-a06c-2fbc436288f2.KTSH9EG4PZYWGFG2.SEARCH&ppt=None&ppn=None&ssid=5phjq8g4xs0000001747561854581,https://rukminim2.flixcart.com/image/612/612/xif0q/kitchen-tool-set/z/8/q/steel-grade-phulka-roti-grill-for-gas-stove-mesh-brinjal-original-imah9eg4u2f3tfjj.jpeg?q=70,₹269,₹999,73% off
Mezulot Honeycomb 37 cavity silicone ice tray Green Sil...,https://www.flipkart.com/mezulot-honeycomb-37-cavity-silicone-ice-tray-green-cube/p/itm86d717a463fbd?pid=ITRHBZUPK84CT2KD&lid=LSTITRHBZUPK84CT2KDGBSEYG&marketplace=FLIPKART&store=upp%2Fldf&srno=b_1_9&otracker=nmenu_sub_Home%20%26%20Furniture_0_Kitchen%20tools2&fm=organic&iid=84c28e72-02ad-4e6a-a06c-2fbc436288f2.ITRHBZUPK84CT2KD.SEARCH&ppt=None&ppn=None&ssid=5phjq8g4xs0000001747561854581,https://rukminim2.flixcart.com/image/612/612/xif0q/ice-cube-tray/o/j/c/37-2230-mezulot-original-imahbzupmh2nyp6r.jpeg?q=70,₹159,₹999,84% off
YELONA Kitchen & Home Liquid/Oil Transfer Pump Kit Siph...,https://www.flipkart.com/yelona-kitchen-home-liquid-oil-transfer-pump-kit-siphon-2-mtr-pvc-hose-pipe-silicone-funnel/p/itm47428b77a49e7?pid=FUNGHFFU9VNFHPGJ&lid=LSTFUNGHFFU9VNFHPGJEETQK3&marketplace=FLIPKART&store=upp%2Fldf&srno=b_1_10&otracker=nmenu_sub_Home%20%26%20Furniture_0_Kitchen%20tools2&fm=organic&iid=84c28e72-02ad-4e6a-a06c-2fbc436288f2.FUNGHFFU9VNFHPGJ.SEARCH&ppt=None&ppn=None&ssid=5phjq8g4xs0000001747561854581,https://rukminim2.flixcart.com/image/612/612/xif0q/funnel/c/4/1/home-kitchen-liquid-oil-transfer-sucker-pump-kit-siphon-hose-original-imaghfftx4ygnhgh.jpeg?q=70,₹277,"₹1,399",80% off
