Product Name,Product Link,Image URL,Price,Original Price,Discount
Sleepyhead Flip - Dual Sided 5 inch Single High Density...,https://www.flipkart.com/sleepyhead-flip-dual-sided-5-inch-single-high-density-hd-foam-mattress/p/itm97647074953fe?pid=BEMGHVCPQKFGXCHM&lid=LSTBEMGHVCPQKFGXCHMYBY0RH&marketplace=FLIPKART&store=wwe%2Frg9&srno=b_1_1&otracker=nmenu_sub_Home%20%26%20Furniture_0_Mattresses1&fm=organic&iid=en_Vg5f8L4feahbxU0mnJOwLOv75mzvbJzluuQ351bx3HN4WxTiXqUZ_McE9ZqgRr9BMsgmgd2PfBGDeFyxhKvG2fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=1eutg667r40000001747563034132,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/l/h/r/normal-top-queen-6-60-78-flip-dual-sided-high-resilience-hr-foam-original-imah937e4uksgjzs.jpeg?q=70,"₹5,414","₹9,899",45% off
Loom & Needles Orthopedic Hard & Soft Dual Flip Reversi...,https://www.flipkart.com/loom-needles-orthopedic-hard-soft-dual-flip-reversible-4-inch-single-high-resilience-hr-foam-mattress/p/itm599096e124e1f?pid=BEMGXVYGY9D5WPWC&lid=LSTBEMGXVYGY9D5WPWCLQKE1T&marketplace=FLIPKART&store=wwe%2Frg9&srno=b_1_2&otracker=nmenu_sub_Home%20%26%20Furniture_0_Mattresses1&fm=organic&iid=en_Vg5f8L4feahbxU0mnJOwLOv75mzvbJzluuQ351bx3HNuxn8tFKKYecKrdXZ0oss278Mxj9F9S-WByxHDWC-LRPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=1eutg667r40000001747563034132,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/y/y/m/normal-top-queen-5-60-75-orthopedic-hard-soft-dual-comfort-flip-original-imagxvyfhnbucysz.jpeg?q=70,"₹3,854","₹7,978",51% off
RAJASTHAN HANDLOOM Soft Cotton Multicolour 6X3ft Mattre...,https://www.flipkart.com/rajasthan-handloom-soft-cotton-multicolour-6x3ft-mattress-gadda-5-inch-single/p/itmc646a97863f8f?pid=BEMGZY63HX893J8Z&lid=LSTBEMGZY63HX893J8ZXKNF7K&marketplace=FLIPKART&store=wwe%2Frg9&spotlightTagId=default_BestsellerId_wwe%2Frg9&srno=b_1_3&otracker=nmenu_sub_Home%20%26%20Furniture_0_Mattresses1&fm=organic&iid=44e2776f-582e-4f92-98e1-7adb72150509.BEMGZY63HX893J8Z.SEARCH&ppt=None&ppn=None&ssid=1eutg667r40000001747563034132,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/o/h/g/normal-top-single-5-36-72-soft-cotton-multicolour-6x3ft-mattress-original-imahc47cvg8gsd69.jpeg?q=70,₹789,"₹4,167",81% off
Flipkart Perfect Homes Sweet Dream Dual - Hard & Soft 4...,https://www.flipkart.com/flipkart-perfect-homes-sweet-dream-dual-hard-soft-4-inch-single-epe-foam-mattress/p/itm699442a876fc7?pid=BEMGTERADBUVHD8E&lid=LSTBEMGTERADBUVHD8EKJKTXB&marketplace=FLIPKART&store=wwe%2Frg9&srno=b_1_4&otracker=nmenu_sub_Home%20%26%20Furniture_0_Mattresses1&fm=organic&iid=44e2776f-582e-4f92-98e1-7adb72150509.BEMGTERADBUVHD8E.SEARCH&ppt=None&ppn=None&ssid=1eutg667r40000001747563034132,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/j/n/t/-original-imagyywybsayskpe.jpeg?q=70,"₹2,073","₹4,139",49% off
DUROKING HEAVY BORDER 5 inch Double Cotton Mattress,https://www.flipkart.com/duroking-heavy-border-5-inch-double-cotton-mattress/p/itm78de22343d729?pid=BEMGMEK7NCGGV8KU&lid=LSTBEMGMEK7NCGGV8KUEZMU4V&marketplace=FLIPKART&store=wwe%2Frg9&srno=b_1_5&otracker=nmenu_sub_Home%20%26%20Furniture_0_Mattresses1&fm=organic&iid=44e2776f-582e-4f92-98e1-7adb72150509.BEMGMEK7NCGGV8KU.SEARCH&ppt=None&ppn=None&ssid=1eutg667r40000001747563034132,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/g/g/i/normal-top-double-5-48-72-heavy-border-cotton-cotton-duroking-original-imahf6t4camcyubj.jpeg?q=70,₹970,"₹4,987",80% off
Neobest NEOD78608 Orthopedic Dual Comfort Soft & Firm 8...,https://www.flipkart.com/neobest-neod78608-orthopedic-dual-comfort-soft-firm-8-inch-queen-high-resilience-hr-foam-mattress/p/itmbd1135a06254c?pid=BEMH84UGMCYXJVCH&lid=LSTBEMH84UGMCYXJVCHACKRWI&marketplace=FLIPKART&store=wwe%2Frg9&srno=b_1_6&otracker=nmenu_sub_Home%20%26%20Furniture_0_Mattresses1&fm=organic&iid=en_Vg5f8L4feahbxU0mnJOwLOv75mzvbJzluuQ351bx3HO--hufP2hDbJHwiGzjgig-EySyI4zRQAqkczkPpPbugQ%3D%3D&ppt=None&ppn=None&ssid=1eutg667r40000001747563034132,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/m/k/b/normal-top-queen-6-60-72-neod72606-orthopedic-dual-comfort-soft-original-imah7kx24v3fhfjx.jpeg?q=70,"₹6,339","₹11,998",47% off
Fitway SOFT COTTON HEAVY BORDER 5X6 OR 60X72 QUEEN SIZE...,https://www.flipkart.com/fitway-soft-cotton-heavy-border-5x6-60x72-queen-size-mattress-5-inch/p/itm3956d05a9612e?pid=BEMH2FUQHMA7ZYUY&lid=LSTBEMH2FUQHMA7ZYUYD6H0IT&marketplace=FLIPKART&store=wwe%2Frg9&spotlightTagId=default_FkPickId_wwe%2Frg9&srno=b_1_7&otracker=nmenu_sub_Home%20%26%20Furniture_0_Mattresses1&fm=organic&iid=44e2776f-582e-4f92-98e1-7adb72150509.BEMH2FUQHMA7ZYUY.SEARCH&ppt=None&ppn=None&ssid=1eutg667r40000001747563034132,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/6/o/g/pillow-top-queen-5-60-72-soft-cotton-heavy-border-5x6-or-60x72-original-imah2fuzsz8cymqz.jpeg?q=70,"₹1,180","₹4,999",76% off
DUROKING PREMIUM COTTON MATTRESS 4 inch Double Cotton M...,https://www.flipkart.com/duroking-premium-cotton-mattress-4-inch-double/p/itmc0325c1db073c?pid=BEMGF27TJYHZAC52&lid=LSTBEMGF27TJYHZAC52HCXLYN&marketplace=FLIPKART&store=wwe%2Frg9&spotlightTagId=default_BestsellerId_wwe%2Frg9&srno=b_1_8&otracker=nmenu_sub_Home%20%26%20Furniture_0_Mattresses1&fm=organic&iid=44e2776f-582e-4f92-98e1-7adb72150509.BEMGF27TJYHZAC52.SEARCH&ppt=None&ppn=None&ssid=1eutg667r40000001747563034132,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/l/b/y/normal-top-double-4-48-72-premium-cotton-mattress-cotton-cotton-original-imahc7gtaaxa82py.jpeg?q=70,₹499,"₹3,599",86% off
Flipkart Perfect Homes ECOFIT 4 inch Single High Densit...,https://www.flipkart.com/flipkart-perfect-homes-ecofit-4-inch-single-high-density-hd-foam-mattress/p/itm2ef0f43e1a3f2?pid=BEMGS33USVAHCZMV&lid=LSTBEMGS33USVAHCZMVI8P28X&marketplace=FLIPKART&store=wwe%2Frg9&srno=b_1_9&otracker=nmenu_sub_Home%20%26%20Furniture_0_Mattresses1&fm=organic&iid=44e2776f-582e-4f92-98e1-7adb72150509.BEMGS33USVAHCZMV.SEARCH&ppt=None&ppn=None&ssid=1eutg667r40000001747563034132,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/s/p/b/-original-imagyywys9agqpvu.jpeg?q=70,"₹2,216","₹4,615",51% off
Flipkart Perfect Homes ECOFIT 4 inch Single High Densit...,https://www.flipkart.com/flipkart-perfect-homes-ecofit-4-inch-single-high-density-hd-foam-mattress/p/itmfcf0e3a0a0a31?pid=BEMGS33T9D54JGSR&lid=LSTBEMGS33T9D54JGSRHDLHOE&marketplace=FLIPKART&store=wwe%2Frg9&srno=b_1_10&otracker=nmenu_sub_Home%20%26%20Furniture_0_Mattresses1&fm=organic&iid=44e2776f-582e-4f92-98e1-7adb72150509.BEMGS33T9D54JGSR.SEARCH&ppt=None&ppn=None&ssid=1eutg667r40000001747563034132,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/i/d/f/-original-imagyywyaezdnaeu.jpeg?q=70,"₹2,062","₹4,259",51% off
