Product Name,Product Link,Image URL,Price,Original Price,Discount
"Butterfly stainless steel 2 L, 3 L, 5 L Outer Lid Induc...",https://www.flipkart.com/butterfly-stainless-steel-2-l-3-5-l-outer-lid-induction-bottom-pressure-cooker/p/itm9517b15f74f1c?pid=PRCFTKYKBHKRKBFX&lid=LSTPRCFTKYKBHKRKBFXJDCJD8&marketplace=FLIPKART&store=upp%2Ftnx%2Fgsl&srno=b_1_1&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pressure%20Cookers1&fm=organic&iid=en_D07611AXz8J5l3Dh5tTZyD9Mn7umA58T5UMmtn0yrz_T26q_kud86o_ueLItW5ApRvLeZTu1B_sDQDYU9Tj9oQ%3D%3D&ppt=None&ppn=None&ssid=n38kbg2eow0000001747561753394,https://rukminim2.flixcart.com/image/612/612/xif0q/pressure-cooker/j/l/y/yes-3-friendly-combo-pack-houseofcommon-original-imah45hctsj2gyts.jpeg?q=70,"₹3,149","₹6,999",55% off
"Butterfly Aluminium Pressure Cooker 2 L, 3 L, 5 L Outer...",https://www.flipkart.com/butterfly-aluminium-pressure-cooker-2-l-3-5-l-outer-lid/p/itmc1b1dc2b17a0f?pid=PRCFAMZGMD7YKNHN&lid=LSTPRCFAMZGMD7YKNHNOMYHLI&marketplace=FLIPKART&store=upp%2Ftnx%2Fgsl&srno=b_1_2&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pressure%20Cookers1&fm=organic&iid=en_D07611AXz8J5l3Dh5tTZyD9Mn7umA58T5UMmtn0yrz-Q3KfuTnvzb35gFGCUgAgHNQ1hYziCF45QpNjlq5MsEPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=n38kbg2eow0000001747561753394,https://rukminim2.flixcart.com/image/612/612/xif0q/pressure-cooker/p/h/a/-original-imagrzvrdbqhphgh.jpeg?q=70,"₹1,949","₹3,069",36% off
Prestlee DELUXE 3 Liter Alumiium Outerlid Pressure Cook...,https://www.flipkart.com/prestlee-deluxe-3-liter-alumiium-outerlid-pressure-cooker-l-outer-lid/p/itma2ef48ec87416?pid=PRCGMGVE4GFWTRHW&lid=LSTPRCGMGVE4GFWTRHWVZ5DPM&marketplace=FLIPKART&store=upp%2Ftnx%2Fgsl&srno=b_1_3&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pressure%20Cookers1&fm=organic&iid=d81d8f8f-9a30-4877-9afa-d5871d41ed87.PRCGMGVE4GFWTRHW.SEARCH&ppt=None&ppn=None&ssid=n38kbg2eow0000001747561753394,https://rukminim2.flixcart.com/image/612/612/xif0q/pressure-cooker/j/x/d/no-1-pppc-1-prestlee-original-imahadv2pjd9hakm.jpeg?q=70,₹524,"₹1,695",69% off
Classic Essentials Alluminium Pressure Cooker | ISI Cer...,https://www.flipkart.com/classic-essentials-alluminium-pressure-cooker-isi-certified-inner-lid-2-l/p/itm7c6ed44ffe566?pid=PRCGRKFE3HUPEYPD&lid=LSTPRCGRKFE3HUPEYPDCRYBTA&marketplace=FLIPKART&store=upp%2Ftnx%2Fgsl&srno=b_1_4&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pressure%20Cookers1&fm=organic&iid=d81d8f8f-9a30-4877-9afa-d5871d41ed87.PRCGRKFE3HUPEYPD.SEARCH&ppt=None&ppn=None&ssid=n38kbg2eow0000001747561753394,https://rukminim2.flixcart.com/image/612/612/xif0q/pressure-cooker/e/i/i/no-1-alpha-delight-2ltr-classic-essentials-original-imah9h3mc6bgway3.jpeg?q=70,₹650,"₹2,025",67% off
Prestlee DELUXE 5 Liter Aluminium Outer lid Pressure Co...,https://www.flipkart.com/prestlee-deluxe-5-liter-aluminium-outer-lid-pressure-cooker-l/p/itmd5d492ea94b9c?pid=PRCGMGYBSV4D6FBD&lid=LSTPRCGMGYBSV4D6FBDHX2KYM&marketplace=FLIPKART&store=upp%2Ftnx%2Fgsl&srno=b_1_5&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pressure%20Cookers1&fm=organic&iid=d81d8f8f-9a30-4877-9afa-d5871d41ed87.PRCGMGYBSV4D6FBD.SEARCH&ppt=None&ppn=None&ssid=n38kbg2eow0000001747561753394,https://rukminim2.flixcart.com/image/612/612/xif0q/pressure-cooker/d/p/8/no-1-pppc-2-prestlee-original-imahadzwjwgdu4mw.jpeg?q=70,₹641,"₹1,895",66% off
Leo Natura Aluminium 3 L Outer Lid Pressure Cooker,https://www.flipkart.com/leo-natura-aluminium-3-l-outer-lid-pressure-cooker/p/itm103fce411e8ea?pid=PRCEVCHCEG3NQM7P&lid=LSTPRCEVCHCEG3NQM7PQ6M9NX&marketplace=FLIPKART&store=upp%2Ftnx%2Fgsl&srno=b_1_6&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pressure%20Cookers1&fm=organic&iid=en_D07611AXz8J5l3Dh5tTZyD9Mn7umA58T5UMmtn0yrz8M8UlUHVBr2QZfKsv4slevDl2aGtX-Ov52GfiU65R0TQ%3D%3D&ppt=None&ppn=None&ssid=n38kbg2eow0000001747561753394,https://rukminim2.flixcart.com/image/612/612/xif0q/pressure-cooker/u/f/e/no-1-201321133-leo-natura-original-imahbfbqn6gkg7nu.jpeg?q=70,₹604,"₹1,000",39% off
Pigeon Special Plus 3 L Inner Lid Pressure Cooker,https://www.flipkart.com/pigeon-special-plus-3-l-inner-lid-pressure-cooker/p/itmfe416e8373afd?pid=PRCGP8UVEGGEHGTZ&lid=LSTPRCGP8UVEGGEHGTZKI0AGC&marketplace=FLIPKART&store=upp%2Ftnx%2Fgsl&srno=b_1_7&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pressure%20Cookers1&fm=organic&iid=d81d8f8f-9a30-4877-9afa-d5871d41ed87.PRCGP8UVEGGEHGTZ.SEARCH&ppt=None&ppn=None&ssid=n38kbg2eow0000001747561753394,https://rukminim2.flixcart.com/image/612/612/xif0q/pressure-cooker/u/x/0/-original-imah2yzqgvhgsy3j.jpeg?q=70,₹999,"₹1,995",49% off
Bestofry Aluminium Cooker with Stainless Steel Tatte Id...,https://www.flipkart.com/bestofry-aluminium-cooker-stainless-steel-tatte-idly-stand-5-l-outer-lid-pressure-pan/p/itmf98754cf9a5df?pid=PRCHBY2BKJGGKKMZ&lid=LSTPRCHBY2BKJGGKKMZAORKNK&marketplace=FLIPKART&store=upp%2Ftnx%2Fgsl&srno=b_1_8&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pressure%20Cookers1&fm=organic&iid=d81d8f8f-9a30-4877-9afa-d5871d41ed87.PRCHBY2BKJGGKKMZ.SEARCH&ppt=None&ppn=None&ssid=n38kbg2eow0000001747561753394,https://rukminim2.flixcart.com/image/612/612/xif0q/pressure-cooker/d/p/x/no-2-bstf-5l-idlystand-combi-bestofry-original-imahby2babwkrsrk.jpeg?q=70,"₹1,426","₹2,195",35% off
"Greenchef Coral Combo 5 L, 3 L, 2 L Outer Lid Pressure ...",https://www.flipkart.com/greenchef-coral-combo-5-l-3-2-l-outer-lid-pressure-cooker/p/itm874e062029368?pid=PRCFQ3GFFZKZGHWT&lid=LSTPRCFQ3GFFZKZGHWTGYS6DD&marketplace=FLIPKART&store=upp%2Ftnx%2Fgsl&spotlightTagId=default_BestsellerId_upp%2Ftnx%2Fgsl&srno=b_1_9&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pressure%20Cookers1&fm=organic&iid=d81d8f8f-9a30-4877-9afa-d5871d41ed87.PRCFQ3GFFZKZGHWT.SEARCH&ppt=None&ppn=None&ssid=n38kbg2eow0000001747561753394,https://rukminim2.flixcart.com/image/612/612/xif0q/pressure-cooker/x/i/l/no-3-5506-greenchef-original-imah5eznstszgahp.jpeg?q=70,"₹1,399","₹3,099",54% off
"BAJAJ 2 L, 3 L, 5 L Inner Lid Pressure Cooker",https://www.flipkart.com/bajaj-2-l-3-5-l-inner-lid-pressure-cooker/p/itm0a0d259a13cf0?pid=PRCGSRF53SASSQXZ&lid=LSTPRCGSRF53SASSQXZZB0W7X&marketplace=FLIPKART&store=upp%2Ftnx%2Fgsl&spotlightTagId=default_BestsellerId_upp%2Ftnx%2Fgsl&srno=b_1_10&otracker=nmenu_sub_Home%20%26%20Furniture_0_Pressure%20Cookers1&fm=organic&iid=d81d8f8f-9a30-4877-9afa-d5871d41ed87.PRCGSRF53SASSQXZ.SEARCH&ppt=None&ppn=None&ssid=n38kbg2eow0000001747561753394,https://rukminim2.flixcart.com/image/612/612/xif0q/pressure-cooker/s/n/z/-original-imagtcm3mjrgwda3.jpeg?q=70,"₹1,899","₹4,070",53% off
