Product Name,Product Link,Image URL,Price,Original Price,Discount
Deepak Art Solid sheesham wood 6 seater sofa set with 4...,https://www.flipkart.com/deepak-art-solid-sheesham-wood-6-seater-sofa-set-40-density-foam-living-room-3-2-1/p/itmbd8a50d1e1fad?pid=SFSHBNFVRK6BZZHH&lid=LSTSFSHBNFVRK6BZZHHDMVTQK&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_1&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=en_vfv2IUFQIxaUQuM3ZoDXN5s9yDqqJ-VeCD5wfy6lKf1Evz7bw2UJJ7GsvbjaedLGHNjkDF2Lwcp20jJnbEANpA%3D%3D&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-set/y/f/t/27-47-brown-jute-3-2-1-71-8-28-8-8-28-23-28-deepak-art-0-brown-original-imah9u8ggvn5dkdb.jpeg?q=70,"₹29,980","₹50,000",40% off
AMBITECH Anti-Decubitus Anti-Bedsore Air Mattress 1 Yea...,https://www.flipkart.com/ambitech-anti-decubitus-anti-bedsore-air-mattress-1-year-replacement-warranty-pvc-seater-inflatable-sofa/p/itmf1c5ec8e8a618?pid=IFSHFYKSGQXTDQX2&lid=LSTIFSHFYKSGQXTDQX2EJUWPA&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_2&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=en_vfv2IUFQIxaUQuM3ZoDXN5s9yDqqJ-VeCD5wfy6lKf0Y4L2jTBr_gG5zI7zOJdu7osp68H5Ologs1vuuz3roQw%3D%3D&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/inflatable-sofa/o/x/b/90-1-seater-210-pvc-2-18-ambiam-01-ambitech-10-original-imah26jzyne5pg3s.jpeg?q=70,"₹1,713","₹4,999",65% off
magicmed Anti-Decubitus Anti-Bedsore Air Mattress 1 Yea...,https://www.flipkart.com/magicmed-anti-decubitus-anti-bedsore-air-mattress-1-year-replacement-warranty-pvc-seater-inflatable-sofa/p/itm2ba49df94c94c?pid=IFSH5C75WWMNUH2G&lid=LSTIFSH5C75WWMNUH2GCHHLAA&marketplace=FLIPKART&store=wwe%2Fc3z&spotlightTagId=default_BestsellerId_wwe%2Fc3z&srno=b_1_3&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.IFSH5C75WWMNUH2G.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/inflatable-sofa/s/n/l/90-1-seater-210-pvc-2-10-anti-decubitus-anti-bedsore-air-original-imah5c757u7juvzz.jpeg?q=70,"₹1,599","₹2,999",46% off
Apostate Morris 3 Seater Sofa set for Living Room Fabri...,https://www.flipkart.com/apostate-morris-3-seater-sofa-set-living-room-fabric/p/itmda0ff3e89b1e6?pid=SOFH7ZGJFH3RVNEB&lid=LSTSOFH7ZGJFH3RVNEBGY13BM&marketplace=FLIPKART&store=wwe%2Fc3z&spotlightTagId=default_FkPickId_wwe%2Fc3z&srno=b_1_4&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.SOFH7ZGJFH3RVNEB.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-sectional/i/j/i/symmetrical-76-navy-blue-198-jute-no-45-a-0075-apostate-76-navy-original-imahc5hztntjgyn6.jpeg?q=70,"₹6,480","₹60,000",89% off
ARRPIT CARE Air Bed for Patient PVC 1 Seater Inflatable...,https://www.flipkart.com/arrpit-care-air-bed-patient-pvc-1-seater-inflatable-sofa/p/itm0713c2c6097f2?pid=IFSGGP2TYYBTYQGH&lid=LSTIFSGGP2TYYBTYQGHGMK99N&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_5&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.IFSGGP2TYYBTYQGH.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/inflatable-sofa/b/9/b/18-1-seater-28-pvc-2-2-sca-01-arrpit-care-18-original-imah7359ruzxphut.jpeg?q=70,"₹1,723","₹3,999",56% off
Spotview 56 Holes King Size Air Bed With Air Pump | Qui...,https://www.flipkart.com/spotview-56-holes-king-size-air-bed-pump-quick-inflatable-pvc-2-seater-sofa/p/itmc297a3c755ff0?pid=IFSH7UYGHFYHJNVA&lid=LSTIFSH7UYGHFYHJNVAM50IQX&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_6&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=en_vfv2IUFQIxaUQuM3ZoDXN5s9yDqqJ-VeCD5wfy6lKf3-wLS7vX-gH9y4QDtAdFM24luHeWF4wDldsGPg_vRIig%3D%3D&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/inflatable-sofa/v/u/o/35-2-seater-11-pvc-4-699999999999999-56-holes-king-size-air-bed-original-imah7wfmdyzzzzww.jpeg?q=70,"₹3,499","₹5,999",41% off
INTEX PVC (Polyvinyl Chloride) 1 Seater Inflatable Sofa,https://www.flipkart.com/intex-pvc-polyvinyl-chloride-1-seater-inflatable-sofa/p/itm6c721ecdcb2ea?pid=IFPEKYZCDKTPSWA9&lid=LSTIFPEKYZCDKTPSWA9TUZKYN&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_7&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.IFPEKYZCDKTPSWA9.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/kerfl3k0/inflatable-sofa/w/a/9/pvc-polyvinyl-chloride-vki5468-intex-original-imafvdgs7g6qbbve.jpeg?q=70,"₹2,381","₹3,750",36% off
Flipkart Perfect Homes Crete Leatherette and Fabric 3 S...,https://www.flipkart.com/flipkart-perfect-homes-crete-leatherette-fabric-3-seater-sofa/p/itm3c8b584ccf766?pid=SOFGN43CHZKVZFMZ&lid=LSTSOFGN43CHZKVZFMZFDTLAK&marketplace=FLIPKART&store=wwe%2Fc3z&spotlightTagId=default_BestsellerId_wwe%2Fc3z&srno=b_1_8&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.SOFGN43CHZKVZFMZ.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-sectional/o/0/t/symmetrical-71-12-dark-black-grey-175-26-jute-no-30-crete-original-imah7rgfht6ptanz.jpeg?q=70,"₹7,489","₹25,999",71% off
WESTIDO Leatherette 4 Seater  Sofa,https://www.flipkart.com/westido-leatherette-4-seater-sofa/p/itm38b8394c3e8f1?pid=SOFG5GPHT4NGPMHR&store=wwe%2Fc3z&srno=b_1_9&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.SOFG5GPHT4NGPMHR.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-sectional/f/v/h/symmetrical-54-black-174-imitation-leather-no-18-criistiano-original-imahbv9vs7ypz9h4.jpeg?q=70,,,
GETZET Polyester 2 Seater Inflatable Sofa,https://www.flipkart.com/getzet-polyester-2-seater-inflatable-sofa/p/itme9acd54788105?pid=IFSH3ZSAMXPRXJHH&lid=LSTIFSH3ZSAMXPRXJHHSBAANI&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_10&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.IFSH3ZSAMXPRXJHH.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/inflatable-sofa/z/a/r/7-6-2-seater-7-6-polyester-1-pr-104-getzet-12-7-original-imahbpm4ahhfjggc.jpeg?q=70,"₹1,678","₹6,858",75% off
Jordyblue Marvin 2 Seater Fabric Manual Recliner,https://www.flipkart.com/jordyblue-marvin-2-seater-fabric-manual-recliner/p/itm2f8faeffaa5dc?pid=RECGK6RF25FPYBNU&lid=LSTRECGK6RF25FPYBNUUG321A&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_11&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=en_vfv2IUFQIxaUQuM3ZoDXN5s9yDqqJ-VeCD5wfy6lKf3nV8esgaNqTJtlDTkfWVTn5uvMlAFqQlEJ-kqv6ERtIg%3D%3D&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/recliner/l/h/h/-original-imah4gz4tyxyrbw4.jpeg?q=70,"₹29,439","₹62,000",52% off
RM HOME Box sofa Leatherette 3 Seater  Sofa,https://www.flipkart.com/rm-home-box-sofa-leatherette-3-seater/p/itma5fbf66699afb?pid=SOFG3KWCBTGSAZJT&lid=LSTSOFG3KWCBTGSAZJTGMZYVU&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_12&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=en_vfv2IUFQIxaUQuM3ZoDXN5s9yDqqJ-VeCD5wfy6lKf0j-tNHpmbdoV3gc5WoiEUDhW14las8o_7_p0oWVf5o0A%3D%3D&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-sectional/u/w/v/-original-imah8xyxc5zvtezn.jpeg?q=70,"₹8,163","₹20,000",59% off
UBRON Car Inflatable Sofa With 2 pillow and Air pump Us...,https://www.flipkart.com/ubron-car-inflatable-sofa-2-pillow-air-pump-use-travelling-leatherette-seater/p/itm906232ed288c0?pid=IFSGTBMGV9NWZPEX&lid=LSTIFSGTBMGV9NWZPEXPBBMAY&marketplace=FLIPKART&store=wwe%2Fc3z&spotlightTagId=default_BestsellerId_wwe%2Fc3z&srno=b_1_13&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.IFSGTBMGV9NWZPEX.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/inflatable-sofa/z/x/a/5-2-seater-5-leatherette-0-55-inflatable-travel-car-bed-air-sofa-original-imagzhg4pzbweab8.jpeg?q=70,"₹1,543","₹5,599",72% off
LIVEWELL Premium Quality Velvet Fabric 3 Seater  Sofa,https://www.flipkart.com/livewell-premium-quality-velvet-fabric-3-seater-sofa/p/itma096236a310c6?pid=SOFHA2WJFTPFGMNA&lid=LSTSOFHA2WJFTPFGMNAIE9BL9&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_14&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.SOFHA2WJFTPFGMNA.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-sectional/7/f/z/symmetrical-76-2-green-182-2-velvet-no-20-lw-tq-3-livewell-78-74-original-imahaftpu63qygqw.jpeg?q=70,"₹6,939","₹25,000",72% off
WESTIDO Leatherette 4 Seater  Sofa,https://www.flipkart.com/westido-leatherette-4-seater-sofa/p/itm67e7f20b6cdb7?pid=SOFG5JXWCHUPUBPT&store=wwe%2Fc3z&srno=b_1_15&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.SOFG5JXWCHUPUBPT.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-sectional/2/p/v/symmetrical-54-brown-pu-30-imitation-leather-no-40-criistiano01-original-imah8ucvfud6tfv9.jpeg?q=70,,,
Flipkart Perfect Homes Freya LHS Fabric 6 Seater  Sofa,https://www.flipkart.com/flipkart-perfect-homes-freya-lhs-fabric-6-seater-sofa/p/itmef5abc4a749b1?pid=SOFHYY6YBCGJGGGH&lid=LSTSOFHYY6YBCGJGGGHRYBQK8&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_16&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.SOFHYY6YBCGJGGGH.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-sectional/j/e/e/left-facing-teal-velvet-no-rmhj78-flipkart-perfect-homes-teal-original-imahyy6yz5zpamjz.jpeg?q=70,"₹19,956","₹40,000",50% off
Homeify Alora Fabric 5- to 6-Seater Sofa L Shape Sofa S...,https://www.flipkart.com/homeify-alora-fabric-5-6-seater-sofa-l-shape-set-living-room-6-seater/p/itmcd4600984986c?pid=SOFGXY862YHU3SGN&lid=LSTSOFGXY862YHU3SGNO9CPHY&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_17&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=en_vfv2IUFQIxaUQuM3ZoDXN5s9yDqqJ-VeCD5wfy6lKf0_-RaZEJDRvklx5zrZGqyC9ByHdx7eZlQo7VV6jtSrXQ%3D%3D&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-sectional/s/a/x/left-facing-81-2-light-grey-262-polyester-no-84-1011-homeify-96-original-imah8nyjtkeqvqcj.jpeg?q=70,"₹28,069","₹85,999",67% off
Fusion Furniture Factory Tulip Cream & Brown Fabric 3 S...,https://www.flipkart.com/fusion-furniture-factory-tulip-cream-brown-fabric-3-seater-sofa/p/itm789735a6583d2?pid=SOFHBUZ5BH3G8JWC&lid=LSTSOFHBUZ5BH3G8JWCVVRDK8&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_18&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=en_vfv2IUFQIxaUQuM3ZoDXN5s9yDqqJ-VeCD5wfy6lKf1CmVJWbuhMDRJ0H62hJEb5-vq33VJzfAa99ZUf0le40g%3D%3D&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-sectional/z/r/d/symmetrical-55-cream-brown-155-44-chenille-no-20-tulip-cream-original-imahbuz4jsawywda.jpeg?q=70,"₹8,989","₹38,989",76% off
WESTIDO Leatherette 6 Seater  Sofa,https://www.flipkart.com/westido-leatherette-6-seater-sofa/p/itme1d62c90cda1f?pid=SOFG5GQFN8XMJSY4&lid=LSTSOFG5GQFN8XMJSY4L1WSOW&marketplace=FLIPKART&store=wwe%2Fc3z&srno=b_1_19&otracker=nmenu_sub_Home%20%26%20Furniture_0_Sofa1&fm=organic&iid=954867c7-8fdc-4a55-9e19-8de7e5b73ac3.SOFG5GQFN8XMJSY4.SEARCH&ppt=None&ppn=None&ssid=wluun0oy000000001747563122552,https://rukminim2.flixcart.com/image/612/612/xif0q/sofa-sectional/j/0/1/left-facing-165-1-brown-341-na-no-65-legrand-westido-70-brown-original-imahbyjv8ykwb8hr.jpeg?q=70,"₹17,598","₹29,999",41% off
