Product Name,Product Link,Image URL,Price,Original Price,Discount
Greenchef Rio Tawa 25 cm diameter,https://www.flipkart.com/greenchef-rio-tawa-25-cm-diameter/p/itmce29ee3f22fac?pid=PTPFT7HKRFBEM3UG&lid=LSTPTPFT7HKRFBEM3UGB1VGFE&marketplace=FLIPKART&store=upp%2Ftnx%2Fj12&srno=b_1_1&otracker=nmenu_sub_Home%20%26%20Furniture_0_Tawas1&fm=organic&iid=en_HvDofxbFotamhdkCZb5qU6FmKRUT1t3semDUFuUbcBMX0u3o67oNoFGLj8kRZV5kZGZ1yV7v4qHmMcWATQx0KPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=wzdd1wz11c0000001747561644840,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/o/e/n/riotawa2501b-greenchef-original-imah7m38gh8ut799.jpeg?q=70,₹296,₹899,67% off
NSVL Aluminium Non-Stick Dosa Tawa with Handle| Granite...,https://www.flipkart.com/nsvl-aluminium-non-stick-dosa-tawa-handle-granite-finish-pfoa-free-26-5-cm-diameter/p/itmee680b044ff84?pid=PTPH5TRSZNEXYQYF&lid=LSTPTPH5TRSZNEXYQYFAOS2DT&marketplace=FLIPKART&store=upp%2Ftnx%2Fj12&srno=b_1_2&otracker=nmenu_sub_Home%20%26%20Furniture_0_Tawas1&fm=organic&iid=en_HvDofxbFotamhdkCZb5qU6FmKRUT1t3semDUFuUbcBP61soppJZYCMlnpIj-9ZZ2s0m627QNofJbj2ebH5rEHw%3D%3D&ppt=None&ppn=None&ssid=wzdd1wz11c0000001747561644840,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/d/f/x/dosa-tawa-nsvl-original-imah5ttzhazrjaw6.jpeg?q=70,₹285,₹599,52% off
Rock Tawa RT-TAWA12 Tawa 26.33 cm diameter,https://www.flipkart.com/rock-tawa-rt-tawa12-26-33-cm-diameter/p/itm962b117654807?pid=PTPFJQHGBWRVYHF5&lid=LSTPTPFJQHGBWRVYHF53YXXJ7&marketplace=FLIPKART&store=upp%2Ftnx%2Fj12&spotlightTagId=default_BestsellerId_upp%2Ftnx%2Fj12&srno=b_1_3&otracker=nmenu_sub_Home%20%26%20Furniture_0_Tawas1&fm=organic&iid=5b1579fa-3df0-4c9c-ae2b-a43b56d9fd99.PTPFJQHGBWRVYHF5.SEARCH&ppt=None&ppn=None&ssid=wzdd1wz11c0000001747561644840,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/o/7/r/rt-tawa12-rock-tawa-original-imah4b6xzreqp9cf.jpeg?q=70,₹483,"₹1,800",73% off
"NIRLON Non-Stick Aluminium Flat Tawa, Tawa 26 cm diamet...",https://www.flipkart.com/nirlon-non-stick-aluminium-flat-tawa-tawa-26-cm-diameter/p/itme34c0bd72f449?pid=PTPHYAH8ZHGMZVUB&lid=LSTPTPHYAH8ZHGMZVUBN5FMEG&marketplace=FLIPKART&store=upp%2Ftnx%2Fj12&srno=b_1_4&otracker=nmenu_sub_Home%20%26%20Furniture_0_Tawas1&fm=organic&iid=5b1579fa-3df0-4c9c-ae2b-a43b56d9fd99.PTPHYAH8ZHGMZVUB.SEARCH&ppt=None&ppn=None&ssid=wzdd1wz11c0000001747561644840,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/s/k/b/nelcon-flat-tawa-nirlon-original-imahyah4tktybcwf.jpeg?q=70,₹228,"₹1,428",84% off
Benon Induction Base Dosa Tawa 26 cm diameter,https://www.flipkart.com/benon-induction-base-dosa-tawa-26-cm-diameter/p/itma0d7d2fdc2ee5?pid=PTPGH8R8Y9MHB4PY&lid=LSTPTPGH8R8Y9MHB4PYWGY6QC&marketplace=FLIPKART&store=upp%2Ftnx%2Fj12&srno=b_1_5&otracker=nmenu_sub_Home%20%26%20Furniture_0_Tawas1&fm=organic&iid=5b1579fa-3df0-4c9c-ae2b-a43b56d9fd99.PTPGH8R8Y9MHB4PY.SEARCH&ppt=None&ppn=None&ssid=wzdd1wz11c0000001747561644840,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/j/e/b/ben26tib-benon-original-imah7yqvv2qha7wq.jpeg?q=70,₹344,₹950,63% off
Prestige Omega Marble Tawa 28 cm diameter,https://www.flipkart.com/prestige-omega-marble-tawa-28-cm-diameter/p/itm5489e19bc8e70?pid=PTPENR8JE4YFW8UZ&lid=LSTPTPENR8JE4YFW8UZFPZBNA&marketplace=FLIPKART&store=upp%2Ftnx%2Fj12&srno=b_1_6&otracker=nmenu_sub_Home%20%26%20Furniture_0_Tawas1&fm=organic&iid=en_HvDofxbFotamhdkCZb5qU6FmKRUT1t3semDUFuUbcBOIP4pXc7sT81RcXpJvbDuIBi35g30en3akpXPrq8P16eo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=wzdd1wz11c0000001747561644840,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/i/g/j/-original-imah7fymgzbfcpwz.jpeg?q=70,₹650,₹900,27% off
Classic Essentials Craft Non Stick 5 Layer GMM Coating ...,https://www.flipkart.com/classic-essentials-craft-non-stick-5-layer-gmm-coating-soft-handle-dosa-tawa-26-cm-diameter/p/itm4f52304682191?pid=PTPHCYXSDAGDYHUP&lid=LSTPTPHCYXSDAGDYHUPEFSL4E&marketplace=FLIPKART&store=upp%2Ftnx%2Fj12&srno=b_1_7&otracker=nmenu_sub_Home%20%26%20Furniture_0_Tawas1&fm=organic&iid=5b1579fa-3df0-4c9c-ae2b-a43b56d9fd99.PTPHCYXSDAGDYHUP.SEARCH&ppt=None&ppn=None&ssid=wzdd1wz11c0000001747561644840,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/b/d/p/craft-dosa-tawa-26cm-classic-essentials-original-imahc5gnz8ruzu6x.jpeg?q=70,"₹1,499",,
The Indus Valley Super Smooth Cast Iron Tawa for Dosa/C...,https://www.flipkart.com/indus-valley-super-smooth-cast-iron-tawa-dosa-chapathi-10-8-inch-27-6-cm-diameter/p/itme0259082d1682?pid=PTPFYN5ZG8J4UEBR&lid=LSTPTPFYN5ZG8J4UEBRJ54QC1&marketplace=FLIPKART&store=upp%2Ftnx%2Fj12&srno=b_1_8&otracker=nmenu_sub_Home%20%26%20Furniture_0_Tawas1&fm=organic&iid=5b1579fa-3df0-4c9c-ae2b-a43b56d9fd99.PTPFYN5ZG8J4UEBR.SEARCH&ppt=None&ppn=None&ssid=wzdd1wz11c0000001747561644840,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/t/u/l/kc-fe-ta-009-the-indus-valley-original-imah8mu7dvwd33fz.jpeg?q=70,₹934,"₹1,830",48% off
bluline Nice Non-Stick Mini Uttapam Tawa Multi Snack Ma...,https://www.flipkart.com/bluline-nice-non-stick-mini-uttapam-tawa-multi-snack-maker-4-1-pan-pancake-19-cm-diameter/p/itm04e069ffae9b9?pid=PTPH2YCEPSGZWDJH&lid=LSTPTPH2YCEPSGZWDJHB3LXCQ&marketplace=FLIPKART&store=upp%2Ftnx%2Fj12&srno=b_1_9&otracker=nmenu_sub_Home%20%26%20Furniture_0_Tawas1&fm=organic&iid=5b1579fa-3df0-4c9c-ae2b-a43b56d9fd99.PTPH2YCEPSGZWDJH.SEARCH&ppt=None&ppn=None&ssid=wzdd1wz11c0000001747561644840,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/j/s/z/mini-uttpam-4236598-bluline-original-imah3g6g8z9czzem.jpeg?q=70,₹224,₹500,55% off
"NIRLON Nelcon Non-Stick Aluminium Flat Tawa, Black Tawa...",https://www.flipkart.com/nirlon-nelcon-non-stick-aluminium-flat-tawa-black-tawa-26-cm-diameter/p/itm9af40cc262f9e?pid=PTPGZZPZMHZGCTRY&lid=LSTPTPGZZPZMHZGCTRYPBIPOM&marketplace=FLIPKART&store=upp%2Ftnx%2Fj12&spotlightTagId=default_TrendingId_upp%2Ftnx%2Fj12&srno=b_1_10&otracker=nmenu_sub_Home%20%26%20Furniture_0_Tawas1&fm=organic&iid=5b1579fa-3df0-4c9c-ae2b-a43b56d9fd99.PTPGZZPZMHZGCTRY.SEARCH&ppt=None&ppn=None&ssid=wzdd1wz11c0000001747561644840,https://rukminim2.flixcart.com/image/612/612/xif0q/pot-pan/i/z/v/nelcon-flat-tawa-nirlon-original-imagzzpze9dheqqk.jpeg?q=70,₹166,"₹1,428",88% off
