Product Name,Product Link,Image URL,Price,Original Price,Discount
Flipkart SmartBuy SINGLE WALL STAINLESS STEEL FRIDGE WA...,https://www.flipkart.com/flipkart-smartbuy-single-wall-stainless-steel-fridge-waterbottle-daily-use-home-office-1000-ml-bottle/p/itm1ca634640be48?pid=BOTHYZZDKAZFYNM3&lid=LSTBOTHYZZDKAZFYNM3TDFBTA&marketplace=FLIPKART&store=upp%2F3t7&srno=b_1_1&otracker=nmenu_sub_Home%20%26%20Furniture_0_Water%20Bottles1&fm=organic&iid=en_OPajWtWDhmAsz2BgIiAV7cD5ohfm-qZbO5KD6OWrHHzKvjX1ZJ8WxQCUwqueEQjzc2wU89yaYderelniqTXjvg%3D%3D&ppt=None&ppn=None&ssid=x7sn2qbj280000001747562234677,https://rukminim2.flixcart.com/image/612/612/xif0q/bottle/n/v/a/1000-single-wall-stainless-steel-fridge-waterbottle-for-daily-original-imahyugsjbysvydy.jpeg?q=70,₹316,₹799,60% off
cello by cello h2o glass fridge bottle 1000ml clear 920...,https://www.flipkart.com/cello-h2o-glass-fridge-bottle-1000ml-clear-920-ml/p/itmb86dbbf747b48?pid=BOTG37N4BXMGFRQP&lid=LSTBOTG37N4BXMGFRQPXFG1YF&marketplace=FLIPKART&store=upp%2F3t7&srno=b_1_2&otracker=nmenu_sub_Home%20%26%20Furniture_0_Water%20Bottles1&fm=organic&iid=en_OPajWtWDhmAsz2BgIiAV7cD5ohfm-qZbO5KD6OWrHHx3eRxRt-yxSexwAY_JK-mtMDVDAXOkUA13U4LdpT4fa_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=x7sn2qbj280000001747562234677,https://rukminim2.flixcart.com/image/612/612/xif0q/bottle/d/v/t/1000-h2o-glass-fridge-water-bottle-with-plastic-cap-1000ml-clear-original-imag37n4fata7jwf.jpeg?q=70,₹189,₹249,24% off
"RBM Set of 3 motivational water bottle 2000ml,900ml,300...",https://www.flipkart.com/rbm-set-3-motivational-water-bottle-2000ml-900ml-300ml-2000-ml/p/itmfa493170f7567?pid=BOTH9292BKZZWSEM&lid=LSTBOTH9292BKZZWSEM0ZYMX5&marketplace=FLIPKART&store=upp%2F3t7&srno=b_1_3&otracker=nmenu_sub_Home%20%26%20Furniture_0_Water%20Bottles1&fm=organic&iid=4ac0aed9-fea3-411c-b659-9a38bb059f36.BOTH9292BKZZWSEM.SEARCH&ppt=None&ppn=None&ssid=x7sn2qbj280000001747562234677,https://rukminim2.flixcart.com/image/612/612/xif0q/water-bottle/m/z/h/3100-motivational-water-bottle-set-of-3-3-rbm-original-imah8y293ehtj2rz.jpeg?q=70,₹407,₹999,59% off
MILTON HELIX 1000 ml Bottle,https://www.flipkart.com/milton-helix-1000-ml-bottle/p/itm485ebe6abb94a?pid=BOTG4RBSAHRJNAZH&lid=LSTBOTG4RBSAHRJNAZHKTPQWZ&marketplace=FLIPKART&store=upp%2F3t7&spotlightTagId=default_BestsellerId_upp%2Ff2k%2F0zz&srno=b_1_4&otracker=nmenu_sub_Home%20%26%20Furniture_0_Water%20Bottles1&fm=organic&iid=4ac0aed9-fea3-411c-b659-9a38bb059f36.BOTG4RBSAHRJNAZH.SEARCH&ppt=None&ppn=None&ssid=x7sn2qbj280000001747562234677,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-bottle/z/z/1/1000-helix-4-milton-original-imah6fpuykrupq3y.jpeg?q=70,₹299,₹539,44% off
"MILTON Kool Hexone 1200 Insulated Water , 1.12 Litres 1...",https://www.flipkart.com/milton-kool-hexone-1200-insulated-water-1-12-litres-1120-ml-bottle/p/itma127facd64167?pid=BOTGF486CEYZRVTU&lid=LSTBOTGF486CEYZRVTUDLCURA&marketplace=FLIPKART&store=upp%2F3t7&srno=b_1_5&otracker=nmenu_sub_Home%20%26%20Furniture_0_Water%20Bottles1&fm=organic&iid=4ac0aed9-fea3-411c-b659-9a38bb059f36.BOTGF486CEYZRVTU.SEARCH&ppt=None&ppn=None&ssid=x7sn2qbj280000001747562234677,https://rukminim2.flixcart.com/image/612/612/xif0q/bottle/e/y/n/1120-kool-hexone-1200-insulated-water-1-12-litres-1-original-imah3bmqgzzn6jax.jpeg?q=70,₹207,₹275,24% off
aaryashoppy 500 ML Thermos Insulated Hot Cold Flask LED...,https://www.flipkart.com/aaryashoppy-500-ml-thermos-insulated-hot-cold-flask-led-temperature-display-vacuum-bottle/p/itm3bad49e318013?pid=BOTGRU94FGNYEQJQ&lid=LSTBOTGRU94FGNYEQJQVOCS3O&marketplace=FLIPKART&store=upp%2F3t7&srno=b_1_6&otracker=nmenu_sub_Home%20%26%20Furniture_0_Water%20Bottles1&fm=organic&iid=en_OPajWtWDhmAsz2BgIiAV7cD5ohfm-qZbO5KD6OWrHHz7A6Mt1-DmQkdyun5tURSwrz1ApK87mMSEKbbQYoM-ng%3D%3D&ppt=None&ppn=None&ssid=x7sn2qbj280000001747562234677,https://rukminim2.flixcart.com/image/612/612/xif0q/bottle/s/a/t/500-500-ml-thermos-insulated-hot-cold-flask-led-temperature-original-imahbxpaq53nnrus.jpeg?q=70,₹299,"₹1,599",81% off
"MILTON Pacific 1000 Pet Bottles 12 Pcs Set, PURPLE MY 1...",https://www.flipkart.com/milton-pacific-1000-pet-bottles-12-pcs-set-purple-my-ml-bottle/p/itma03a69a1dd748?pid=BOTGFQ5X2JYZFZ2Y&lid=LSTBOTGFQ5X2JYZFZ2YUTZVSS&marketplace=FLIPKART&store=upp%2F3t7&srno=b_1_7&otracker=nmenu_sub_Home%20%26%20Furniture_0_Water%20Bottles1&fm=organic&iid=4ac0aed9-fea3-411c-b659-9a38bb059f36.BOTGFQ5X2JYZFZ2Y.SEARCH&ppt=None&ppn=None&ssid=x7sn2qbj280000001747562234677,https://rukminim2.flixcart.com/image/612/612/kmxsakw0/bottle/u/r/q/1000-pacific-1000-pet-bottles-12-pcs-set-purple-my-12-95959-original-imagfq5xxy7txffr.jpeg?q=70,₹270,₹540,50% off
pexpo Craft Ombre Shades Sports and Hiking Stainless St...,https://www.flipkart.com/pexpo-craft-ombre-shades-sports-hiking-stainless-steel-water-bottle-750-ml/p/itm9c8bb6011dad2?pid=BOTHANV9UHHUQAVB&lid=LSTBOTHANV9UHHUQAVBPSHXIL&marketplace=FLIPKART&store=upp%2F3t7&srno=b_1_8&otracker=nmenu_sub_Home%20%26%20Furniture_0_Water%20Bottles1&fm=organic&iid=4ac0aed9-fea3-411c-b659-9a38bb059f36.BOTHANV9UHHUQAVB.SEARCH&ppt=None&ppn=None&ssid=x7sn2qbj280000001747562234677,https://rukminim2.flixcart.com/image/612/612/xif0q/bottle/6/8/t/1000-craft-pro-ombre-shades-sports-and-hiking-stainless-steel-original-imahb5vknhsvezxn.jpeg?q=70,₹260,₹599,56% off
Flipkart SmartBuy Designer Mosaic Bottle - 1000ml - PET,https://www.flipkart.com/flipkart-smartbuy-designer-mosaic-bottle-1000ml-pet/p/itm5373d3bd25736?pid=BOTFFG6KUGMYFSZG&lid=LSTBOTFFG6KUGMYFSZGZWA1ZY&marketplace=FLIPKART&store=upp%2F3t7&spotlightTagId=default_BestsellerId_upp%2Ff2k%2F0zz&srno=b_1_9&otracker=nmenu_sub_Home%20%26%20Furniture_0_Water%20Bottles1&fm=organic&iid=4ac0aed9-fea3-411c-b659-9a38bb059f36.BOTFFG6KUGMYFSZG.SEARCH&ppt=None&ppn=None&ssid=x7sn2qbj280000001747562234677,https://rukminim2.flixcart.com/image/612/612/xif0q/bottle/7/u/5/1000-botmultp6-6-botmultp6-flipkart-smartbuy-original-imahyubhu4t5tffq.jpeg?q=70,₹189,"₹1,278",85% off
Cilox Bottle 500 ml Flask,https://www.flipkart.com/cilox-bottle-500-ml-flask/p/itma8d17f391f9af?pid=BOTGCEVHNBVMZZJ6&lid=LSTBOTGCEVHNBVMZZJ6YXBOZ4&marketplace=FLIPKART&store=upp%2F3t7&srno=b_1_10&otracker=nmenu_sub_Home%20%26%20Furniture_0_Water%20Bottles1&fm=organic&iid=4ac0aed9-fea3-411c-b659-9a38bb059f36.BOTGCEVHNBVMZZJ6.SEARCH&ppt=None&ppn=None&ssid=x7sn2qbj280000001747562234677,https://rukminim2.flixcart.com/image/612/612/xif0q/bottle/s/b/6/500-white-bottle-1-white-bottle-1-cilox-original-imahfm68yn5mvxzk.jpeg?q=70,₹299,"₹1,299",76% off
