Product Name,Product Link,Image URL,Price,Original Price,Discount
"Men Casual, Party, Formal, Evening Black, Brown Texas L...",https://www.flipkart.com/zoro-men-casual-party-formal-evening-black-brown-texas-leatherite-artificial-leather-reversible-belt/p/itmfbr32gygsbgaf?pid=BELFBMJDHF7KWVRG&lid=LSTBELFBMJDHF7KWVRGJRADKZ&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_1&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=en_c0ojijXVN4-Qun6bqpUUxyf1dvsJTb7mf9m2X6d0lRykEidk4eoktp7PtISamkCVxRZ2TFaJ9Nf0xNQdZNyC3Q%3D%3D&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/l3t2fm80/belt/z/f/c/44-tx01-rstx01-belt-zoro-original-imageud289tuyyyh.jpeg?q=70,₹259,"₹1,499",82% off
"Men Formal, Casual, Party Black Genuine Leather Belt",https://www.flipkart.com/loopa-men-formal-casual-party-black-genuine-leather-belt/p/itmb874f89c48de7?pid=BELGVX3FHTYEMYWR&lid=LSTBELGVX3FHTYEMYWRZZGSXV&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_2&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=en_c0ojijXVN4-Qun6bqpUUxyf1dvsJTb7mf9m2X6d0lRybR-CZmWsDl69Oc3W0OI7kaZaBIUrxL1MpceI0ZembSA%3D%3D&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/belt/c/s/b/34-mdl-bob-182-bl-sty-bob-182-bl-belt-loopa-original-imahahec9tcmdbq9.jpeg?q=70,₹266,"₹1,599",83% off
"Men Casual, Formal Brown Genuine Leather Belt",https://www.flipkart.com/naazss-men-casual-formal-brown-genuine-leather-belt/p/itm3ec7a0d3696e4?pid=BELHBV37VJF27T8J&lid=LSTBELHBV37VJF27T8JRV0GIF&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_5&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=12282c5a-16e2-4918-980c-186722cc3e67.BELHBV37VJF27T8J.SEARCH&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/belt/h/8/d/one-size-mdl-opd-50-sty-opd-50-belt-zaphod-original-imahfqmkhfmk9pwm.jpeg?q=70,₹219,₹899,75% off
"Men Formal, Party, Evening, Casual Black Artificial Lea...",https://www.flipkart.com/zoro-men-formal-party-evening-casual-black-artificial-leather-texas-leatherite-belt/p/itma5d5e9862c6eb?pid=BELFPCXEV7DMJHQS&lid=LSTBELFPCXEV7DMJHQSEDGI9S&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_10&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=12282c5a-16e2-4918-980c-186722cc3e67.BELFPCXEV7DMJHQS.SEARCH&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/belt/b/p/n/one-size-mdl-bob-282-sty-bob-282-belt-for-men-s-heneda-original-imahb8gbh2yzpemz.jpeg?q=70,₹198,"₹1,299",84% off
"Men Formal, Casual, Evening, Party Brown Artificial Lea...",https://www.flipkart.com/provogue-men-formal-casual-evening-party-brown-artificial-leather-belt/p/itmb2ad22015bc4a?pid=BELGTAHN7FCZRYRW&lid=LSTBELGTAHN7FCZRYRWIRUMTL&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_11&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=en_c0ojijXVN4-Qun6bqpUUxyf1dvsJTb7mf9m2X6d0lRxOHmQrTLB5bFos1wSFLhy2Qs5U1oJ86Cod7i9gGqZzgA%3D%3D&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/belt/n/z/x/34-men-formal-belt-with-keychain-combo-men-s-casual-genuine-original-imahcf725yhexuqd.jpeg?q=70,₹284,"₹1,500",81% off
Men Formal Brown Genuine Leather Belt,https://www.flipkart.com/provogue-men-formal-brown-genuine-leather-belt/p/itmb4da87a7bf97b?pid=BELGZ9FD4KPNHYEV&lid=LSTBELGZ9FD4KPNHYEVVL77QG&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_12&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=en_c0ojijXVN4-Qun6bqpUUxyf1dvsJTb7mf9m2X6d0lRyH6JmnxK3_vKOqDzre9r9e2FTyG_gTw9xXqOPsIY6qfg%3D%3D&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/belt/z/c/a/44-mdl-aexo-146-sty-aexo-146-men-s-genuine-leather-belt-carlton-original-imahbfqyyrzzagpg.jpeg?q=70,"₹1,199","₹2,799",57% off
Men Brown Genuine Leather Belt,https://www.flipkart.com/kaezr-men-brown-genuine-leather-belt/p/itmfdxkbkb6gwkpt?pid=BELGWG5HS2GEGKEH&lid=LSTBELGWG5HS2GEGKEHOR7JMA&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_13&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=12282c5a-16e2-4918-980c-186722cc3e67.BELGWG5HS2GEGKEH.SEARCH&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-belt/m/y/a/26-aasril-19-flat-belt-niddleman-men-original-imahbmjnchtuzffn.jpeg?q=70,₹299,₹599,50% off
"Men Formal, Casual, Party, Party Multicolor Cork Belt",https://www.flipkart.com/zaphod-men-formal-casual-party-party-multicolor-cork-belt/p/itmf8f8767298954?pid=BELHYZ64H4QEZNJH&store=reh%2Fro3&srno=b_1_16&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=12282c5a-16e2-4918-980c-186722cc3e67.BELHYZ64H4QEZNJH.SEARCH&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-belt/1/l/a/36-ghfk-61-buckle-belt-niddleman-men-original-imahbg9neaghm9dd.jpeg?q=70,₹199,₹599,66% off
Men Casual Multicolor Nylon Belt,https://www.flipkart.com/contacts-men-casual-multicolor-nylon-belt/p/itm23b6da94ecdfa?pid=BELFVTAPHN7TRZZD&lid=LSTBELFVTAPHN7TRZZDWF5DKS&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_20&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=12282c5a-16e2-4918-980c-186722cc3e67.BELFVTAPHN7TRZZD.SEARCH&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/belt/u/4/m/one-size-mdl-opd-28-sty-opd-28-belt-provogue-original-imah6v9bm68gtymb.jpeg?q=70,₹233,₹899,74% off
Men Formal Black Genuine Leather Belt,https://www.flipkart.com/provogue-men-formal-black-genuine-leather-belt/p/itm33a79f6ba01dc?pid=BELGZ9FF8CPWGGCQ&lid=LSTBELGZ9FF8CPWGGCQVAY66J&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_21&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=en_c0ojijXVN4-Qun6bqpUUxyf1dvsJTb7mf9m2X6d0lRyDmaDNlAMEY3qrkmHI9ILsrl1PmajFg32mqKx2-mEq3g%3D%3D&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/belt/m/d/z/one-size-autolock-ratched-belt-rab40-51-autolock-ratched-belt-original-imagpgqh9yvyun8e.jpeg?q=70,₹165,₹999,83% off
"Men Evening, Casual, Formal, Party Black Genuine Leathe...",https://www.flipkart.com/zoro-men-evening-casual-formal-party-black-genuine-leather-belt/p/itmff7834de3ff9f?pid=BELFZH4KBTRKYAZJ&lid=LSTBELFZH4KBTRKYAZJKDPY2F&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_25&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=en_c0ojijXVN4-Qun6bqpUUxyf1dvsJTb7mf9m2X6d0lRxU1sfpUBrkERvLb2mh53-G6rRc43Z57Xqny-QWr3M5aA%3D%3D&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/belt/s/o/r/38-mdl-bob-182-br-sty-bob-182-br-belt-provogue-original-imagtduw7qyvvqf7.jpeg?q=70,₹279,"₹1,599",82% off
"Men Casual, Evening, Formal, Party Black, Brown Texas L...",https://www.flipkart.com/mainbazar-men-casual-evening-formal-party-black-brown-texas-leatherite-belt/p/itmbb03d0cff1b06?pid=BELH5WUFKFYGENWR&lid=LSTBELH5WUFKFYGENWRCDO66O&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_26&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=12282c5a-16e2-4918-980c-186722cc3e67.BELH5WUFKFYGENWR.SEARCH&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/belt/3/i/2/44-mdl-jafa-43-br-na-sty-jafa-43-br-men-s-genuine-leather-belt-original-imagz9fdacnegzrb.jpeg?q=70,₹339,"₹2,199",84% off
"Men Formal, Casual, Party, Party Black, Brown Genuine L...",https://www.flipkart.com/zaphod-men-formal-casual-party-party-black-brown-genuine-leather-belt/p/itm9b02c25897232?pid=BELHYZ64EKQBKWAK&lid=LSTBELHYZ64EKQBKWAKUAHDHW&marketplace=FLIPKART&store=reh%2Fro3&srno=b_1_29&otracker=nmenu_sub_Men_0_Belts1&fm=organic&iid=12282c5a-16e2-4918-980c-186722cc3e67.BELHYZ64EKQBKWAK.SEARCH&ppt=None&ppn=None&ssid=5uuou1fkuo0000001747556450908,https://rukminim2.flixcart.com/image/612/612/xif0q/belt/q/k/z/36-rkb-br-mono-36-rkb-br-mono-36-belt-kaezri-original-imahfafxgkpph2qu.jpeg?q=70,₹214,"₹1,999",89% off
