Product Name,Product Link,Image URL,Price,Original Price,Discount
Footup 4 Pair Comfortable|Ultra-Light|Stylish and Trend...,https://www.flipkart.com/footup-men-4-pair-comfortable-ultra-light-stylish-trendy-flip-flops-slippers/p/itmc72ef20547768?pid=SFFGPVFXD67QFEGA&lid=LSTSFFGPVFXD67QFEGAXAMY42&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_1&otracker=nmenu_sub_Men_0_Flip-%20Flops1&fm=organic&iid=en_tmWflUoMM9xMyPiscztgM4K0gI--cWvlISjiSRAvjFKZnHNs-YqF3P9MCC8mVn8meiPyUDPOmqDefG8xHGv15w%3D%3D&ppt=None&ppn=None&ssid=z8fdfwxvb40000001747553762136,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/a/x/m/7-brazer-397bk-397gr-397gry-397rd-footup-multicolor2-original-imahf6thbs2mmxkh.jpeg?q=70,₹353,"₹1,999",82% off
EVA|Ultralightweight|Premium|Comfort|All Seasons Men Fl...,https://www.flipkart.com/bizler-men-eva-ultralightweight-premium-comfort-all-seasons-flip-flops/p/itmf17dfe827ae58?pid=SFFGSSZNFZPDXWUS&lid=LSTSFFGSSZNFZPDXWUSVVMMOP&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_2&otracker=nmenu_sub_Men_0_Flip-%20Flops1&fm=organic&iid=en_tmWflUoMM9xMyPiscztgM4K0gI--cWvlISjiSRAvjFJBGlKly1I4TDHPh-LdodtlRml25nAVQT8Ndj62y48OFw%3D%3D&ppt=None&ppn=None&ssid=z8fdfwxvb40000001747553762136,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/4/s/a/7-mens-sports-bizler-black-original-imagssznzfvav2hg.jpeg?q=70,₹157,₹799,80% off
Men Flip Flops,https://www.flipkart.com/arotek-men-flip-flops/p/itmfaaf11497582b?pid=SFFGSQKUZJZ9AH4K&lid=LSTSFFGSQKUZJZ9AH4K6BAECY&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&spotlightTagId=default_BestsellerId_osp%2Fcil%2Fe1r&srno=b_1_3&otracker=nmenu_sub_Men_0_Flip-%20Flops1&fm=organic&iid=eda51014-90aa-4d6d-a920-25b0e73650b2.SFFGSQKUZJZ9AH4K.SEARCH&ppt=None&ppn=None&ssid=z8fdfwxvb40000001747553762136,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/m/x/o/-original-imaguuzkyn4x5h4q.jpeg?q=70,₹195,₹569,65% off
Men Slippers,https://www.flipkart.com/sizeone-men-slippers/p/itm8d21bff025ecf?pid=SFFH7HPHFERMTMGN&lid=LSTSFFH7HPHFERMTMGNVERBXL&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_4&otracker=nmenu_sub_Men_0_Flip-%20Flops1&fm=organic&iid=eda51014-90aa-4d6d-a920-25b0e73650b2.SFFH7HPHFERMTMGN.SEARCH&ppt=None&ppn=None&ssid=z8fdfwxvb40000001747553762136,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-slipper-flip-flop/v/u/p/10-2sp-breza-bwn-green-bfoot-multicolor4-original-imahfmcgnp9dhcky.jpeg?q=70,₹169,₹499,66% off
Men Flip Flops,https://www.flipkart.com/footox-men-flip-flops/p/itmce710383ea7e0?pid=SFFHYHGUQJCZGXGE&lid=LSTSFFHYHGUQJCZGXGEFUWIFL&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_5&otracker=nmenu_sub_Men_0_Flip-%20Flops1&fm=organic&iid=en_tmWflUoMM9xMyPiscztgM4K0gI--cWvlISjiSRAvjFLbR8vj0EMqOw0_uYbIo9_ao1Cqo2OV3H_L9oDKviwnTA%3D%3D&ppt=None&ppn=None&ssid=z8fdfwxvb40000001747553762136,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/p/e/g/10-black-green-red-grey-fmc-11-combo-footox-black-green-red-grey-original-imahfhz3sqaaqzbz.jpeg?q=70,₹358,₹999,64% off
Footup 2 Pair Comfortable|Ultra-Light|Stylish and Trend...,https://www.flipkart.com/footup-men-2-pair-comfortable-ultra-light-stylish-trendy-flip-flops-slippers/p/itmcb42415c13b17?pid=SFFGEHYH5NX9P9SY&lid=LSTSFFGEHYH5NX9P9SYEUZ1FA&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_6&otracker=nmenu_sub_Men_0_Flip-%20Flops1&fm=organic&iid=en_tmWflUoMM9xMyPiscztgM4K0gI--cWvlISjiSRAvjFLxC-kQ49wQbDP5JL3Jil4_2kRIPUxZ4z6aUCPZQKGCHA%3D%3D&ppt=None&ppn=None&ssid=z8fdfwxvb40000001747553762136,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/2/i/r/6-ff-375bk-375mrn-footup-black-maroon-original-imahbpvvyctrh6qc.jpeg?q=70,₹234,₹675,65% off
Men Slides,https://www.flipkart.com/kapyansh-men-slides/p/itm834e28755343e?pid=SFFH7VYBTVQHHKHE&lid=LSTSFFH7VYBTVQHHKHEF4FDQF&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_7&otracker=nmenu_sub_Men_0_Flip-%20Flops1&fm=organic&iid=eda51014-90aa-4d6d-a920-25b0e73650b2.SFFH7VYBTVQHHKHE.SEARCH&ppt=None&ppn=None&ssid=z8fdfwxvb40000001747553762136,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/m/z/c/9-diamond-p-kapyansh-grey-original-imah7vy6prnxtene.jpeg?q=70,₹188,₹799,76% off
Men Slides,https://www.flipkart.com/roadster-men-slides/p/itmc83948a60e9e5?pid=SFFH9FPGYEKHGAB9&lid=LSTSFFH9FPGYEKHGAB9DBZUPF&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_8&otracker=nmenu_sub_Men_0_Flip-%20Flops1&fm=organic&iid=eda51014-90aa-4d6d-a920-25b0e73650b2.SFFH9FPGYEKHGAB9.SEARCH&ppt=None&ppn=None&ssid=z8fdfwxvb40000001747553762136,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/8/1/w/9-rdyp02-roadster-olive-original-imah9fpd8ecevmzx.jpeg?q=70,₹689,"₹2,299",70% off
Men Slides,https://www.flipkart.com/bersache-men-slides/p/itm54f6973e3872d?pid=SFFGH4ZHZZGTGVRJ&lid=LSTSFFGH4ZHZZGTGVRJTGOM4K&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_9&otracker=nmenu_sub_Men_0_Flip-%20Flops1&fm=organic&iid=eda51014-90aa-4d6d-a920-25b0e73650b2.SFFGH4ZHZZGTGVRJ.SEARCH&ppt=None&ppn=None&ssid=z8fdfwxvb40000001747553762136,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/l/2/v/9-ori-mm-1901-bersache-black-original-imah3xpfqshjz3k5.jpeg?q=70,₹233,₹448,47% off
4 Pairs|EVA|Ultralightweight|Premium|Comfort|All Season...,https://www.flipkart.com/footup-men-4-pairs-eva-ultralightweight-premium-comfort-all-seasons-flip-flops/p/itm9d3975695dd84?pid=SFFHYP5HMEHYQYGQ&lid=LSTSFFHYP5HMEHYQYGQQLUEXZ&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_10&otracker=nmenu_sub_Men_0_Flip-%20Flops1&fm=organic&iid=eda51014-90aa-4d6d-a920-25b0e73650b2.SFFHYP5HMEHYQYGQ.SEARCH&ppt=None&ppn=None&ssid=z8fdfwxvb40000001747553762136,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/8/2/e/8-p4-375grn-375gry-375beg-375blk-8-footup-green-green-grey-beige-original-imah4wf5cjxwg8zs.jpeg?q=70,₹355,"₹1,029",65% off
