Product Name,Product Link,Image URL,Price,Original Price,Discount
Men Regular Fit Solid Curved Collar Formal Shirt,https://www.flipkart.com/youth-first-men-solid-formal-maroon-shirt/p/itm791af8dfdb6d8?pid=SHTGQJD2FEUTCTTX&lid=LSTSHTGQJD2FEUTCTTX8HWKN3&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_1&otracker=browse&fm=organic&iid=en_QOgpFz_43nftxKfcvetQB7CEuJJJWuOTrWXpRDugSwTAVrQcWwqmNetBIk7J1Th9qxFOWsDEH47iIgTo_4HcKA%3D%3D&ppt=None&ppn=None&ssid=87wj2qoesg0000001747554488368,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/w/r/l/xl-maroon-formal-youthfirst-original-imah8pvqm5mphm26.jpeg?q=70,₹250,₹899,72% off
Men Regular Fit Solid Button Down Collar Formal Shirt,https://www.flipkart.com/deemoon-men-solid-formal-black-shirt/p/itm39f4de9662eb9?pid=SHTH7ECYNZHYGWXQ&lid=LSTSHTH7ECYNZHYGWXQM4MURH&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_2&otracker=browse&fm=organic&iid=en_QOgpFz_43nftxKfcvetQB7CEuJJJWuOTrWXpRDugSwRjmia-yoZSQ9oI4onTtS4nIlbUm2BdeLrxxt_CCbZFfQ%3D%3D&ppt=None&ppn=None&ssid=87wj2qoesg0000001747554488368,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/x/b/5/s-satin12-deemoon-original-imah7uyzh75tshdg.jpeg?q=70,₹448,"₹1,499",70% off
Men Regular Fit Solid Spread Collar Formal Shirt,https://www.flipkart.com/vastram-fashion-men-solid-formal-black-shirt/p/itme80364ee1c1a9?pid=SHTH7X3D8SFTMKDU&lid=LSTSHTH7X3D8SFTMKDUCAMXJV&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_4&otracker=browse&fm=organic&iid=e6eb269b-c984-46c6-b23c-95d8c4a7b108.SHTH7X3D8SFTMKDU.SEARCH&ppt=None&ppn=None&ssid=87wj2qoesg0000001747554488368,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/s/v/k/xxl-frml-st2-vebnor-original-imah89h9ayzfwpxu.jpeg?q=70,₹297,₹999,70% off
Men Regular Fit Solid Button Down Collar Formal Shirt,https://www.flipkart.com/deemoon-men-solid-formal-pink-shirt/p/itm389495269b40a?pid=SHTH7ECYTSQPGXBQ&lid=LSTSHTH7ECYTSQPGXBQYQGZYZ&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_5&otracker=browse&fm=organic&iid=en_QOgpFz_43nftxKfcvetQB7CEuJJJWuOTrWXpRDugSwRelL92wCuam7UYsHqdrRsH3EieXsujLeaFCgOqAFW4VQ%3D%3D&ppt=None&ppn=None&ssid=87wj2qoesg0000001747554488368,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/d/k/h/xxl-black-plus-pop-3-new-grasisnu-original-imah4y62ctdt9rnd.jpeg?q=70,₹433,₹999,56% off
Men Regular Fit Solid Spread Collar Formal Shirt,https://www.flipkart.com/tanip-men-solid-formal-maroon-shirt/p/itmfc1420eeeea4a?pid=SHTHF3HPHCR89G5H&lid=LSTSHTHF3HPHCR89G5HSOZ0XA&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_6&otracker=browse&fm=organic&iid=en_QOgpFz_43nftxKfcvetQB7CEuJJJWuOTrWXpRDugSwRd0jXl0RpgcWsOLmaFK7L3RmTLoyovebttDGjz3etNzg%3D%3D&ppt=None&ppn=None&ssid=87wj2qoesg0000001747554488368,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/f/w/s/l-satin11-deemoon-original-imah7ecyfgaqhegr.jpeg?q=70,₹455,"₹1,499",69% off
Men Regular Fit Printed Collarless Collar Formal Shirt,https://www.flipkart.com/shlvna-fashion-men-printed-formal-multicolor-shirt/p/itm5265615df6105?pid=SHTH7WF3Y56CFXZG&lid=LSTSHTH7WF3Y56CFXZGPAKU1O&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_8&otracker=browse&fm=organic&iid=e6eb269b-c984-46c6-b23c-95d8c4a7b108.SHTH7WF3Y56CFXZG.SEARCH&ppt=None&ppn=None&ssid=87wj2qoesg0000001747554488368,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/h/d/c/2xl-tb-shirt1673-tanip-original-imahbmz96vhxzpfu.jpeg?q=70,₹295,"₹1,399",78% off
Men Regular Fit Solid Spread Collar Formal Shirt,https://www.flipkart.com/iexira-men-solid-formal-maroon-shirt/p/itmd9ffe51d1baad?pid=SHTHCFT4MTJ4WUVV&lid=LSTSHTHCFT4MTJ4WUVVEJ8BVA&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_9&otracker=browse&fm=organic&iid=e6eb269b-c984-46c6-b23c-95d8c4a7b108.SHTHCFT4MTJ4WUVV.SEARCH&ppt=None&ppn=None&ssid=87wj2qoesg0000001747554488368,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/5/w/o/l-shirt-450-white-silver-p041-new-mayranov-original-imah6j836vhsb3rp.jpeg?q=70,₹292,₹699,58% off
Men Regular Fit Solid Formal Shirt,https://www.flipkart.com/rare-rabbit-men-solid-formal-white-shirt/p/itm748ca74ee6a9c?pid=SHTH3FE4F5MYMNQH&lid=LSTSHTH3FE4F5MYMNQHF3AMMO&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_11&otracker=browse&fm=organic&iid=en_QOgpFz_43nftxKfcvetQB7CEuJJJWuOTrWXpRDugSwTiLPX93qABLprmi6kIExINnPrO3dYxeY2Exc6nMzBTwGaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=87wj2qoesg0000001747554488368,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/r/d/r/l-kurta-multi-k-j-fashion-original-imah7uzdckcc6hzf.jpeg?q=70,₹439,"₹1,199",63% off
Men Slim Fit Solid Spread Collar Formal Shirt,https://www.flipkart.com/rare-rabbit-men-solid-formal-brown-shirt/p/itm51906c81f5e28?pid=SHTGT783FEVAFMYC&lid=LSTSHTGT783FEVAFMYCLXMMFQ&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_12&otracker=browse&fm=organic&iid=en_QOgpFz_43nftxKfcvetQB7CEuJJJWuOTrWXpRDugSwT7-6s92Gb1AZVM8v_QWLUwUJwKn2-KpQZXdYOqvs_o1q8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=87wj2qoesg0000001747554488368,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/a/p/p/s-elite-iexira-original-imahc7dpe9raxhtz.jpeg?q=70,₹299,₹599,50% off
Men Regular Fit Solid Formal Shirt,https://www.flipkart.com/reso-men-solid-formal-dark-blue-shirt/p/itm5798ed8c8f851?pid=SHTHC33K55JF5D4C&lid=LSTSHTHC33K55JF5D4CY6V3BZ&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_15&otracker=browse&fm=organic&iid=e6eb269b-c984-46c6-b23c-95d8c4a7b108.SHTHC33K55JF5D4C.SEARCH&ppt=None&ppn=None&ssid=87wj2qoesg0000001747554488368,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/3/l/x/m-frml-st25-vebnor-original-imahahazzvbygugz.jpeg?q=70,₹201,₹999,79% off
