Product Name,Product Link,Image URL,Price,Original Price,Discount
Lightweight | Comfortable | Trendy | Daily Wear | Synth...,https://www.flipkart.com/action-lightweight-comfortable-trendy-daily-wear-synthetic-leather-men/p/itm7ebb5c0628e69?pid=SHOG25NBVVBXNVRV&lid=LSTSHOG25NBVVBXNVRVQLTOEO&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_2&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=en_eq_IZQx6_yt8XbAbrgLu_ETLddtyOcumWvopee4zVTi6SBjDkOtPfIm91lCVSPr-KDbwNVZxB5I0tiRQ0_iovA%3D%3D&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/l/0/o/-original-imagsfdwsyba3msn.jpeg?q=70,₹497,"₹1,499",66% off
lace up for men Party Wear For Men,https://www.flipkart.com/stifron-lace-up-men-party-wear/p/itm36d147f79a9bb?pid=SHOH5NQF4PHUA96X&lid=LSTSHOH5NQF4PHUA96XITTPYD&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_3&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=2a217591-6403-42ae-bf13-6242cdb2bc35.SHOH5NQF4PHUA96X.SEARCH&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/knhsgi80/shoe/x/b/i/6-d-771-black-action-black-original-imag25nacfpmxbqf.jpeg?q=70,"₹1,024","₹2,699",62% off
Luxury formal shoe for men|comfort| Trending formal/lac...,https://www.flipkart.com/stifron-luxury-formal-shoe-men-comfort-trending-formal-lace-up-men-party-wear/p/itma8e5c98658159?pid=SHOHAUDHHHGY43VG&lid=LSTSHOHAUDHHHGY43VGE0HHI8&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_5&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=en_eq_IZQx6_yt8XbAbrgLu_ETLddtyOcumWvopee4zVTg-4Lj2n7V3e4MNDhVFoh0gbNhsSiOmIP2M6j-e2YLrcw%3D%3D&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/m/u/d/6-dmd-stifron-black-original-imah5nqfgcfezvhj.jpeg?q=70,₹394,"₹1,999",80% off
PU Synthetic Textured Slip On Formal Shoes Slip On For ...,https://www.flipkart.com/house-pataudi-pu-synthetic-textured-slip-formal-shoes-men/p/itm9b694bcbfba70?pid=SHOH8QFKWUJE8UXS&lid=LSTSHOH8QFKWUJE8UXSHYVXZT&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_7&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=2a217591-6403-42ae-bf13-6242cdb2bc35.SHOH8QFKWUJE8UXS.SEARCH&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/g/k/u/8-hop091-8-house-of-pataudi-black-original-imah9gpsdh7cnxqh.jpeg?q=70,"₹1,469","₹3,499",58% off
Lace Up For Men,https://www.flipkart.com/gulass-wick-lace-up-men/p/itm03229525b608a?pid=SHOHBSZGPP7KFGBG&lid=LSTSHOHBSZGPP7KFGBGYBHK0J&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_9&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=2a217591-6403-42ae-bf13-6242cdb2bc35.SHOHBSZGPP7KFGBG.SEARCH&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/2/i/t/6-a1-bk-stifron-black-original-imahajvhqmbjhczq.jpeg?q=70,₹500,"₹3,499",85% off
Corporate Casuals For Men,https://www.flipkart.com/gulass-wick-corporate-casuals-men/p/itm9e50c3306cfeb?pid=SHOH92DETYT3N5FP&lid=LSTSHOH92DETYT3N5FPXY62Y7&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_11&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=en_eq_IZQx6_yt8XbAbrgLu_ETLddtyOcumWvopee4zVTj3jwqFacE3MSRwOUmkCqeM-7neyBhjSiOwBNnpwNa10g%3D%3D&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/x/l/m/8-d-772-black-8-action-black-original-imagu9bnqaharhqa.jpeg?q=70,₹970,"₹2,699",64% off
lace up for men Party Wear For Men,https://www.flipkart.com/stifron-lace-up-men-party-wear/p/itm36d147f79a9bb?pid=SHOH5NQFFUGRWWGH&lid=LSTSHOH5NQFFUGRWWGHU0PYXY&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_12&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=en_eq_IZQx6_yt8XbAbrgLu_ETLddtyOcumWvopee4zVTiA08CdPZ9VHF1g8AHDvtaT35TYQDOIIMTbgaTGFN7Gqw%3D%3D&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/p/8/d/7-10931-7-house-of-pataudi-black-original-imah8qfkfsmwcbhn.jpeg?q=70,"₹1,438","₹3,899",63% off
Synthetic| Lightweight| Comfort| Slip On For Men,https://www.flipkart.com/jak-alis-synthetic-lightweight-comfort-slip-men/p/itm5a9d257ad613a?pid=SHOGGQKFEFZHKXEP&lid=LSTSHOGGQKFEFZHKXEPVNFZZP&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_13&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=2a217591-6403-42ae-bf13-6242cdb2bc35.SHOGGQKFEFZHKXEP.SEARCH&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/a/v/z/7-chalsi-38-rushoes-black-and-brown-original-imahcf6jkpthsaqw.jpeg?q=70,"₹1,199","₹1,899",36% off
Stylish Partywear Look Formal Shoes Lace Up For Men,https://www.flipkart.com/t-rock-stylish-partywear-look-formal-shoes-lace-up-men/p/itm6247106047475?pid=SHOFZRMCN5RURRMU&lid=LSTSHOFZRMCN5RURRMUBVKT2U&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_14&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=2a217591-6403-42ae-bf13-6242cdb2bc35.SHOFZRMCN5RURRMU.SEARCH&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/d/c/y/6-lace-up-for-men-6-gulass-wick-orange-original-imahcyr9hgnzbhhc.jpeg?q=70,₹449,₹999,55% off
Brown formal shoe for Mens Lace Up For Men,https://www.flipkart.com/restroad-brown-formal-shoe-mens-lace-up-men/p/itmcbdf88fa5120f?pid=SHOGHHZVNZZZZGRF&lid=LSTSHOGHHZVNZZZZGRF1OYSSB&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_16&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=2a217591-6403-42ae-bf13-6242cdb2bc35.SHOGHHZVNZZZZGRF.SEARCH&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/q/a/f/-original-imagunxqzzfuf9pf.jpeg?q=70,₹497,"₹1,999",75% off
Derby For Men,https://www.flipkart.com/vitoria-derby-men/p/itm3124c5f4fe570?pid=SHOFN73G34MZQNU7&lid=LSTSHOFN73G34MZQNU7TLUMA0&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_17&otracker=nmenu_sub_Men_0_Formal%20Shoes1&fm=organic&iid=en_eq_IZQx6_yt8XbAbrgLu_ETLddtyOcumWvopee4zVTg4Hub7le828mxnLbOBVh1314DigXyWMFCAaWai-0Z54A%3D%3D&ppt=None&ppn=None&ssid=6sgfu9bg1s0000001747553478439,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/m/t/d/6-ss006-40-gulass-wick-beige-original-imah92degnjhz8z5.jpeg?q=70,₹495,₹999,50% off
