Product Name,Product Link,Image URL,Price,Original Price,Discount
Men Slim Fit Black Cotton Blend Trousers,https://www.flipkart.com/pesado-slim-fit-men-black-trousers/p/itm90ae32ac542d5?pid=TROGMKA9BB737JZ3&lid=LSTTROGMKA9BB737JZ3JLEISQ&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_1&otracker=browse&fm=organic&iid=en_sR0iwBg1n8Jv9hYBZS60cOiTPWfy-4vVCzs5_QPGY5QcNb25T8E83RpXFrBLIsxBHztyhUSF7YcDotFoTED36Q%3D%3D&ppt=None&ppn=None&ssid=483xtjlv5s0000001747555112346,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/l/o/d/30-black230150-pesado-original-imahbgzqpdyxkpsg.jpeg?q=70,₹420,"₹1,299",67% off
Men Regular Fit Black Cotton Blend Trousers,https://www.flipkart.com/indiclub-regular-fit-men-black-trousers/p/itmdd1bf13cf4838?pid=TROH3S7T2DKU4ZSE&lid=LSTTROH3S7T2DKU4ZSEASIRDO&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_2&otracker=browse&fm=organic&iid=en_sR0iwBg1n8Jv9hYBZS60cOiTPWfy-4vVCzs5_QPGY5Qm9YkQo7Pqlmsbuxr5dr8LKcLgcsTXZM8RYkkG7XL6GA%3D%3D&ppt=None&ppn=None&ssid=483xtjlv5s0000001747555112346,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/s/v/r/34-pic-pt210g044-indiclub-original-imah3s5nbv6mm4ge.jpeg?q=70,₹290,"₹1,199",75% off
Men Slim Fit Grey Lycra Blend Trousers,https://www.flipkart.com/combraided-slim-fit-men-grey-trousers/p/itmc2f485cd220ed?pid=TROGQTJM8FQZKMYE&lid=LSTTROGQTJM8FQZKMYEUQOXNQ&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_3&otracker=browse&fm=organic&iid=2732bb56-249e-4f8e-93a8-55af67348bf3.TROGQTJM8FQZKMYE.SEARCH&ppt=None&ppn=None&ssid=483xtjlv5s0000001747555112346,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/v/c/n/30-bi-trouser-combraided-original-imagqtjmfxyvuhfg.jpeg?q=70,₹277,"₹1,499",81% off
Men Slim Fit Black Viscose Rayon Trousers,https://www.flipkart.com/raymond-slim-fit-men-black-trousers/p/itm5127db471695d?pid=TROGKV4ANUVAGSQF&lid=LSTTROGKV4ANUVAGSQFCWEUJF&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_7&otracker=browse&fm=organic&iid=2732bb56-249e-4f8e-93a8-55af67348bf3.TROGKV4ANUVAGSQF.SEARCH&ppt=None&ppn=None&ssid=483xtjlv5s0000001747555112346,https://rukminim2.flixcart.com/image/612/612/kmccosw0/trouser/w/5/a/40-t718-mens-tr-baleno-cream-aa-ad-av-original-imagf9qwywdhnybc.jpeg?q=70,₹417,"₹1,399",70% off
Men Regular Fit Cream Viscose Rayon Trousers,https://www.flipkart.com/fubar-regular-fit-men-cream-trousers/p/itm4f270979db055?pid=TROH3HD8WHBJPPGA&lid=LSTTROH3HD8WHBJPPGA3ZFE05&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_8&otracker=browse&fm=organic&iid=2732bb56-249e-4f8e-93a8-55af67348bf3.TROH3HD8WHBJPPGA.SEARCH&ppt=None&ppn=None&ssid=483xtjlv5s0000001747555112346,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/y/p/d/38-trs-blk-mancrew-original-imahb3qykudyzcvm.jpeg?q=70,₹469,"₹1,799",73% off
Men Slim Fit Khaki Lycra Blend Trousers,https://www.flipkart.com/combraided-slim-fit-men-khaki-trousers/p/itmb20d568c68252?pid=TROGYYTPC3T4SYWM&lid=LSTTROGYYTPC3T4SYWMJ4XKDS&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&spotlightTagId=default_BestsellerId_clo%2Fvua%2Fmle%2Flhk&srno=b_1_10&otracker=browse&fm=organic&iid=2732bb56-249e-4f8e-93a8-55af67348bf3.TROGYYTPC3T4SYWM.SEARCH&ppt=None&ppn=None&ssid=483xtjlv5s0000001747555112346,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/b/c/f/28-trs-mgn-mancrew-original-imahb3qytpkm8pkm.jpeg?q=70,₹469,"₹1,799",73% off
"Pack of 2 Men Slim Fit Black, Grey Lycra Blend Trousers",https://www.flipkart.com/achalnath-enterprises-slim-fit-men-black-grey-trousers/p/itm07b620387c7ae?pid=TROH5AGKWPVGNYJT&lid=LSTTROH5AGKWPVGNYJTLTNU1V&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_13&otracker=browse&fm=organic&iid=2732bb56-249e-4f8e-93a8-55af67348bf3.TROH5AGKWPVGNYJT.SEARCH&ppt=None&ppn=None&ssid=483xtjlv5s0000001747555112346,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/p/l/1/34-rmts04709-g8-raymond-original-imahbpra6agb2wb3.jpeg?q=70,₹999,"₹2,399",58% off
Men Slim Fit Black Lycra Blend Trousers,https://www.flipkart.com/combraided-slim-fit-men-black-trousers/p/itmfeccf4187b4e9?pid=TROGQTJMDDFSX2T4&lid=LSTTROGQTJMDDFSX2T47HJYNC&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&spotlightTagId=default_BestsellerId_clo%2Fvua%2Fmle%2Flhk&srno=b_1_14&otracker=browse&fm=organic&iid=2732bb56-249e-4f8e-93a8-55af67348bf3.TROGQTJMDDFSX2T4.SEARCH&ppt=None&ppn=None&ssid=483xtjlv5s0000001747555112346,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/7/r/n/36-kctr-prm-frml-99-crm-fubar-original-imah3hd8nawwb6dh.jpeg?q=70,₹395,"₹1,999",80% off
"Pack of 2 Men Slim Fit Black, Grey Lycra Blend Trousers",https://www.flipkart.com/rishi-traders-slim-fit-men-black-grey-trousers/p/itm97041903ef50a?pid=TROH6BF9H2FPZ7PQ&lid=LSTTROH6BF9H2FPZ7PQIMNLGT&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_16&otracker=browse&fm=organic&iid=2732bb56-249e-4f8e-93a8-55af67348bf3.TROH6BF9H2FPZ7PQ.SEARCH&ppt=None&ppn=None&ssid=483xtjlv5s0000001747555112346,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/f/0/u/36-1025-trouser-sucheh-gwalior-original-imaguqsz4vmhmght.jpeg?q=70,₹367,"₹1,499",75% off
Men Slim Fit Green Lycra Blend Trousers,https://www.flipkart.com/combraided-slim-fit-men-green-trousers/p/itm08d869c25efd8?pid=TROGQTJMVGWGGAAV&lid=LSTTROGQTJMVGWGGAAVWFN0XG&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_20&otracker=browse&fm=organic&iid=2732bb56-249e-4f8e-93a8-55af67348bf3.TROGQTJMVGWGGAAV.SEARCH&ppt=None&ppn=None&ssid=483xtjlv5s0000001747555112346,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/d/p/y/32-bi-trouser-combraided-original-imagyytzgzybuynb.jpeg?q=70,₹279,"₹1,499",81% off
