Product Name,Product Link,Image URL,Price,Original Price,Discount
Men Printed Tailored Jacket,https://www.flipkart.com/roadster-full-sleeve-printed-men-jacket/p/itm0940fdbcda08c?pid=JCKH78T9QYZH2FQU&lid=LSTJCKH78T9QYZH2FQUNICJQN&marketplace=FLIPKART&store=clo%2Fqvw%2Fz0g%2Fjbm&srno=b_1_1&otracker=browse&fm=organic&iid=en_1GBxdvoYp80Te4U4YwLR0Zdt-RZtcPKbRYojECLX2ZByF-wKCHKYMTlqL17CISn9eknsIdli32KamU_YvIrRnQ%3D%3D&ppt=None&ppn=None&ssid=nrg9hp4p4w0000001747555607580,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/o/n/b/l-1-no-29713644-roadster-original-imah66qun8yrbpkj.jpeg?q=70,₹956,"₹3,299",71% off
Men Washed Casual Jacket,https://www.flipkart.com/here-now-full-sleeve-washed-men-jacket/p/itmbeb8292058df0?pid=JCKG8NF2XS8QFZHC&lid=LSTJCKG8NF2XS8QFZHCDK2MFP&marketplace=FLIPKART&store=clo%2Fqvw%2Fz0g%2Fjbm&srno=b_1_2&otracker=browse&fm=organic&iid=en_1GBxdvoYp80Te4U4YwLR0Zdt-RZtcPKbRYojECLX2ZByBjRqtvk1YO1_1rGe0XTWlsamPx0FGlFc6Sh1hQv9pw%3D%3D&ppt=None&ppn=None&ssid=nrg9hp4p4w0000001747555607580,https://rukminim2.flixcart.com/image/612/612/kvtuxe80/jacket/r/o/d/m-no-14275346-here-now-original-imag8nyx2vzukjj9.jpeg?q=70,"₹1,403","₹3,599",61% off
Men Self Design Nehru Jacket,https://www.flipkart.com/maksud-enterprise-sleeveless-self-design-men-jacket/p/itm2fa2a852138e2?pid=JCKGZ8YEHNGU8M9W&lid=LSTJCKGZ8YEHNGU8M9WRTKLJO&marketplace=FLIPKART&store=clo%2Fqvw%2Fz0g%2Fjbm&srno=b_1_3&otracker=browse&fm=organic&iid=b6e10220-8fb8-45c6-a311-1a66ffdeb5b7.JCKGZ8YEHNGU8M9W.SEARCH&ppt=None&ppn=None&ssid=nrg9hp4p4w0000001747555607580,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/4/t/4/s-1-no-orang-tp3-maksud-enterprise-original-imah78qvkrxyuhe7.jpeg?q=70,₹470,₹999,52% off
Men Colorblock Bomber Jacket,https://www.flipkart.com/highlander-full-sleeve-colorblock-men-jacket/p/itm7b6c524760fb6?pid=JCKH2YX3BU2MRKVY&lid=LSTJCKH2YX3BU2MRKVYJK6UVK&marketplace=FLIPKART&store=clo%2Fqvw%2Fz0g%2Fjbm&srno=b_1_4&otracker=browse&fm=organic&iid=b6e10220-8fb8-45c6-a311-1a66ffdeb5b7.JCKH2YX3BU2MRKVY.SEARCH&ppt=None&ppn=None&ssid=nrg9hp4p4w0000001747555607580,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/t/d/l/xl-no-hljk001086-highlander-original-imah2yx3fxtmkmbx.jpeg?q=70,"₹1,225","₹4,899",74% off
Men Washed Denim Jacket,https://www.flipkart.com/urbano-fashion-full-sleeve-washed-men-denim-jacket/p/itm2aed10dd2347b?pid=JCKFY8SZHDKX6Z69&lid=LSTJCKFY8SZHDKX6Z69OVSXRX&marketplace=FLIPKART&store=clo%2Fqvw%2Fz0g%2Fjbm&srno=b_1_5&otracker=browse&fm=organic&iid=en_1GBxdvoYp80Te4U4YwLR0Zdt-RZtcPKbRYojECLX2ZDsk2BSnuSbMzPWDIFmeIf5cf6fJfDvLmU6p0ahoYw7jg%3D%3D&ppt=None&ppn=None&ssid=nrg9hp4p4w0000001747555607580,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/s/y/f/-original-imagyj95afhctgfh.jpeg?q=70,"₹1,199","₹2,399",50% off
Men Washed Denim Jacket,https://www.flipkart.com/urbano-fashion-full-sleeve-washed-men-denim-jacket/p/itm01fc525705cf4?pid=JCKFY8SXAFYNGYYG&lid=LSTJCKFY8SXAFYNGYYG8J1VR9&marketplace=FLIPKART&store=clo%2Fqvw%2Fz0g%2Fjbm&srno=b_1_6&otracker=browse&fm=organic&iid=en_1GBxdvoYp80Te4U4YwLR0Zdt-RZtcPKbRYojECLX2ZAlEnkNa9pgAzq04XHklQjezyUxT3ACgZkumW2ViQCBIw%3D%3D&ppt=None&ppn=None&ssid=nrg9hp4p4w0000001747555607580,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/z/u/q/s-1-no-jakt-denimball-lblue-urbano-fashion-original-imah6j9gkvhfg77f.jpeg?q=70,"₹1,199","₹2,399",50% off
Men Solid Casual Jacket,https://www.flipkart.com/gerk-full-sleeve-solid-men-jacket/p/itme005699581369?pid=JCKHC247HUVMFSNJ&lid=LSTJCKHC247HUVMFSNJKILXTH&marketplace=FLIPKART&store=clo%2Fqvw%2Fz0g%2Fjbm&srno=b_1_7&otracker=browse&fm=organic&iid=b6e10220-8fb8-45c6-a311-1a66ffdeb5b7.JCKHC247HUVMFSNJ.SEARCH&ppt=None&ppn=None&ssid=nrg9hp4p4w0000001747555607580,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/r/c/9/m-1-no-grk1berk-gerk-original-imahcyyzvhwwjxpc.jpeg?q=70,₹799,"₹1,799",55% off
"Men Self Design, Colorblock Winter Coat",https://www.flipkart.com/chaseoverin-sleeveless-self-design-colorblock-men-jacket/p/itmf25d526417775?pid=JCKHCY4JZZ83DHFE&lid=LSTJCKHCY4JZZ83DHFEATY0FI&marketplace=FLIPKART&store=clo%2Fqvw%2Fz0g%2Fjbm&srno=b_1_8&otracker=browse&fm=organic&iid=b6e10220-8fb8-45c6-a311-1a66ffdeb5b7.JCKHCY4JZZ83DHFE.SEARCH&ppt=None&ppn=None&ssid=nrg9hp4p4w0000001747555607580,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/3/g/5/l-no-23-chaseoverin-original-imahcy4jvjxkbyzw.jpeg?q=70,₹699,"₹1,299",46% off
Men Printed Casual Jacket,https://www.flipkart.com/sf-jeans-pantaloons-full-sleeve-printed-men-jacket/p/itm7a3adfb527988?pid=JCKHBPUBTD8VFBEV&lid=LSTJCKHBPUBTD8VFBEVCKMQEM&marketplace=FLIPKART&store=clo%2Fqvw%2Fz0g%2Fjbm&srno=b_1_9&otracker=browse&fm=organic&iid=b6e10220-8fb8-45c6-a311-1a66ffdeb5b7.JCKHBPUBTD8VFBEV.SEARCH&ppt=None&ppn=None&ssid=nrg9hp4p4w0000001747555607580,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/q/a/0/l-1-no-ss25masfjkt00005mood-indigo-sf-jeans-by-pantaloons-original-imahbptxsmkahyqg.jpeg?q=70,"₹1,699",,
Men Colorblock Casual Jacket,https://www.flipkart.com/motrex-full-sleeve-colorblock-men-jacket/p/itm4e806a0bcb999?pid=JCKGUHSC5YMFADTW&lid=LSTJCKGUHSC5YMFADTWE9AQ97&marketplace=FLIPKART&store=clo%2Fqvw%2Fz0g%2Fjbm&srno=b_1_10&otracker=browse&fm=organic&iid=b6e10220-8fb8-45c6-a311-1a66ffdeb5b7.JCKGUHSC5YMFADTW.SEARCH&ppt=None&ppn=None&ssid=nrg9hp4p4w0000001747555607580,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/g/j/x/s-1-no-mt4-jkt-hood-windc-gone-white-red-strip-motrex-original-imah5ghqxxxnm8kd.jpeg?q=70,₹599,"₹2,699",77% off
