Product Name,Product Link,Image URL,Price,Original Price,Discount
Men Loose Fit Mid Rise Light Blue Jeans,https://www.flipkart.com/veltick-loose-fit-men-light-blue-jeans/p/itm8155d37c7e16e?pid=JEAH8BZGTGX8CFHH&lid=LSTJEAH8BZGTGX8CFHH7J2PS3&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_1&otracker=browse&fm=organic&iid=en_UmXm6kksyak5rLdCewUF5J8J0hHPnvaCHJ0yUbmmp22AMKFl2PrBP8b6xMlffxpnYPTSqEwut3to-ex4Jy8zag%3D%3D&ppt=None&ppn=None&ssid=1o96sujmqo0000001747554939822,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/8/k/x/32-afl-baggy-light-blue-aflash-original-imah53fsvkjyuzhk.jpeg?q=70,₹479,"₹2,999",84% off
Men Regular Mid Rise Blue Jeans,https://www.flipkart.com/lzard-regular-men-blue-jeans/p/itmde1fd39a34573?pid=JEAGVVZJ6P6GXZZA&lid=LSTJEAGVVZJ6P6GXZZAWMISXX&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_2&otracker=browse&fm=organic&iid=en_UmXm6kksyak5rLdCewUF5J8J0hHPnvaCHJ0yUbmmp22yB1Ty1dp7yAQAY1Mjj5qVZO6brJOrMSL6ZktDwkTNGg%3D%3D&ppt=None&ppn=None&ssid=1o96sujmqo0000001747554939822,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/c/g/z/42-ljmpv005-lzard-original-imah8xka8y9awawx.jpeg?q=70,₹417,"₹2,299",81% off
Men Loose Fit Mid Rise Black Jeans,https://www.flipkart.com/zaba-denim-loose-fit-men-black-jeans/p/itm2287526ceb6cf?pid=JEAH73VGCTFHXNRX&lid=LSTJEAH73VGCTFHXNRXZFLAGT&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&spotlightTagId=default_BestsellerId_clo%2Fvua%2Fk58%2Fi51&srno=b_1_3&otracker=browse&fm=organic&iid=556fbe08-e263-44eb-870d-b421244e8e67.JEAH73VGCTFHXNRX.SEARCH&ppt=None&ppn=None&ssid=1o96sujmqo0000001747554939822,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/c/u/k/34-nse-2-snaave-original-imah7jdcnnu3s59n.jpeg?q=70,₹385,"₹1,999",80% off
Men Boot-Leg Mid Rise Blue Jeans,https://www.flipkart.com/glitchez-boot-leg-men-blue-jeans/p/itmb5b78ecd3e742?pid=JEAHBZZMJPHANGYW&lid=LSTJEAHBZZMJPHANGYW6ZGYQ5&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_4&otracker=browse&fm=organic&iid=556fbe08-e263-44eb-870d-b421244e8e67.JEAHBZZMJPHANGYW.SEARCH&ppt=None&ppn=None&ssid=1o96sujmqo0000001747554939822,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/b/n/m/36-31366117-glitchez-original-imahbzza2fuzhdwr.jpeg?q=70,₹725,"₹2,199",67% off
Men Slim Mid Rise Black Jeans,https://www.flipkart.com/urbano-fashion-slim-men-black-jeans/p/itmf3vzvepvpz8by?pid=JEAEP6TYKFQYYUFG&lid=LSTJEAEP6TYKFQYYUFGULTBIW&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_5&otracker=browse&fm=organic&iid=en_UmXm6kksyak5rLdCewUF5J8J0hHPnvaCHJ0yUbmmp21cqMqCkPutkY5n6D-KWV9H6cvFVLcdS0HR6uxER_oia04IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=1o96sujmqo0000001747554939822,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/8/v/f/32-eps-black-03-urbano-fashion-original-imah22ffbz2v4uht.jpeg?q=70,₹548,"₹1,199",54% off
"Men Slim Mid Rise Dark Green, Blue Jeans",https://www.flipkart.com/metronaut-slim-men-dark-green-blue-jeans/p/itm84d4bf9038458?pid=JEAHYGJCG6CBCX4S&lid=LSTJEAHYGJCG6CBCX4SNEUKL4&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_6&otracker=browse&fm=organic&iid=en_UmXm6kksyak5rLdCewUF5J8J0hHPnvaCHJ0yUbmmp22yd2O1oSxFn7A7DTTc_P8XX_0iCmWgNg72XIG6bH_jTw%3D%3D&ppt=None&ppn=None&ssid=1o96sujmqo0000001747554939822,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/z/r/z/40-mtba005-metronaut-original-imahygja47puqxsw.jpeg?q=70,₹399,"₹1,999",80% off
Men Tapered Fit Mid Rise Light Blue Jeans,https://www.flipkart.com/highlander-tapered-fit-men-light-blue-jeans/p/itmb9553f290fcfd?pid=JEAFHQHMZ2YCWVMN&lid=LSTJEAFHQHMZ2YCWVMNBDV8AZ&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_7&otracker=browse&fm=organic&iid=556fbe08-e263-44eb-870d-b421244e8e67.JEAFHQHMZ2YCWVMN.SEARCH&ppt=None&ppn=None&ssid=1o96sujmqo0000001747554939822,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/v/i/p/34-hljn001083-highlander-original-imafw2g5a5qa4xmg-bb.jpeg?q=70,"₹1,044","₹1,899",45% off
Men Regular Mid Rise White Jeans,https://www.flipkart.com/glitchez-regular-men-white-jeans/p/itmae86f49da0810?pid=JEAHBZZHZBYCVNHY&lid=LSTJEAHBZZHZBYCVNHYM4T2H1&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_8&otracker=browse&fm=organic&iid=556fbe08-e263-44eb-870d-b421244e8e67.JEAHBZZHZBYCVNHY.SEARCH&ppt=None&ppn=None&ssid=1o96sujmqo0000001747554939822,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/h/x/d/32-31422891-glitchez-original-imahbzzhrf65e2kh.jpeg?q=70,₹584,"₹1,499",61% off
Men Straight Fit Mid Rise Blue Jeans,https://www.flipkart.com/glitchez-straight-fit-men-blue-jeans/p/itmaa4cce7efcfde?pid=JEAHBZZZFNEMMAWG&lid=LSTJEAHBZZZFNEMMAWGY5QNCM&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_9&otracker=browse&fm=organic&iid=556fbe08-e263-44eb-870d-b421244e8e67.JEAHBZZZFNEMMAWG.SEARCH&ppt=None&ppn=None&ssid=1o96sujmqo0000001747554939822,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/i/x/s/28-31366097-glitchez-original-imahbzzcepemqww4.jpeg?q=70,₹637,"₹2,199",71% off
Men Regular Mid Rise Dark Blue Jeans,https://www.flipkart.com/lzard-regular-men-dark-blue-jeans/p/itmdd82030b26cd3?pid=JEAGVVZJXHRRZAUQ&lid=LSTJEAGVVZJXHRRZAUQ4LX1SU&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_10&otracker=browse&fm=organic&iid=556fbe08-e263-44eb-870d-b421244e8e67.JEAGVVZJXHRRZAUQ.SEARCH&ppt=None&ppn=None&ssid=1o96sujmqo0000001747554939822,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/o/e/o/40-ljmpv005-lzard-original-imah92f6p2xq5gzk.jpeg?q=70,₹416,"₹2,299",81% off
