Product Name,Product Link,Image URL,Price,Original Price,Discount
Men Casual Sandal,https://www.flipkart.com/amico-men-casual/p/itm9a80a39834681?pid=SNDHF4SGRSPVJATG&lid=LSTSNDHF4SGRSPVJATGABALNO&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_1&otracker=nmenu_sub_Men_0_Sandals%20%26%20Floaters1&fm=organic&iid=en_NagL6UU0aFAw6uHpUFf9zyyPeq4KoU73Dlu_HBNYK5qrue2J07aoCHR_OaJf5hm425MDa2vF_22Ds22rVZiicg%3D%3D&ppt=None&ppn=None&ssid=asoed5iy6o0000001747553602498,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/y/p/o/12-sl26-sl28-46-amico-brown-original-imahf4sgrj6xmjwz.jpeg?q=70,₹435,"₹1,499",70% off
Men Clogs Sandal,https://www.flipkart.com/hotstyle-men-clogs/p/itm21f9cf3bb0b36?pid=SNDGYBMF5AEZF9VZ&lid=LSTSNDGYBMF5AEZF9VZZQODKN&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_2&otracker=nmenu_sub_Men_0_Sandals%20%26%20Floaters1&fm=organic&iid=en_NagL6UU0aFAw6uHpUFf9zyyPeq4KoU73Dlu_HBNYK5olHStfRvWkL6hcK2PnSecjV6GieaSsQ4dqwPUrlWl4bg%3D%3D&ppt=None&ppn=None&ssid=asoed5iy6o0000001747553602498,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/k/3/q/6-all-shark-6-hotstyle-grey-original-imahyzxdvyuy5x2q.jpeg?q=70,₹203,₹499,59% off
Men Nexa Men's Sandals| Comfortable | Extra Soft Slide|...,https://www.flipkart.com/koburg-nexa-men-s-sandals-comfortable-extra-soft-slide-lightweight-eva-sole-kf-464-men-sandals/p/itm4a3e76694b5dd?pid=SNDH5Z8E7KWFJ9QT&lid=LSTSNDH5Z8E7KWFJ9QT4GGZJN&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_3&otracker=nmenu_sub_Men_0_Sandals%20%26%20Floaters1&fm=organic&iid=69cf65fb-cc13-447e-89f0-20421f83f4de.SNDH5Z8E7KWFJ9QT.SEARCH&ppt=None&ppn=None&ssid=asoed5iy6o0000001747553602498,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/j/x/o/9-kf0464g-9-koburg-grey-original-imahbv7he5gbxrhq.jpeg?q=70,₹499,"₹1,744",71% off
Men Clogs Sandal,https://www.flipkart.com/hrx-hrithik-roshan-men-clogs/p/itmc2de81b081add?pid=SNDH5YYFR2RXWZEY&lid=LSTSNDH5YYFR2RXWZEYOMKK1O&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_4&otracker=nmenu_sub_Men_0_Sandals%20%26%20Floaters1&fm=organic&iid=69cf65fb-cc13-447e-89f0-20421f83f4de.SNDH5YYFR2RXWZEY.SEARCH&ppt=None&ppn=None&ssid=asoed5iy6o0000001747553602498,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/u/w/1/10-vs24hrxcr1017a-44-hrx-by-hrithik-roshan-white-olive-original-imah5yyfaag6e8wt.jpeg?q=70,₹849,"₹4,499",81% off
Men Sandal,https://www.flipkart.com/tr-men-sandals/p/itmc4b4b302e3ec6?pid=SNDH9JY7HCVP9EGX&lid=LSTSNDH9JY7HCVP9EGXQWUJCP&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_5&otracker=nmenu_sub_Men_0_Sandals%20%26%20Floaters1&fm=organic&iid=en_NagL6UU0aFAw6uHpUFf9zyyPeq4KoU73Dlu_HBNYK5pXXYo8LzwyPKu9PmATRe3nlJo89qya-qt1gDI-5c9gdA%3D%3D&ppt=None&ppn=None&ssid=asoed5iy6o0000001747553602498,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/o/y/z/8-626-tr-brown-original-imah9jy7nz2qzfc2.jpeg?q=70,₹414,"₹1,499",72% off
Men Sandal,https://www.flipkart.com/nobelite-men-sandals/p/itm134c230d86cd4?pid=SNDH2X8YE5XZQ7YZ&lid=LSTSNDH2X8YE5XZQ7YZWGEGYJ&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_6&otracker=nmenu_sub_Men_0_Sandals%20%26%20Floaters1&fm=organic&iid=en_NagL6UU0aFAw6uHpUFf9zyyPeq4KoU73Dlu_HBNYK5qads_UCSfWWE2f3y0hFNzetMhOraY0bkbZph3MgDcF_g%3D%3D&ppt=None&ppn=None&ssid=asoed5iy6o0000001747553602498,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/j/p/b/6-gents-11218-6-nobelite-brown6-original-imahah3nghzgkgke.jpeg?q=70,₹217,₹999,78% off
Men Casual Sandal,https://www.flipkart.com/mochites-men-casual/p/itmc6dd66906e3d4?pid=SNDH9CFHUPN9KMDU&lid=LSTSNDH9CFHUPN9KMDUBD1UMM&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_7&otracker=nmenu_sub_Men_0_Sandals%20%26%20Floaters1&fm=organic&iid=69cf65fb-cc13-447e-89f0-20421f83f4de.SNDH9CFHUPN9KMDU.SEARCH&ppt=None&ppn=None&ssid=asoed5iy6o0000001747553602498,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/l/j/8/9-slp-royal-shoe-island-tan-original-imah6taaevhfzvdz.jpeg?q=70,₹276,₹999,72% off
Men Sandal,https://www.flipkart.com/john-karsun-men-sandals/p/itme6737acd7f0a2?pid=SNDH7GGFMSSZFUGR&lid=LSTSNDH7GGFMSSZFUGRLZXK0C&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_8&otracker=nmenu_sub_Men_0_Sandals%20%26%20Floaters1&fm=organic&iid=69cf65fb-cc13-447e-89f0-20421f83f4de.SNDH7GGFMSSZFUGR.SEARCH&ppt=None&ppn=None&ssid=asoed5iy6o0000001747553602498,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/5/3/8/8-512-8-john-karsun-brown-original-imaha7dgavs6fuwy.jpeg?q=70,₹699,"₹2,999",76% off
Men Clogs Sandal,https://www.flipkart.com/asian-men-clogs/p/itme0aaa80fed012?pid=SNDH9HBF7VJMFKN5&lid=LSTSNDH9HBF7VJMFKN5KELMAX&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_9&otracker=nmenu_sub_Men_0_Sandals%20%26%20Floaters1&fm=organic&iid=69cf65fb-cc13-447e-89f0-20421f83f4de.SNDH9HBF7VJMFKN5.SEARCH&ppt=None&ppn=None&ssid=asoed5iy6o0000001747553602498,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/t/q/h/10-agc-21-10-asian-off-white-original-imah9pfvrezcgrzq.jpeg?q=70,₹642,₹899,28% off
Men Sandal,https://www.flipkart.com/ajanta-men-sandals/p/itm01ec025504607?pid=SNDGHCRMFHZRSZBN&lid=LSTSNDGHCRMFHZRSZBNSUVVLM&marketplace=FLIPKART&store=osp%2Fcil%2Fe83&srno=b_1_10&otracker=nmenu_sub_Men_0_Sandals%20%26%20Floaters1&fm=organic&iid=69cf65fb-cc13-447e-89f0-20421f83f4de.SNDGHCRMFHZRSZBN.SEARCH&ppt=None&ppn=None&ssid=asoed5iy6o0000001747553602498,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/6/r/m/7-pg0456-7-7-ajanta-brown-original-imahbzpehwycbkhx.jpeg?q=70,₹279,₹849,67% off
