Product Name,Product Link,Image URL,Price,Original Price,Discount
FAST Trendy Running Shoes For Men,https://www.flipkart.com/hotstyle-fast-trendy-running-shoes-men/p/itm9a4cb4392a5e4?pid=SHOGKPPGWX6M95ZW&lid=LSTSHOGKPPGWX6M95ZWMOSYFY&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_1&otracker=nmenu_sub_Men_0_Sports%20Shoes1&fm=organic&iid=en_JmHjAGfD4R0oQLa6LixrleCIZUmEfxXlBPJFQpL-pvrxwnGyo4-N2aNG18SLM6BYyMDo0NMvw9a-zw0_9vBT_A%3D%3D&ppt=None&ppn=None&ssid=v7n4ud3ig00000001747553131303,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/r/m/9/-original-imahbwg7kjzuzvyj.jpeg?q=70,₹320,"₹1,499",78% off
Trendy & Stylish Running Shoes For Men,https://www.flipkart.com/hotstyle-trendy-stylish-running-shoes-men/p/itme5c8648cc74c4?pid=SHOG483UHWHEGSE7&lid=LSTSHOG483UHWHEGSE7LOLQHU&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_2&otracker=nmenu_sub_Men_0_Sports%20Shoes1&fm=organic&iid=en_JmHjAGfD4R0oQLa6LixrleCIZUmEfxXlBPJFQpL-pvpzz-6-BGz2ZipBkSule7tXWdvDBeCP9AGr5jkynKRNRA%3D%3D&ppt=None&ppn=None&ssid=v7n4ud3ig00000001747553131303,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/d/s/v/-original-imagx7mjfzxmmg4c.jpeg?q=70,₹281,₹999,71% off
Running Shoes For Men,https://www.flipkart.com/amico-running-shoes-men/p/itma5a61a30366b5?pid=SHOGSYSEG7BPZECH&lid=LSTSHOGSYSEG7BPZECHMRHU3H&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_5&otracker=nmenu_sub_Men_0_Sports%20Shoes1&fm=organic&iid=9356bcf1-c80b-45c6-bdf2-44d83a087588.SHOGSYSEG7BPZECH.SEARCH&ppt=None&ppn=None&ssid=v7n4ud3ig00000001747553131303,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/y/e/q/6-rng-eva-870-white-6-bruton-white-original-imahbda6g4zhdycv.jpeg?q=70,₹492,"₹2,499",80% off
Training & Gym Shoes For Men,https://www.flipkart.com/amico-training-gym-shoes-men/p/itm4165d5d791eb5?pid=SHOGYRDAZZRHCEUF&lid=LSTSHOGYRDAZZRHCEUFTHBOFI&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_8&otracker=nmenu_sub_Men_0_Sports%20Shoes1&fm=organic&iid=en_JmHjAGfD4R0oQLa6LixrleCIZUmEfxXlBPJFQpL-pvpYVOb-0AHvodU2qjIEmmbmQ8nw8yaY3yG5soPRlN20JA%3D%3D&ppt=None&ppn=None&ssid=v7n4ud3ig00000001747553131303,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/n/v/u/7-jimmy-white-7-clymb-white-original-imah2gascgg6pkva.jpeg?q=70,₹498,₹999,50% off
Comfy Hi-Top Casual Chunky Streetwear Fashion Sneakers ...,https://www.flipkart.com/bacca-bucci-comfy-hi-top-casual-chunky-streetwear-fashion-sneakers-ankle-quilted-designed-walking-shoes-men/p/itm6b14a31f1e499?pid=SHOGHJDEFN47EY3S&lid=LSTSHOGHJDEFN47EY3SSANBLT&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_9&otracker=nmenu_sub_Men_0_Sports%20Shoes1&fm=organic&iid=9356bcf1-c80b-45c6-bdf2-44d83a087588.SHOGHJDEFN47EY3S.SEARCH&ppt=None&ppn=None&ssid=v7n4ud3ig00000001747553131303,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/c/f/h/9-c245-248-43-amico-white-pink-original-imagsysettsm7qvd.jpeg?q=70,₹495,"₹2,499",80% off
Yorker 2.0 Cricket Shoes For Men,https://www.flipkart.com/nivia-yorker-2-0-cricket-shoes-men/p/itmeac3c7333b949?pid=SHOH92AMEABX5XGY&lid=LSTSHOH92AMEABX5XGYJKTLKX&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_10&otracker=nmenu_sub_Men_0_Sports%20Shoes1&fm=organic&iid=9356bcf1-c80b-45c6-bdf2-44d83a087588.SHOH92AMEABX5XGY.SEARCH&ppt=None&ppn=None&ssid=v7n4ud3ig00000001747553131303,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/1/t/7/-original-imah9qx7dazwdhwz.jpeg?q=70,"₹2,299",,
formal shoes for men|black formal shoes with lace For M...,https://www.flipkart.com/vechlo-formal-shoes-men-black-lace-men/p/itm018e43b35b21a?pid=SHOH4ZKMZ2AJX8YF&lid=LSTSHOH4ZKMZ2AJX8YFVK9BKD&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_13&otracker=nmenu_sub_Men_0_Sports%20Shoes1&fm=organic&iid=9356bcf1-c80b-45c6-bdf2-44d83a087588.SHOH4ZKMZ2AJX8YF.SEARCH&ppt=None&ppn=None&ssid=v7n4ud3ig00000001747553131303,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/o/5/m/7-atg-496-7-action-white-original-imahbbgpzv2ujvzm.jpeg?q=70,"₹1,118","₹2,799",60% off
Casual Sneakers White Outdoor Shoes For Boys And Men Sn...,https://www.flipkart.com/k-footlance-casual-sneakers-white-outdoor-shoes-boys-men/p/itma66b708fe82c8?pid=SHOGHYZS8DNSXMHA&lid=LSTSHOGHYZS8DNSXMHAWEPQCB&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_15&otracker=nmenu_sub_Men_0_Sports%20Shoes1&fm=organic&iid=9356bcf1-c80b-45c6-bdf2-44d83a087588.SHOGHYZS8DNSXMHA.SEARCH&ppt=None&ppn=None&ssid=v7n4ud3ig00000001747553131303,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/o/1/s/9-c263-c262-c261-9-amico-black-original-imagyrd94wydn4zb.jpeg?q=70,₹495,"₹2,499",80% off
Pro Cricket High-performance Speedbase lightweight Athl...,https://www.flipkart.com/destony-pro-cricket-high-performance-speedbase-lightweight-athlete-shoe-shoes-men/p/itme92f67220477f?pid=SHOGHGQUMZXFE8TG&lid=LSTSHOGHGQUMZXFE8TGXUH2IK&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_16&otracker=nmenu_sub_Men_0_Sports%20Shoes1&fm=organic&iid=9356bcf1-c80b-45c6-bdf2-44d83a087588.SHOGHGQUMZXFE8TG.SEARCH&ppt=None&ppn=None&ssid=v7n4ud3ig00000001747553131303,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/n/4/n/6-bbmh9036-6-bacca-bucci-white-grey-original-imah3bfvughbf6fd.jpeg?q=70,"₹1,799","₹3,499",48% off
Water Sport Shoes For Men,https://www.flipkart.com/yzy-water-sport-shoes-men/p/itm69546f12a1bd8?pid=SHOGQ7MAG2CE5T7K&lid=LSTSHOGQ7MAG2CE5T7KL9CLWW&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_19&otracker=nmenu_sub_Men_0_Sports%20Shoes1&fm=organic&iid=9356bcf1-c80b-45c6-bdf2-44d83a087588.SHOGQ7MAG2CE5T7K.SEARCH&ppt=None&ppn=None&ssid=v7n4ud3ig00000001747553131303,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/x/v/z/2-cr-5950bl-2-nivia-blue-lime-green-original-imah95fk6fmphw2h.jpeg?q=70,"₹1,389","₹1,399",
