Product Name,Product Link,Image URL,Price,Original Price,Discount
UV Protection Aviator Sunglasses (Free Size),https://www.flipkart.com/piraso-aviator-sunglasses/p/itme10cb1c3329df?pid=SGLFZGE6GMSXZGRP&lid=LSTSGLFZGE6GMSXZGRPN2FYWJ&marketplace=FLIPKART&store=26x&srno=b_1_2&otracker=nmenu_sub_Men_0_Sunglasses&fm=organic&iid=en_TUpx76LfK1scrTHDdx0waQLdGcuou1R31nIT_994Q52h0ViFf83JliVNSza-UHRcSHBL9IgHVuzrTBUsBEhFkA%3D%3D&ppt=None&ppn=None&ssid=kowc6jgb340000001747556522980,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/a/t/6/52-2038mg3051-voyage-original-imahb2bhf6npgqzr.jpeg?q=70,₹697,"₹1,800",61% off
Polarized Aviator Sunglasses (Free Size),https://www.flipkart.com/zadinga-aviator-sunglasses/p/itme436e3643818e?pid=SGLGWKGHTQGWHCP2&lid=LSTSGLGWKGHTQGWHCP235KAJ8&marketplace=FLIPKART&store=26x&srno=b_1_5&otracker=nmenu_sub_Men_0_Sunglasses&fm=organic&iid=3857c21e-ec8c-4a28-9427-e42deb8456c1.SGLGWKGHTQGWHCP2.SEARCH&ppt=None&ppn=None&ssid=kowc6jgb340000001747556522980,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/g/i/l/m-3026-gold-black-b-piraso-original-imah8acaunve3vke.jpeg?q=70,₹323,"₹1,599",79% off
Polarized Aviator Sunglasses (Free Size),https://www.flipkart.com/zadinga-aviator-sunglasses/p/itm2edb1ac6456ce?pid=SGLGWKGH2YN9R4DP&lid=LSTSGLGWKGH2YN9R4DPICEH7K&marketplace=FLIPKART&store=26x&srno=b_1_7&otracker=nmenu_sub_Men_0_Sunglasses&fm=organic&iid=3857c21e-ec8c-4a28-9427-e42deb8456c1.SGLGWKGH2YN9R4DP.SEARCH&ppt=None&ppn=None&ssid=kowc6jgb340000001747556522980,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/7/h/4/free-size-folding-trending-usjones-original-imahftggwyn95pdm.jpeg?q=70,₹185,"₹1,699",89% off
UV Protection Rectangular Sunglasses (Free Size),https://www.flipkart.com/youth-club-rectangular-sunglasses/p/itm7493d6c9a1afa?pid=SGLGPBYC4MUXEWG9&lid=LSTSGLGPBYC4MUXEWG9NOI9X5&marketplace=FLIPKART&store=26x&spotlightTagId=default_BestsellerId_26x&srno=b_1_9&otracker=nmenu_sub_Men_0_Sunglasses&fm=organic&iid=3857c21e-ec8c-4a28-9427-e42deb8456c1.SGLGPBYC4MUXEWG9.SEARCH&ppt=None&ppn=None&ssid=kowc6jgb340000001747556522980,https://rukminim2.flixcart.com/image/612/612/kpu3frk0/sunglass/f/y/p/l-as-3026-5-12748-aislin-original-imag3zdzzun3br5w.jpeg?q=70,₹862,"₹3,699",76% off
"Riding Glasses, UV Protection, Photochromatic Lens, Tou...",https://www.flipkart.com/eymen-spectacle-retro-square-sunglasses/p/itm89b2ab1347074?pid=SGLGHGJDQNWYHUQX&lid=LSTSGLGHGJDQNWYHUQX6J8KKB&marketplace=FLIPKART&store=26x&srno=b_1_13&otracker=nmenu_sub_Men_0_Sunglasses&fm=organic&iid=3857c21e-ec8c-4a28-9427-e42deb8456c1.SGLGHGJDQNWYHUQX.SEARCH&ppt=None&ppn=None&ssid=kowc6jgb340000001747556522980,https://rukminim2.flixcart.com/image/612/612/kx6fwcw0/sunglass/i/9/2/goggles-mens-hrs142-ea-56-redleaf-original-imag9p8qy69asmh5.jpeg?q=70,₹198,₹999,80% off
Polarized Aviator Sunglasses (Free Size),https://www.flipkart.com/zadinga-aviator-sunglasses/p/itmfgekhftkpp6dy?pid=SGLGWKGHH3Y8W8ZE&lid=LSTSGLGWKGHH3Y8W8ZELUCQF1&marketplace=FLIPKART&store=26x&srno=b_1_14&otracker=nmenu_sub_Men_0_Sunglasses&fm=organic&iid=3857c21e-ec8c-4a28-9427-e42deb8456c1.SGLGWKGHH3Y8W8ZE.SEARCH&ppt=None&ppn=None&ssid=kowc6jgb340000001747556522980,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/w/f/d/-original-imahbwh9e6fhbukw.jpeg?q=70,"₹1,645","₹2,350",30% off
"UV Protection, Polarized Wayfarer, Sports, Spectacle , ...",https://www.flipkart.com/zienz-wayfarer-sports-spectacle-retro-square-oval-sunglasses/p/itm4ff9a12adc66c?pid=SGLH2JYSNWZXDZC5&lid=LSTSGLH2JYSNWZXDZC5WIVADW&marketplace=FLIPKART&store=26x&srno=b_1_16&otracker=nmenu_sub_Men_0_Sunglasses&fm=organic&iid=3857c21e-ec8c-4a28-9427-e42deb8456c1.SGLH2JYSNWZXDZC5.SEARCH&ppt=None&ppn=None&ssid=kowc6jgb340000001747556522980,https://rukminim2.flixcart.com/image/612/612/kx6fwcw0/sunglass/q/w/i/stylish-sunglasses-hrs142-bb-55-redleaf-original-imag9p8qzd6fbyas.jpeg?q=70,₹198,₹999,80% off
Mirrored Wayfarer Sunglasses (50),https://www.flipkart.com/singco-india-wayfarer-sunglasses/p/itma9e748242848d?pid=SGLGEQY5KRH4A9WR&lid=LSTSGLGEQY5KRH4A9WR5POREI&marketplace=FLIPKART&store=26x&srno=b_1_21&otracker=nmenu_sub_Men_0_Sunglasses&fm=organic&iid=en_TUpx76LfK1scrTHDdx0waQLdGcuou1R31nIT_994Q50ysq4V8O8P-H3PcCfSI8u64LW8urESGZcz_beZgQW-Mg%3D%3D&ppt=None&ppn=None&ssid=kowc6jgb340000001747556522980,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/d/i/g/l-229560-vincent-chase-original-imahbngwyrzenzez.jpeg?q=70,"₹1,499","₹1,999",25% off
UV Protection Rectangular Sunglasses (59),https://www.flipkart.com/idee-rectangular-sunglasses/p/itmc26c2d2b507da?pid=SGLG6ZYYDKGHVBZP&lid=LSTSGLG6ZYYDKGHVBZPHJZOM5&marketplace=FLIPKART&store=26x&srno=b_1_22&otracker=nmenu_sub_Men_0_Sunglasses&fm=organic&iid=en_TUpx76LfK1scrTHDdx0waQLdGcuou1R31nIT_994Q51lNYwUjQo-REQOZNVbD-chAGzxXnYG1a2xaNB99I6ltjaXAI15xQIPam6Hsx54Dy4%3D&ppt=None&ppn=None&ssid=kowc6jgb340000001747556522980,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/v/5/l/small-44-47-medium-48-52-large-53-58-free-size-55-mm-sgl-tg-original-imahacwztj7qrbek.jpeg?q=70,₹186,"₹1,799",89% off
UV Protection Wrap-around Sunglasses (Free Size),https://www.flipkart.com/roadway-wrap-around-sunglasses/p/itm03a2f895d51ff?pid=SGLHF27ZCFHFMWPB&lid=LSTSGLHF27ZCFHFMWPBEI1OUY&marketplace=FLIPKART&store=26x&srno=b_1_24&otracker=nmenu_sub_Men_0_Sunglasses&fm=organic&iid=3857c21e-ec8c-4a28-9427-e42deb8456c1.SGLHF27ZCFHFMWPB.SEARCH&ppt=None&ppn=None&ssid=kowc6jgb340000001747556522980,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/b/q/g/medium-esqr-05-elligator-original-imah4rrgf8f6azxw.jpeg?q=70,₹189,₹999,81% off
