Product Name,Product Link,Image URL,Price,Original Price,Discount
Men Full Sleeve Solid Hooded Sweatshirt,https://www.flipkart.com/being-wanted-full-sleeve-solid-men-sweatshirt/p/itm90df326937059?pid=SWSGSPEEXGWYFMQS&lid=LSTSWSGSPEEXGWYFMQSLSYJ7U&marketplace=FLIPKART&store=clo%2Fqvw%2F64a%2Fvui&srno=b_1_1&otracker=browse&fm=organic&iid=en_35O_n74ib0-tAlN4t8sKIC_gf0dF2DhGXy8pKERKN4BU4KfG25TbSLr9wRmYXNOnjzs2jONKGYH_GcJDXBDcfw%3D%3D&ppt=None&ppn=None&ssid=ol83ghfk680000001747555476516,https://rukminim2.flixcart.com/image/612/612/xif0q/sweatshirt/a/d/n/xl-men-hd-sweatshirt-white-being-wanted-original-imagspedhfqchzcw.jpeg?q=70,₹473,"₹1,249",62% off
Men Full Sleeve Solid Reversible Hooded Sweatshirt,https://www.flipkart.com/houseofcommon-full-sleeve-solid-men-reversible-sweatshirt/p/itmbfd342403e2c3?pid=SWSH5VTBCHYDFBSV&lid=LSTSWSH5VTBCHYDFBSVQQINAH&marketplace=FLIPKART&store=clo%2Fqvw%2F64a%2Fvui&srno=b_1_2&otracker=browse&fm=organic&iid=en_35O_n74ib0-tAlN4t8sKIC_gf0dF2DhGXy8pKERKN4AYqFQl4geevgLFKryyMrangp8B5RzPmybZJefVfDVrJA%3D%3D&ppt=None&ppn=None&ssid=ol83ghfk680000001747555476516,https://rukminim2.flixcart.com/image/612/612/xif0q/sweatshirt/c/s/h/s-new-green-tshirt-no-15-s-houseofcommon-original-imah5vtbyzfxdtnh.jpeg?q=70,₹288,₹899,67% off
Men Full Sleeve Printed Sweatshirt,https://www.flipkart.com/zenfit-full-sleeve-printed-men-sweatshirt/p/itm13ee1df369762?pid=SWSH8RMHGPMGNCSS&lid=LSTSWSH8RMHGPMGNCSSSGAJHA&marketplace=FLIPKART&store=clo%2Fqvw%2F64a%2Fvui&srno=b_1_3&otracker=browse&fm=organic&iid=3b0184a7-4043-4903-9643-1ae446a228af.SWSH8RMHGPMGNCSS.SEARCH&ppt=None&ppn=None&ssid=ol83ghfk680000001747555476516,https://rukminim2.flixcart.com/image/612/612/xif0q/sweatshirt/a/b/w/s-blckly-black-zenfit-original-imah8r7eg4hqugyd.jpeg?q=70,₹401,"₹1,299",69% off
Men Full Sleeve Printed Sweatshirt,https://www.flipkart.com/triptee-full-sleeve-printed-men-sweatshirt/p/itmce92db8b15aaf?pid=SWSH59KRFASBYTDK&lid=LSTSWSH59KRFASBYTDK6BCR2X&marketplace=FLIPKART&store=clo%2Fqvw%2F64a%2Fvui&srno=b_1_4&otracker=browse&fm=organic&iid=3b0184a7-4043-4903-9643-1ae446a228af.SWSH59KRFASBYTDK.SEARCH&ppt=None&ppn=None&ssid=ol83ghfk680000001747555476516,https://rukminim2.flixcart.com/image/612/612/xif0q/sweatshirt/4/t/k/s-6004-triptee-original-imah2h4gjptnf7b6.jpeg?q=70,₹492,"₹1,999",75% off
Men Full Sleeve Ombre Reversible Sweatshirt,https://www.flipkart.com/here-now-full-sleeve-ombre-men-reversible-sweatshirt/p/itm2802c7d0e05f3?pid=SWSGSRVSBGHEHJGA&lid=LSTSWSGSRVSBGHEHJGAWZO0BX&marketplace=FLIPKART&store=clo%2Fqvw%2F64a%2Fvui&srno=b_1_5&otracker=browse&fm=organic&iid=en_35O_n74ib0-tAlN4t8sKIC_gf0dF2DhGXy8pKERKN4Dnxg5y9I5LK2NNnOEaNyNjngK8BNfesVTTp4oaMbkHSA%3D%3D&ppt=None&ppn=None&ssid=ol83ghfk680000001747555476516,https://rukminim2.flixcart.com/image/612/612/xif0q/sweatshirt/e/o/x/-original-imagsts3cfnapbvy.jpeg?q=70,₹519,"₹1,999",74% off
Men Full Sleeve Solid Hooded Sweatshirt,https://www.flipkart.com/greenflair-full-sleeve-solid-men-sweatshirt/p/itm6c60b1e575614?pid=SWSGK5PF2PAYGNSK&lid=LSTSWSGK5PF2PAYGNSKPJJBGP&marketplace=FLIPKART&store=clo%2Fqvw%2F64a%2Fvui&srno=b_1_6&otracker=browse&fm=organic&iid=en_35O_n74ib0-tAlN4t8sKIC_gf0dF2DhGXy8pKERKN4Bfq8tZFhyS6z-6_MN-RVo4Hs6RBLhpBfFwQD6AjcajYQ%3D%3D&ppt=None&ppn=None&ssid=ol83ghfk680000001747555476516,https://rukminim2.flixcart.com/image/612/612/xif0q/sweatshirt/l/q/m/l-hoodi01-greenflair-original-imah4hnkmkzfg7vr.jpeg?q=70,₹563,"₹1,599",64% off
Men Full Sleeve Color Block Hooded Sweatshirt,https://www.flipkart.com/bullmer-full-sleeve-color-block-men-sweatshirt/p/itm9e6a4a0d6527c?pid=SWSH6MQQVWVVAAV3&lid=LSTSWSH6MQQVWVVAAV39ZUC06&marketplace=FLIPKART&store=clo%2Fqvw%2F64a%2Fvui&srno=b_1_7&otracker=browse&fm=organic&iid=3b0184a7-4043-4903-9643-1ae446a228af.SWSH6MQQVWVVAAV3.SEARCH&ppt=None&ppn=None&ssid=ol83ghfk680000001747555476516,https://rukminim2.flixcart.com/image/612/612/xif0q/sweatshirt/3/k/u/s-bul-wfh5-002-bullmer-original-imah6nb3ze6dghky.jpeg?q=70,₹436,"₹1,999",78% off
Men Full Sleeve Striped Sweatshirt,https://www.flipkart.com/tim-paris-full-sleeve-striped-men-sweatshirt/p/itm695c532a09850?pid=SWSH9RSFJGFNNKGU&lid=LSTSWSH9RSFJGFNNKGUOQLNHW&marketplace=FLIPKART&store=clo%2Fqvw%2F64a%2Fvui&srno=b_1_8&otracker=browse&fm=organic&iid=3b0184a7-4043-4903-9643-1ae446a228af.SWSH9RSFJGFNNKGU.SEARCH&ppt=None&ppn=None&ssid=ol83ghfk680000001747555476516,https://rukminim2.flixcart.com/image/612/612/xif0q/sweatshirt/m/t/f/xxl-tp224po162-b-black-melange-tim-paris-original-imah9rsfrafqezkh.jpeg?q=70,"₹1,539","₹2,799",45% off
Men Full Sleeve Solid Hooded Sweatshirt,https://www.flipkart.com/being-wanted-full-sleeve-solid-men-sweatshirt/p/itm2d9925ed15fb8?pid=SWSGHCKF9ZZPZV4W&lid=LSTSWSGHCKF9ZZPZV4W63ANM8&marketplace=FLIPKART&store=clo%2Fqvw%2F64a%2Fvui&srno=b_1_9&otracker=browse&fm=organic&iid=3b0184a7-4043-4903-9643-1ae446a228af.SWSGHCKF9ZZPZV4W.SEARCH&ppt=None&ppn=None&ssid=ol83ghfk680000001747555476516,https://rukminim2.flixcart.com/image/612/612/xif0q/sweatshirt/u/r/s/m-men-hd-sweatshirt-navy-being-wanted-original-imaghckffczuxueh.jpeg?q=70,₹464,"₹1,249",62% off
Men Full Sleeve Self Design Sweatshirt,https://www.flipkart.com/kajaru-full-sleeve-self-design-men-sweatshirt/p/itm2aa65481c8846?pid=SWSH78UKVPMFB9AD&lid=LSTSWSH78UKVPMFB9ADXGSIGR&marketplace=FLIPKART&store=clo%2Fqvw%2F64a%2Fvui&srno=b_1_10&otracker=browse&fm=organic&iid=3b0184a7-4043-4903-9643-1ae446a228af.SWSH78UKVPMFB9AD.SEARCH&ppt=None&ppn=None&ssid=ol83ghfk680000001747555476516,https://rukminim2.flixcart.com/image/612/612/xif0q/sweatshirt/t/q/k/m-sweatshirt-2026-kajaru-original-imah78ukrs7hyf7k.jpeg?q=70,₹448,₹999,55% off
