Product Name,Product Link,Image URL,Price,Original Price,Discount
Pack of 2 Men Striped Dark Blue Track Pants,https://www.flipkart.com/foxter-striped-men-dark-blue-track-pants/p/itm2416fac384c70?pid=TKPGJXR9ENVKSMHH&lid=LSTTKPGJXR9ENVKSMHHFPCZMP&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_1&otracker=browse&fm=organic&iid=en_fNcY-RV4AiQIwFvf38ADrR8fc9ebNz6N6IfYzJ3Q-OkzJLoqPmt8GrhZl0nlbLwCAxYSu9eUkzwom7qvBR6vIQ%3D%3D&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/m/n/p/s-solid-men-track-pants-pack-of-2-foxter-original-imagzvpmnp4ffy7w.jpeg?q=70,₹389,"₹2,599",85% off
Men Printed Grey Track Pants,https://www.flipkart.com/vebnor-printed-men-grey-track-pants/p/itmd619b47b70886?pid=TKPH63HZYUTK7C3N&lid=LSTTKPH63HZYUTK7C3N60IBTM&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_2&otracker=browse&fm=organic&iid=en_fNcY-RV4AiQIwFvf38ADrR8fc9ebNz6N6IfYzJ3Q-Ok_a3_5vvaL4in0oUG2i2grR2PZB7Yn0Aa2lrSJN3IoWg%3D%3D&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/w/s/b/m-tr30-trackp-original-imah7krzt7u9y3ze.jpeg?q=70,₹267,₹999,73% off
Men Solid Olive Track Pants,https://www.flipkart.com/lripsome-solid-men-olive-track-pants/p/itm2d0d3f6223ae9?pid=TKPH7WEWQNXZNEZT&lid=LSTTKPH7WEWQNXZNEZTYSNAJQ&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&spotlightTagId=default_BestsellerId_clo%2Fvua%2Fjlk%2F6ql&srno=b_1_3&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPH7WEWQNXZNEZT.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/i/y/c/xs-lpr200-lripsome-original-imahaff3sxegxvfz.jpeg?q=70,₹373,₹799,53% off
Men Solid Grey Track Pants,https://www.flipkart.com/eyebogler-solid-men-grey-track-pants/p/itmea3879609fd93?pid=TKPHBT4WZCHYHZGZ&lid=LSTTKPHBT4WZCHYHZGZCPA5AD&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_4&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPHBT4WZCHYHZGZ.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/w/7/c/s-p117-dgrywh-eyebogler-original-imahbt4v7s2kedbd.jpeg?q=70,₹409,"₹2,499",83% off
"Pack of 2 Men Striped Black, Blue, White Track Pants",https://www.flipkart.com/ohgory-striped-men-black-blue-white-track-pants/p/itm8d808066536aa?pid=TKPH4GKGGCFP6AEA&lid=LSTTKPH4GKGGCFP6AEA3MIFNZ&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_5&otracker=browse&fm=organic&iid=en_fNcY-RV4AiQIwFvf38ADrR8fc9ebNz6N6IfYzJ3Q-OlXIrZ_zTJ6omSGvgUF3qrxmIvfJopxoxjI8uSElE1DSg%3D%3D&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/x/j/n/m-tr9-dwija-original-imah3ke5egbzuzng.jpeg?q=70,₹399,"₹1,599",75% off
"Pack of 2 Men Colorblock Black, Grey Track Pants",https://www.flipkart.com/yazole-colorblock-men-black-grey-track-pants/p/itm9d4965bc60e2b?pid=TKPH9M8P7HVBHGJG&lid=LSTTKPH9M8P7HVBHGJGIL5CV6&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_6&otracker=browse&fm=organic&iid=en_fNcY-RV4AiQIwFvf38ADrR8fc9ebNz6N6IfYzJ3Q-OkwqV4EP1DboMp9wUUv09-aDV_Vh5djagH2MS78hSh-sg%3D%3D&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/h/k/p/l-linear-designed-sporty-look-yazole-original-imah9m8zzzegz2up.jpeg?q=70,₹439,"₹2,499",82% off
Men Solid Beige Track Pants,https://www.flipkart.com/eyebogler-solid-men-beige-track-pants/p/itm1d9f9a57d77d8?pid=TKPHBT4WYRKGMUYV&lid=LSTTKPHBT4WYRKGMUYVECXGB0&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_7&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPHBT4WYRKGMUYV.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/x/7/i/s-p104-awbl-eyebogler-original-imahbt4v5qpdymv5.jpeg?q=70,₹373,"₹2,499",85% off
Men Printed Blue Track Pants,https://www.flipkart.com/sk-clasy-printed-men-blue-track-pants/p/itm2b31ce246af65?pid=TKPH5Q49UZDJ3VPS&lid=LSTTKPH5Q49UZDJ3VPSIZZXFP&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_8&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPH5Q49UZDJ3VPS.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/d/o/c/30-army-01-sk-clasy-original-imah5q48yyvyzgyc.jpeg?q=70,₹295,₹999,70% off
Men Colorblock Brown Track Pants,https://www.flipkart.com/maniac-colorblock-men-brown-track-pants/p/itmc38cd8a826ae9?pid=TKPHBKAGDYKX9RCR&lid=LSTTKPHBKAGDYKX9RCRSG1UVH&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_9&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPHBKAGDYKX9RCR.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/z/0/9/s-mn25-baggy-brown-dualtap-pleat-maniac-original-imahbkahnfcxuemn.jpeg?q=70,₹999,"₹2,859",65% off
Men Self Design Beige Track Pants,https://www.flipkart.com/indiclub-self-design-men-beige-track-pants/p/itm24ba419dfd171?pid=TKPH7C2YK9TEZZQG&lid=LSTTKPH7C2YK9TEZZQGY2RZQZ&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_10&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPH7C2YK9TEZZQG.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/o/e/v/30-ic-pt240a049-indiclub-original-imah5rfgfkzfhyyd.jpeg?q=70,₹333,₹999,66% off
"Pack of 2 Men Solid Silver, Grey Track Pants",https://www.flipkart.com/foxter-solid-men-silver-grey-track-pants/p/itm26a98f70be0cc?pid=TKPH4VYYEBKM7QVY&lid=LSTTKPH4VYYEBKM7QVY5XURZP&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_11&otracker=browse&fm=organic&iid=en_fNcY-RV4AiQIwFvf38ADrR8fc9ebNz6N6IfYzJ3Q-OkqJNWjloE6axWQzxEFLQnKpsWfe13n6SF4fgnVOve48g%3D%3D&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/f/e/c/xxl-tintin-black-track-pants-foxter-original-imah8vhqr53zxchh.jpeg?q=70,₹389,"₹2,499",84% off
Men Colorblock Black Track Pants,https://www.flipkart.com/yazole-colorblock-men-black-track-pants/p/itmd125c90d7fa95?pid=TKPH9M8PMAT5XK8G&lid=LSTTKPH9M8PMAT5XK8GRDJTOX&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_12&otracker=browse&fm=organic&iid=en_fNcY-RV4AiQIwFvf38ADrR8fc9ebNz6N6IfYzJ3Q-OkUJjTrxvW9pWYDXISHLs2kMNkTDXMuN1B7_rfqCnCnSA%3D%3D&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/w/j/b/l-linear-designed-sporty-look-yazole-original-imah9m8zhqgyatz9.jpeg?q=70,₹295,"₹1,499",80% off
"Pack of 2 Men Printed Black, Green Track Pants",https://www.flipkart.com/vebnor-printed-men-black-green-track-pants/p/itm8bda2e84941e1?pid=TKPGRVGMG5DAGQ4G&lid=LSTTKPGRVGMG5DAGQ4GMQVYJD&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_13&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPGRVGMG5DAGQ4G.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/d/u/s/m-w5-dwija-fashion-original-imah3g223myd9fa3.jpeg?q=70,₹351,₹999,64% off
Pack of 2 Men Solid Grey Track Pants,https://www.flipkart.com/yazole-solid-men-grey-track-pants/p/itm0903c198b6b76?pid=TKPGZHQTGMYSZJKV&lid=LSTTKPGZHQTGMYSZJKVIPLPMW&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_14&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPGZHQTGMYSZJKV.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-track-pant/e/e/l/xxl-solid-gym-wear-track-pant-yazole-original-imah2gjg8tmrgkcm.jpeg?q=70,₹423,"₹2,499",83% off
Men Solid Green Track Pants,https://www.flipkart.com/eyebogler-solid-men-green-track-pants/p/itmbaf80c3925172?pid=TKPHBT84Z5Z7H6ZH&lid=LSTTKPHBT84Z5Z7H6ZHYNANEO&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_15&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPHBT84Z5Z7H6ZH.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/v/3/r/xl-p117-mgbl-eyebogler-original-imahbt84fgthnzm6.jpeg?q=70,₹409,"₹2,499",83% off
"Pack of 2 Men Solid Grey, Black Track Pants",https://www.flipkart.com/msf-solid-men-grey-black-track-pants/p/itm303635bcfe3ac?pid=TKPH2N8TTMYBHYFC&lid=LSTTKPH2N8TTMYBHYFCC67KNO&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_16&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPH2N8TTMYBHYFC.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/y/f/p/xl-mfstrouserdryfit-pck-2-grey-black-msf-original-imahaph3mzaspys9.jpeg?q=70,₹345,"₹1,199",71% off
Men Printed Black Track Pants,https://www.flipkart.com/mfb-printed-men-black-track-pants/p/itma422263867702?pid=TKPGGBB3MVF5XJZJ&lid=LSTTKPGGBB3MVF5XJZJMKGLTI&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_17&otracker=browse&fm=organic&iid=en_fNcY-RV4AiQIwFvf38ADrR8fc9ebNz6N6IfYzJ3Q-Ols0pvja8PoUwNPZEfIdttowV-21joPTlJdi-7pfCCfZQ%3D%3D&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/d/c/u/m-fox-black-and-grey-lower-m-mfb-original-imaggbb39ewtevrs.jpeg?q=70,₹339,₹999,66% off
Men Self Design Black Track Pants,https://www.flipkart.com/combraided-self-design-men-black-track-pants/p/itm8ca29ab19bf3c?pid=TKPGG9ZBGSYEHSHV&lid=LSTTKPGG9ZBGSYEHSHVWBF1P6&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_18&otracker=browse&fm=organic&iid=en_fNcY-RV4AiQIwFvf38ADrR8fc9ebNz6N6IfYzJ3Q-OnQQw0Y89ooLaRZ7uEI8nMWNGtfkcUq6vbhf9RXw70i7Q%3D%3D&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/7/c/j/m-track-black-combraided-original-imagzgg85yubueje.jpeg?q=70,₹300,"₹1,499",79% off
"Men Colorblock Blue, Grey Track Pants",https://www.flipkart.com/eyebogler-colorblock-men-blue-grey-track-pants/p/itm9c0d4ee0e7db9?pid=TKPHBT8ZHMZHE33R&lid=LSTTKPHBT8ZHMZHE33ROZF9JP&marketplace=FLIPKART&store=clo%2Fvua%2Fjlk%2F6ql&srno=b_1_19&otracker=browse&fm=organic&iid=7a9f9d22-4df5-4158-802d-51d4cdd1e975.TKPHBT8ZHMZHE33R.SEARCH&ppt=None&ppn=None&ssid=s2hf9jan1c0000001747555338738,https://rukminim2.flixcart.com/image/612/612/xif0q/track-pant/w/j/l/s-p116-nblg-eyebogler-original-imahbt8zegqg2zgk.jpeg?q=70,₹379,"₹2,499",84% off
