Product Name,Product Link,Image URL,Price,Original Price,Discount
"Men Printed Round Neck Polyester Pink, Blue T-Shirt",https://www.flipkart.com/kajaru-printed-men-round-neck-pink-blue-t-shirt/p/itm2375de6831509?pid=TSHH2G9V56G9E3BW&lid=LSTTSHH2G9V56G9E3BW6LTQHP&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_1&otracker=browse&fm=organic&iid=en_HPhnxzrqMh-l3idGNmTQv7Q4FFAYbPbVhCSP2eLNRPg9Nv9fMNXXiI2nYPS-EA16b8aO-ZEf3TCPFKJVCIsBSA%3D%3D&ppt=None&ppn=None&ssid=3t3r0boqeo0000001747554277118,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/p/t/a/s-tsrt-moq2-kajaru-original-imah2g9va3kz4ypx.jpeg?q=70,₹179,"₹1,499",88% off
Men Self Design Polo Neck Polyester Brown T-Shirt,https://www.flipkart.com/kajaru-self-design-men-polo-neck-brown-t-shirt/p/itm785a09ad98edd?pid=TSHH6BBTPZCUKET4&lid=LSTTSHH6BBTPZCUKET4CYIHPF&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_2&otracker=browse&fm=organic&iid=en_HPhnxzrqMh-l3idGNmTQv7Q4FFAYbPbVhCSP2eLNRPhPLddlqs7qUBOk4OgXnjpd_MCYvs9c-oRY566dY6WgyA%3D%3D&ppt=None&ppn=None&ssid=3t3r0boqeo0000001747554277118,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/2/d/l/l-polo-8014-kajaru-original-imah75gnqkcp9ytd.jpeg?q=70,₹299,₹999,70% off
"Men Striped Polo Neck Cotton Blend Black, Red T-Shirt",https://www.flipkart.com/tb-blue-striped-men-polo-neck-black-red-t-shirt/p/itmcabd05dd84491?pid=TSHHFDZKA79E68FZ&lid=LSTTSHHFDZKA79E68FZ4YF5JK&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&spotlightTagId=default_BestsellerId_clo%2Fash%2Fank%2Fedy&srno=b_1_3&otracker=browse&fm=organic&iid=9ac188dd-251d-4211-8e42-b4c0958899fe.TSHHFDZKA79E68FZ.SEARCH&ppt=None&ppn=None&ssid=3t3r0boqeo0000001747554277118,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/e/d/c/xxl-mens-strip-polo-hs-black-red-tb-blue-original-imahfdzkrtqyqtzx.jpeg?q=70,₹295,"₹1,299",77% off
"Men Striped Polo Neck Cotton Blend White, Black T-Shirt",https://www.flipkart.com/eyebogler-striped-men-polo-neck-white-black-t-shirt/p/itm26a691743363c?pid=TSHHBJ4NHBZYZU77&lid=LSTTSHHBJ4NHBZYZU77XF7UXF&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_4&otracker=browse&fm=organic&iid=9ac188dd-251d-4211-8e42-b4c0958899fe.TSHHBJ4NHBZYZU77.SEARCH&ppt=None&ppn=None&ssid=3t3r0boqeo0000001747554277118,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/n/6/a/-original-imahbzhygvsnutbz.jpeg?q=70,₹297,"₹1,299",77% off
Men Printed Mandarin Collar Polyester Multicolor T-Shir...,https://www.flipkart.com/bugoat-printed-men-mandarin-collar-multicolor-t-shirt/p/itm3bb225441404f?pid=TSHGZ4GZR7ZFYH7R&lid=LSTTSHGZ4GZR7ZFYH7REZ7JDU&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_5&otracker=browse&fm=organic&iid=en_HPhnxzrqMh-l3idGNmTQv7Q4FFAYbPbVhCSP2eLNRPhI7vFnkYK0rksXfrRmtx9_EZf3YibiepUPIkfH2tmusQ%3D%3D&ppt=None&ppn=None&ssid=3t3r0boqeo0000001747554277118,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/f/2/4/xs-fk-rcb24-polo-nvyred-017-2xs-bugoat-original-imagz4gzuthszuhd.jpeg?q=70,₹299,₹999,70% off
Men Solid Mandarin Collar Cotton Blend Dark Green T-Shi...,https://www.flipkart.com/tripr-solid-men-mandarin-collar-dark-green-t-shirt/p/itm0d79233a1f312?pid=TSHH25F6WVUBPNG4&lid=LSTTSHH25F6WVUBPNG4OAJ2M0&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_6&otracker=browse&fm=organic&iid=en_HPhnxzrqMh-l3idGNmTQv7Q4FFAYbPbVhCSP2eLNRPgnFtvhHQWUiJ6maydl3Ni8Pttg3pzpu6ySerUHn-ZeNevN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=3t3r0boqeo0000001747554277118,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/e/j/q/xl-tpgrblhn-dp-d145-tripr-original-imah5c7gqcwayhxy.jpeg?q=70,₹262,"₹1,999",86% off
Men Printed Round Neck Cotton Blend Yellow T-Shirt,https://www.flipkart.com/smartees-printed-men-round-neck-yellow-t-shirt/p/itm8725af0df70b8?pid=TSHHBHM7FGGWXKBW&lid=LSTTSHHBHM7FGGWXKBWDNWYLL&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_7&otracker=browse&fm=organic&iid=9ac188dd-251d-4211-8e42-b4c0958899fe.TSHHBHM7FGGWXKBW.SEARCH&ppt=None&ppn=None&ssid=3t3r0boqeo0000001747554277118,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/k/c/b/s-st-6046-yellow-smartees-original-imahbhm7wywgqtzz.jpeg?q=70,₹398,"₹1,599",75% off
Men Printed Round Neck Cotton Blend Red T-Shirt,https://www.flipkart.com/glitchez-printed-men-round-neck-red-t-shirt/p/itm06bf3dbf967bd?pid=TSHHBZPUGX5RHZAR&lid=LSTTSHHBZPUGX5RHZARPYNCUS&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_8&otracker=browse&fm=organic&iid=9ac188dd-251d-4211-8e42-b4c0958899fe.TSHHBZPUGX5RHZAR.SEARCH&ppt=None&ppn=None&ssid=3t3r0boqeo0000001747554277118,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/z/t/5/m-31836805-glitchez-original-imahbzpcjfwkx6mc.jpeg?q=70,₹207,₹799,74% off
Men Printed Round Neck Polycotton White T-Shirt,https://www.flipkart.com/lasmo-printed-men-round-neck-white-t-shirt/p/itm09835656fabc6?pid=TSHHBEHUXDJPVJHD&lid=LSTTSHHBEHUXDJPVJHDWFQNVF&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_9&otracker=browse&fm=organic&iid=9ac188dd-251d-4211-8e42-b4c0958899fe.TSHHBEHUXDJPVJHD.SEARCH&ppt=None&ppn=None&ssid=3t3r0boqeo0000001747554277118,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/i/2/s/l-menprintedvg-earthstick-original-imahbehfaqg5w6kr.jpeg?q=70,₹285,"₹1,299",78% off
Men Solid Round Neck Polyester Light Green T-Shirt,https://www.flipkart.com/vebnor-solid-men-round-neck-light-green-t-shirt/p/itm7203b2f94f1ae?pid=TSHH3FVCNVVYERFG&lid=LSTTSHH3FVCNVVYERFG46WBIO&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_10&otracker=browse&fm=organic&iid=9ac188dd-251d-4211-8e42-b4c0958899fe.TSHH3FVCNVVYERFG.SEARCH&ppt=None&ppn=None&ssid=3t3r0boqeo0000001747554277118,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/k/v/7/xxl-ts85-vebnor-original-imah9hsrcrybdyhq.jpeg?q=70,₹257,₹999,74% off
