Product Name,Product Link,Image URL,Price,Original Price,Discount
Men Tan Artificial Leather Wallet,https://www.flipkart.com/sunshopping-men-tan-artificial-leather-wallet/p/itm280fdb3312dde?pid=WCWGBMZ5BRZTR6GR&lid=LSTWCWGBMZ5BRZTR6GR1W4R2Q&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_1&otracker=nmenu_sub_Men_0_Wallets1&fm=organic&iid=en_UXZtOmex4rfvkLL-A_5RGYu_ty_zWYEesWqw7G1ULnqCslWgkiXiLyg5XUjE3_Tb6wgU2yKhxNa7lAqlmNslaQ%3D%3D&ppt=None&ppn=None&ssid=fed0jkbir40000001747556345964,https://rukminim2.flixcart.com/image/612/612/xif0q/wallet-card-wallet/m/3/0/-original-imagqwxnahxveash.jpeg?q=70,₹191,₹699,72% off
Men Casual Brown Genuine Leather RFID  Wallet,https://www.flipkart.com/ross-brown-men-casual-genuine-leather-wallet/p/itm06b0c6eccfd56?pid=WCWGJABMKQHNAX2G&lid=LSTWCWGJABMKQHNAX2GYB04NU&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_2&otracker=nmenu_sub_Men_0_Wallets1&fm=organic&iid=en_UXZtOmex4rfvkLL-A_5RGYu_ty_zWYEesWqw7G1ULnpMPaJV3rXXVfThA61O6cTEbLcPO16L8AHmEZZJA7twlQ%3D%3D&ppt=None&ppn=None&ssid=fed0jkbir40000001747556345964,https://rukminim2.flixcart.com/image/612/612/xif0q/wallet-card-wallet/b/k/r/men-casual-brown-genuine-leather-rfid-wallet-mini-12-card-slots-original-imahbkytjzb3zhs9.jpeg?q=70,₹339,"₹2,199",84% off
Men Casual Brown Artificial Leather Wallet - Mini,https://www.flipkart.com/lorem-men-casual-brown-artificial-leather-wallet/p/itmdc05236e71e2d?pid=WCWFHCAXDWAVZPNT&lid=LSTWCWFHCAXDWAVZPNTUXNM8V&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&spotlightTagId=default_BestsellerId_reh%2Fcca%2Fh76&srno=b_1_3&otracker=nmenu_sub_Men_0_Wallets1&fm=organic&iid=a09fcf75-957a-4c9f-907e-365fc373388a.WCWFHCAXDWAVZPNT.SEARCH&ppt=None&ppn=None&ssid=fed0jkbir40000001747556345964,https://rukminim2.flixcart.com/image/612/612/xif0q/wallet-card-wallet/u/2/f/wl-04-fz-1-4-fz-wl04-9-wallet-lorem-3-5-original-imahbsuf5gmyazhg.jpeg?q=70,₹215,₹999,78% off
"Men Casual, Evening/Party, Formal, Travel Black Genuine...",https://www.flipkart.com/houseofcommon-men-casual-evening-party-formal-travel-black-genuine-leather-wallet/p/itm3e2ad30cc98f9?pid=WCWHBPH9VEABGFTQ&lid=LSTWCWHBPH9VEABGFTQ9CWMXD&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_4&otracker=nmenu_sub_Men_0_Wallets1&fm=organic&iid=a09fcf75-957a-4c9f-907e-365fc373388a.WCWHBPH9VEABGFTQ.SEARCH&ppt=None&ppn=None&ssid=fed0jkbir40000001747556345964,https://rukminim2.flixcart.com/image/612/612/xif0q/wallet-card-wallet/j/8/k/top-quality-genuine-leather-black-wallet-for-men-boys-1-11-new-original-imahbph9f8hsz746.jpeg?q=70,₹475,"₹1,999",76% off
Men Travel Brown Artificial Leather Wallet,https://www.flipkart.com/delcy-men-travel-brown-artificial-leather-wallet/p/itm9f0e76dfdf521?pid=WCWHBYAYNT29FG2S&lid=LSTWCWHBYAYNT29FG2SR2EDGF&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_5&otracker=nmenu_sub_Men_0_Wallets1&fm=organic&iid=a09fcf75-957a-4c9f-907e-365fc373388a.WCWHBYAYNT29FG2S.SEARCH&ppt=None&ppn=None&ssid=fed0jkbir40000001747556345964,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-wallet-card-wallet/2/n/b/spsy-059-shopsy-059-delcy-men-original-imahbffjhygzcqcb.jpeg?q=70,₹176,₹499,64% off
"Men Formal, Casual, Travel, Trendy Tan, Black Artificia...",https://www.flipkart.com/sunshopping-men-formal-casual-travel-trendy-tan-black-artificial-leather-wallet/p/itm34fa2a606e027?pid=WCWGBHYUNDT7H5ZM&lid=LSTWCWGBHYUNDT7H5ZMTSRNET&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_6&otracker=nmenu_sub_Men_0_Wallets1&fm=organic&iid=en_UXZtOmex4rfvkLL-A_5RGYu_ty_zWYEesWqw7G1ULnqz3M3iBJgJ58gPhbqzwxMP02jDFYGPunGUOSPYwZq7_g%3D%3D&ppt=None&ppn=None&ssid=fed0jkbir40000001747556345964,https://rukminim2.flixcart.com/image/612/612/xif0q/wallet-card-wallet/h/b/0/-original-imagqwxzfgfxhgzg.jpeg?q=70,₹195,₹699,72% off
Men Casual Brown Genuine Leather RFID  Wallet,https://www.flipkart.com/systumm-men-casual-brown-genuine-leather-wallet/p/itma91fa7746d499?pid=WCWHFZXUMCEGURFF&lid=LSTWCWHFZXUMCEGURFFLWYRGN&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_7&otracker=nmenu_sub_Men_0_Wallets1&fm=organic&iid=a09fcf75-957a-4c9f-907e-365fc373388a.WCWHFZXUMCEGURFF.SEARCH&ppt=None&ppn=None&ssid=fed0jkbir40000001747556345964,https://rukminim2.flixcart.com/image/612/612/xif0q/wallet-card-wallet/y/z/e/genuine-leather-bifold-slim-wallet-for-men-ample-storage-stylish-original-imahbf35zv8syftx.jpeg?q=70,₹899,"₹1,799",50% off
Men Casual Brown Genuine Leather RFID  Wallet,https://www.flipkart.com/systumm-men-casual-brown-genuine-leather-wallet/p/itm07b731cf09c47?pid=WCWH2YRN2ZF7CGAZ&lid=LSTWCWH2YRN2ZF7CGAZ5MAPET&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_8&otracker=nmenu_sub_Men_0_Wallets1&fm=organic&iid=a09fcf75-957a-4c9f-907e-365fc373388a.WCWH2YRN2ZF7CGAZ.SEARCH&ppt=None&ppn=None&ssid=fed0jkbir40000001747556345964,https://rukminim2.flixcart.com/image/612/612/xif0q/wallet-card-wallet/a/s/1/genuine-leather-bifold-slim-wallet-for-men-ample-storage-stylish-original-imahbmzgtrzfkbzr.jpeg?q=70,₹899,"₹1,799",50% off
Men Black Aluminium Card Holder,https://www.flipkart.com/ofixo-men-black-aluminium-card-holder/p/itm34bd79f1f478e?pid=WCWGBHAHXXK4H3QB&lid=LSTWCWGBHAHXXK4H3QBDCZSPR&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_9&otracker=nmenu_sub_Men_0_Wallets1&fm=organic&iid=a09fcf75-957a-4c9f-907e-365fc373388a.WCWGBHAHXXK4H3QB.SEARCH&ppt=None&ppn=None&ssid=fed0jkbir40000001747556345964,https://rukminim2.flixcart.com/image/612/612/xif0q/wallet-card-wallet/q/u/9/credit-card-holder-metal-wallet-for-men-women-rfid-blocking-card-original-imah4cagpcvpg28m.jpeg?q=70,₹203,₹799,74% off
Men Brown Artificial Leather Card Holder,https://www.flipkart.com/rage-gaze-men-brown-artificial-leather-card-holder/p/itm5dbe369a1b931?pid=WCWGCA5TJZFH78ZY&lid=LSTWCWGCA5TJZFH78ZYAFMU0U&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_10&otracker=nmenu_sub_Men_0_Wallets1&fm=organic&iid=a09fcf75-957a-4c9f-907e-365fc373388a.WCWGCA5TJZFH78ZY.SEARCH&ppt=None&ppn=None&ssid=fed0jkbir40000001747556345964,https://rukminim2.flixcart.com/image/612/612/xif0q/wallet-card-wallet/c/q/a/rural-craft-brown-atm-card-holder-rc-02-2-4-rural-craft-brown-original-imah2e4zsncjerhs.jpeg?q=70,₹150,₹999,84% off
