Product Name,Product Link,Image URL,Price,Original Price,Discount
Men Solid Cotton Blend Straight Kurta,https://www.flipkart.com/bellstone-men-solid-straight-kurta/p/itme899d758b455a?pid=KTAGSWYRAX6RSYYR&lid=LSTKTAGSWYRAX6RSYYR6SDNAE&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_1&otracker=browse&fm=organic&iid=en_lZqOxN7DPD-EoxmNe-eild49FdgEA44K9G2Nxs7EFj4WVFhSZPQ9vEmcA1wFnqA6I-m7DGwokcZsoM_Ypy77rg%3D%3D&ppt=None&ppn=None&ssid=1z6yas8qy80000001747555852972,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/x/f/y/l-kurta1513-bellstone-original-imah7nywnygwdqhv.jpeg?q=70,₹407,"₹1,499",72% off
Men Solid Cotton Blend Straight Kurta,https://www.flipkart.com/combraided-men-solid-straight-kurta/p/itm2a85e9da4d992?pid=KTAH8EP8CWD93MMM&lid=LSTKTAH8EP8CWD93MMMJ14MRO&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_2&otracker=browse&fm=organic&iid=en_lZqOxN7DPD-EoxmNe-eild49FdgEA44K9G2Nxs7EFj7-n-xfb0F_o6TSjttjUdKBdB3yjXVOTKtIvJh6EWfwIg%3D%3D&ppt=None&ppn=None&ssid=1z6yas8qy80000001747555852972,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/3/m/a/l-kurta-mahendi-combraided-original-imah8ep8fvzwg6rj.jpeg?q=70,₹255,"₹1,499",82% off
Men Printed Cotton Blend Straight Kurta,https://www.flipkart.com/simran-creation-men-printed-straight-kurta/p/itm9404c71a7a3da?pid=KTAGPVYVHRG2MRYX&lid=LSTKTAGPVYVHRG2MRYX2N8GJ6&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_5&otracker=browse&fm=organic&iid=en_lZqOxN7DPD-EoxmNe-eild49FdgEA44K9G2Nxs7EFj4kMytrxk2IeCTwGDa86TPpDw__2loh-5UIgYgxf-NfOw%3D%3D&ppt=None&ppn=None&ssid=1z6yas8qy80000001747555852972,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/7/k/l/l-kt3-vebnor-original-imah7fu5eqfunuje.jpeg?q=70,₹313,₹999,68% off
Men Solid Cotton Blend Straight Kurta,https://www.flipkart.com/combraided-men-solid-straight-kurta/p/itm670d7c79c8265?pid=KTAH8EP8ZNSGZ5US&lid=LSTKTAH8EP8ZNSGZ5US37ZUI5&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_6&otracker=browse&fm=organic&iid=en_lZqOxN7DPD-EoxmNe-eild49FdgEA44K9G2Nxs7EFj6QZGHIxeXk5EV7u-ZMjk530k0NepURa8AowrxiEJMo7g%3D%3D&ppt=None&ppn=None&ssid=1z6yas8qy80000001747555852972,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/e/z/a/xl-ch-sf-1-chirasvi-original-imahay5jx93nmrnb.jpeg?q=70,₹498,"₹2,499",80% off
Men Solid Khadi Cotton Straight Kurta,https://www.flipkart.com/gen-x-galleria-men-solid-straight-kurta/p/itm02680c12f897f?pid=KTAH424W6GEBNZDD&lid=LSTKTAH424W6GEBNZDDFLORYJ&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_7&otracker=browse&fm=organic&iid=89092af6-2002-4709-977e-67c8673f07ea.KTAH424W6GEBNZDD.SEARCH&ppt=None&ppn=None&ssid=1z6yas8qy80000001747555852972,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/e/u/j/m-0011-simran-creation-original-imagpvytbftn4cnr.jpeg?q=70,₹290,"₹1,999",85% off
Men Embroidered Cotton Rayon Straight Kurta,https://www.flipkart.com/click-n-buy-men-embroidered-straight-kurta/p/itm2726a42c695e0?pid=KTAH2AZXQGFEWDCH&lid=LSTKTAH2AZXQGFEWDCHJFX6N1&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_10&otracker=browse&fm=organic&iid=89092af6-2002-4709-977e-67c8673f07ea.KTAH2AZXQGFEWDCH.SEARCH&ppt=None&ppn=None&ssid=1z6yas8qy80000001747555852972,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/u/l/n/s-1905-combraided-original-imah83npzzhbyf8w.jpeg?q=70,₹274,"₹1,499",81% off
Men Solid Cotton Blend Straight Kurta,https://www.flipkart.com/combraided-men-solid-straight-kurta/p/itmb3cb730e00273?pid=KTAH8EP8QGU8H9UG&lid=LSTKTAH8EP8QGU8H9UG05T3XP&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_11&otracker=browse&fm=organic&iid=en_lZqOxN7DPD-EoxmNe-eild49FdgEA44K9G2Nxs7EFj7PkpY5g2RoBrWJS0jfpJQm9DSk115GlH9zAtsiva1iGA%3D%3D&ppt=None&ppn=None&ssid=1z6yas8qy80000001747555852972,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/y/u/2/m-single-jharna-short-kurta-half-slv-gen-x-galleria-original-imah424wk9kfjkhy.jpeg?q=70,₹267,₹999,73% off
Men Solid Cotton Blend Straight Kurta,https://www.flipkart.com/tezys-men-solid-straight-kurta/p/itm619eda431c98e?pid=KTAH9D9UMZ74NEYN&lid=LSTKTAH9D9UMZ74NEYNAUC6U0&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_14&otracker=browse&fm=organic&iid=89092af6-2002-4709-977e-67c8673f07ea.KTAH9D9UMZ74NEYN.SEARCH&ppt=None&ppn=None&ssid=1z6yas8qy80000001747555852972,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/v/w/t/xl-cn-kurta-sky-blue1-almora-original-imah8h7fdgbkpzug.jpeg?q=70,₹498,"₹2,499",80% off
Men Solid Cotton Blend A-line Kurta,https://www.flipkart.com/bhuvikoo-men-solid-a-line-kurta/p/itmaca8467e659ca?pid=KTAH9RWFHJT2NRVK&lid=LSTKTAH9RWFHJT2NRVKYU4PYH&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_19&otracker=browse&fm=organic&iid=89092af6-2002-4709-977e-67c8673f07ea.KTAH9RWFHJT2NRVK.SEARCH&ppt=None&ppn=None&ssid=1z6yas8qy80000001747555852972,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/g/a/n/s-work-kurta-sr-fashion-original-imahyzax8wevjtfg.jpeg?q=70,₹432,"₹3,999",89% off
Men Solid Pure Cotton A-line Kurta,https://www.flipkart.com/yugnik-men-solid-a-line-kurta/p/itm5020f5f088a6c?pid=KTAH2NCHZVPEQ4FQ&lid=LSTKTAH2NCHZVPEQ4FQWIPITW&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_20&otracker=browse&fm=organic&iid=89092af6-2002-4709-977e-67c8673f07ea.KTAH2NCHZVPEQ4FQ.SEARCH&ppt=None&ppn=None&ssid=1z6yas8qy80000001747555852972,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/s/h/3/xxl-lacko-new-559-click-n-buy-original-imah2azwrpfug5yy.jpeg?q=70,₹480,"₹1,999",75% off
