Product Name,Product Link,Image URL,Price,Original Price,Discount
YONEX MAVIS 350 Nylon Shuttle  - Yellow,https://www.flipkart.com/yonex-mavis-350-nylon-shuttle-yellow/p/itmfcjdyhnghfyey?pid=STLEFJ7UFQGRUUR3&lid=LSTSTLEFJ7UFQGRUUR3SUDA2S&marketplace=FLIPKART&store=abc%2Fegs&spotlightTagId=default_BestsellerId_abc%2Fegs&srno=b_1_1&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.STLEFJ7UFQGRUUR3.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/kdkkdjk0/shuttle/u/r/3/mavis-350-green-cap-6-75-nylon-yonex-slow-original-imafug3vnxye6skh.jpeg?q=70,"₹1,099","₹1,650",33% off
Exergy 101 Black Strung Badminton Racquet,https://www.flipkart.com/exergy-101-black-strung-badminton-racquet/p/itm4ade5b721215d?pid=RAQH88AWJX6FTNFN&lid=LSTRAQH88AWJX6FTNFNAPGVYC&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_2&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.RAQH88AWJX6FTNFN.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/j/q/2/g6-2-75-inches-strung-101-1-exergy2025pk49-82-badminton-racquet-original-imah88awgnamn6b3.jpeg?q=70,₹924,"₹1,999",53% off
Monika Sports 2 Double Shaft Racquet with 6 pc Nylon Sh...,https://www.flipkart.com/monika-sports-2-double-shaft-racquet-6-pc-nylon-shuttle-badminton-kit/p/itme249633574381?pid=KITFMNUAKH6TTQAF&lid=LSTKITFMNUAKH6TTQAF1BHH15&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_3&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.KITFMNUAKH6TTQAF.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/kit/h/t/h/sb-664-sil-pedal-combo-6-26-shadabhandloom-59-original-imahf7fwp3hyfr2q.jpeg?q=70,₹202,₹799,74% off
Adrenex by Flipkart R501 Full Graphite Badminton Racque...,https://www.flipkart.com/adrenex-flipkart-r501-full-graphite-badminton-racquet-black-blue-strung/p/itmbcae97f02948a?pid=RAQFFUFNPG3ZYYS5&lid=LSTRAQFFUFNPG3ZYYS5BJHG6Q&marketplace=FLIPKART&store=abc%2Fegs&spotlightTagId=default_BestsellerId_abc%2Fegs&srno=b_1_4&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.RAQFFUFNPG3ZYYS5.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/e/1/e/-original-imah6syht4th8ue2.jpeg?q=70,₹799,"₹1,375",41% off
Toysolmanish Feather Badminton Shuttlecock Feather Shut...,https://www.flipkart.com/toysolmanish-feather-badminton-shuttlecock-shuttle-pack-10-white/p/itm1040f7b9224b4?pid=STLHBZU36BTE2RUY&lid=LSTSTLHBZU36BTE2RUY590PJM&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_5&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.STLHBZU36BTE2RUY.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/shuttle/1/k/p/feather-badminton-shuttlecock-feather-shuttle-pack-of-10-10-77-original-imahbzu3t2nmvwkp.jpeg?q=70,₹297,₹999,70% off
Adrenex by Flipkart R201 Combo - 2 Racquet with Shuttle...,https://www.flipkart.com/adrenex-flipkart-r201-combo-2-racquet-shuttle-badminton-kit/p/itm0300e16abb878?pid=KITFFUGFNGYEZUFD&lid=LSTKITFFUGFNGYEZUFDUJY0LV&marketplace=FLIPKART&store=abc%2Fegs&spotlightTagId=default_BestsellerId_abc%2Fegs&srno=b_1_6&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.KITFFUGFNGYEZUFD.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/jxrv4i80/kit/u/f/d/r201-combo-2-badminton-racquet-with-shuttle-ad-bk-2-adrenex-by-original-imafg2czhqckfkfw.jpeg?q=70,₹549,₹899,38% off
Silver's MN-Combo-5 Badminton Kit,https://www.flipkart.com/silver-s-mn-combo-5-badminton-kit/p/itm4d28260dfe74c?pid=KITF5YGAGQK9W9QT&lid=LSTKITF5YGAGQK9W9QTBVFN0T&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_7&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.KITF5YGAGQK9W9QT.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/kit/o/4/o/-original-imah2nfk6jfdwzg6.jpeg?q=70,₹279,₹699,60% off
Exergy Punch White Strung Badminton Racquet,https://www.flipkart.com/exergy-punch-white-strung-badminton-racquet/p/itm7f34950226398?pid=RAQHFTYSWDHFPZVJ&lid=LSTRAQHFTYSWDHFPZVJSOE7IY&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_8&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.RAQHFTYSWDHFPZVJ.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/z/i/9/-original-imah3fjauvzgcpe4.jpeg?q=70,₹999,"₹2,899",65% off
ABG Badminton racket set of 2 Multicolor Strung Badmint...,https://www.flipkart.com/abg-badminton-racket-set-2-multicolor-strung-racquet/p/itm1c31f59b8da65?pid=RAQGNQ8RAHFDX4MF&lid=LSTRAQGNQ8RAHFDX4MFWT0YXY&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_9&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.RAQGNQ8RAHFDX4MF.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/kit/t/u/1/premium-quality-badminton-racket-and-shuttle-cocks-sets-4w-sil-original-imahf7sgtfzfq4hp.jpeg?q=70,₹325,₹899,63% off
PANCHTATAVA Badminton Racket Cover Bag Waterproof with ...,https://www.flipkart.com/panchtatava-badminton-racket-cover-bag-waterproof-adjustable-shoulder-strap-racquet-carry-case-cover-free-size/p/itm05e025b78ebbb?pid=CVRH7HHJH8P4NPZA&lid=LSTCVRH7HHJH8P4NPZA6HYTX3&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_10&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.CVRH7HHJH8P4NPZA.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/cover/k/u/c/badminton-racket-cover-bag-waterproof-with-adjustable-shoulder-original-imah7hhjxyphkync.jpeg?q=70,₹203,₹999,79% off
saipro Double Shaft Badminton Racket Combo Kit Set Of 4...,https://www.flipkart.com/saipro-double-shaft-badminton-racket-combo-kit-set-4-racquet-6-pcs-shuttlecock/p/itm2d1f0682a8ce8?pid=KITGXQVU2CQGHBEN&lid=LSTKITGXQVU2CQGHBENOBZUNO&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_11&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.KITGXQVU2CQGHBEN.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/kit/6/r/s/double-shaft-badminton-racket-combo-kit-set-of-4-racquet-with-6-original-imagxqvubeqkatrt.jpeg?q=70,₹496,₹999,50% off
AXG NEW GOAL Scratch resistant A-2000 Racquets set of 4...,https://www.flipkart.com/axg-new-goal-scratch-resistant-a-2000-racquets-set-4-10-feather-shuttles-net-badminton-kit/p/itmd505329b0988b?pid=KITHBZZAV5HFAAXF&lid=LSTKITHBZZAV5HFAAXFBPI7DF&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_12&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.KITHBZZAV5HFAAXF.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/kit/3/n/u/scratch-resistant-a-2000-racquets-set-of-4-with-10-feather-original-imahbzzajzeyyrsx.jpeg?q=70,₹749,"₹2,600",71% off
KNK Double Shaft Badminton Kit Of 2 With 3 Pc Nylon Shu...,https://www.flipkart.com/knk-double-shaft-badminton-kit-2-3-pc-nylon-shuttlecock/p/itm0258b1eae3eb0?pid=KITGJ97DGPQPUGRK&lid=LSTKITGJ97DGPQPUGRKXGBWI5&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_13&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.KITGJ97DGPQPUGRK.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/kit/a/9/y/double-shaft-badminton-kit-of-2-with-3-pc-nylon-shuttlecock-original-imagj97cjuuzq3yu.jpeg?q=70,₹203,₹699,70% off
Hundred Power Surge 20 Grey Strung Badminton Racquet,https://www.flipkart.com/hundred-power-surge-20-grey-strung-badminton-racquet/p/itm8cf2a45bcbcb8?pid=RAQGSRZYRW2RRD2M&lid=LSTRAQGSRZYRW2RRD2M0ZB7WK&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_14&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.RAQGSRZYRW2RRD2M.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/w/7/p/-original-imah6syhfk6tfsy6.jpeg?q=70,₹999,"₹2,499",60% off
Silver's FIRE Badminton Combo- 2 Rackets with Feather S...,https://www.flipkart.com/silver-s-fire-badminton-combo-2-rackets-feather-shuttle-pack-3-kit/p/itm43183143ad144?pid=KITDRVMSFWJZYZTG&lid=LSTKITDRVMSFWJZYZTGFGISS6&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_15&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.KITDRVMSFWJZYZTG.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/kit/8/q/e/-original-imah2nfkz5gsg3cr.jpeg?q=70,₹389,₹999,61% off
Jager-Smith PB-1000 Combo & Featherlite 2 Shuttle Badmi...,https://www.flipkart.com/jager-smith-pb-1000-combo-featherlite-2-shuttle-badminton-kit/p/itme6ee9db770d7a?pid=KITFX4VBBU6YGZ35&lid=LSTKITFX4VBBU6YGZ356Y2DWJ&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_16&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.KITFX4VBBU6YGZ35.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/kit/m/b/5/-original-imagx9xvhzqazr4p.jpeg?q=70,₹399,"₹1,240",67% off
YONEX Astrox Attack 9 White Strung Badminton Racquet,https://www.flipkart.com/yonex-astrox-attack-9-white-strung-badminton-racquet/p/itmae7be17cece01?pid=RAQGWYYAVSRZRU98&lid=LSTRAQGWYYAVSRZRU98OICRYC&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_17&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.RAQGWYYAVSRZRU98.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/v/k/u/-original-imah6syfb9ve6hfs.jpeg?q=70,"₹1,499","₹2,690",44% off
YONEX Mavis 10 Nylon Shuttle  - Yellow,https://www.flipkart.com/yonex-mavis-10-nylon-shuttle-yellow/p/itmf72tkhnhyq4hu?pid=STLEAEPEKZCBVYRS&lid=LSTSTLEAEPEKZCBVYRS1SNC4H&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_18&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.STLEAEPEKZCBVYRS.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/jws547k0/shuttle/y/r/s/mavis-10-6-75-nylon-yonex-slow-original-imafhcwg8bmhb6qf.jpeg?q=70,₹499,₹915,45% off
COSCO Aero 500 Nylon Shuttle  - Yellow,https://www.flipkart.com/cosco-aero-500-nylon-shuttle-yellow/p/itm36ac0d23ec98d?pid=STLHFBCX9EFTHPHN&lid=LSTSTLHFBCX9EFTHPHNCALUAJ&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_19&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.STLHFBCX9EFTHPHN.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/shuttle/z/j/t/aero-500-6-79-nylon-cosco-fast-original-imah4uzqsxb7pdjt.jpeg?q=70,₹349,₹402,13% off
YONEX GR 303i White Strung Badminton Racquet,https://www.flipkart.com/yonex-gr-303i-white-strung-badminton-racquet/p/itmce3f70bd363c1?pid=RAQG984NXSDHNMZ2&lid=LSTRAQG984NXSDHNMZ2VRG9FA&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_20&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.RAQG984NXSDHNMZ2.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/kjd6nww0-0/racquet/7/h/u/g4-3-25-inches-strung-gr-303-i-made-in-india-2-gr303i-85-original-imafyye2jqanfazm.jpeg?q=70,₹529,₹800,33% off
Hundred Cosmogear,https://www.flipkart.com/hundred-cosmogear/p/itmb6cdfb0c9efd3?pid=SPBGVZ2AEGQHT7GZ&lid=LSTSPBGVZ2AEGQHT7GZXYXUFV&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_21&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.SPBGVZ2AEGQHT7GZ.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/sport-bag/f/q/y/cosmogear-kit-bag-m-hbck-3m085-2-kit-bag-hundred-50-badminton-original-imagwnzzfpz552wv.jpeg?q=70,₹629,"₹1,890",66% off
AXG NEW GOAL Scratch resistant A-2000 Badminton Racquet...,https://www.flipkart.com/axg-new-goal-scratch-resistant-a-2000-badminton-racquets-set-2-10-feather-shuttles-kit/p/itme886e58f59449?pid=KITHBZMQUXMG7BFV&lid=LSTKITHBZMQUXMG7BFVYLJHHF&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_22&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.KITHBZMQUXMG7BFV.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/kit/m/f/p/scratch-resistant-a-2000-badminton-racquets-set-of-2-with-10-original-imahbzmqekedujrg.jpeg?q=70,₹449,"₹1,300",65% off
CLOVERBYTE Badminton kit Set Of 2 Piece Racquet with 10...,https://www.flipkart.com/cloverbyte-badminton-kit-set-2-piece-racquet-10-plastic-shuttlecock/p/itmc403b09550f43?pid=KITG537REGGGXPBA&lid=LSTKITG537REGGGXPBASTOGQW&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_23&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.KITG537REGGGXPBA.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/kit/8/h/0/badminton-kit-set-of-2-piece-racquet-with-10-piece-plastic-original-imahaz44zwknpzkj.jpeg?q=70,₹308,₹599,48% off
Hundred Metro Pack,https://www.flipkart.com/hundred-metro-pack/p/itm1fbba7e792d73?pid=SPBGYGAV29TUNARF&lid=LSTSPBGYGAV29TUNARFRJUU53&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_24&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.SPBGYGAV29TUNARF.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/sport-bag/d/z/d/metro-pack-standard-hbck-3m151-2-kit-bag-hundred-45-badminton-original-imahy8b6jvpq7heh.jpeg?q=70,₹484,"₹1,390",65% off
Hundred Cosmogear Kit-bag,https://www.flipkart.com/hundred-cosmogear-kit-bag/p/itmcb5209c6d4543?pid=SPBGVZ2A9G6FNG8U&lid=LSTSPBGVZ2A9G6FNG8UEFPFIX&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_25&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.SPBGVZ2A9G6FNG8U.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/sport-bag/v/r/w/cosmogear-kit-bag-m-hbck-3m085-3-kit-bag-hundred-50-badminton-original-imagwnpfygdzhnzg.jpeg?q=70,₹629,"₹1,890",66% off
"Jager-Smith Stork Nylon Badminton Net for Outdoor, Indo...",https://www.flipkart.com/jager-smith-stork-nylon-badminton-net-outdoor-indoor-sports-made-india/p/itm78711609c3eee?pid=NETH2NAHQSC3ZHZJ&lid=LSTNETH2NAHQSC3ZHZJC3QATA&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_26&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.NETH2NAHQSC3ZHZJ.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/net/i/t/e/stork-nylon-badminton-net-for-outdoor-indoor-badminton-sports-original-imah2nahgyf9fjsg.jpeg?q=70,₹339,₹495,31% off
Exergy Punch Black Strung Badminton Racquet,https://www.flipkart.com/exergy-punch-black-strung-badminton-racquet/p/itm27b05afd69bbb?pid=RAQHFTYSNZZSZUYA&lid=LSTRAQHFTYSNZZSZUYAC717KT&marketplace=FLIPKART&store=abc%2Fegs&srno=b_1_27&otracker=browse&fm=organic&iid=43955e54-ee75-4da6-9abc-2222fa35268e.RAQHFTYSNZZSZUYA.SEARCH&ppt=None&ppn=None&ssid=f7eabw7aow0000001747559497786,https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/m/q/u/-original-imah3fjah8dtgj7y.jpeg?q=70,"₹1,129","₹2,999",62% off
